,cp,municipio,provincia,ccaa
125,2248,jorquera,albacete,castilla_la_mancha
126,2249,fuentealbilla,albacete,castilla_la_mancha
127,2250,abengibre,albacete,castilla_la_mancha
128,2251,fuentealbilla,albacete,castilla_la_mancha
129,2252,alcala_del_jucar,albacete,castilla_la_mancha
130,2253,golosalvo,albacete,castilla_la_mancha
131,2260,fuentealbilla,albacete,castilla_la_mancha
132,2270,villamalea,albacete,castilla_la_mancha
133,2300,alcaraz,albacete,castilla_la_mancha
134,2310,viveros,albacete,castilla_la_mancha
135,2311,povedilla,albacete,castilla_la_mancha
136,2312,alcaraz,albacete,castilla_la_mancha
137,2313,penascosa,albacete,castilla_la_mancha
138,2314,alcaraz,albacete,castilla_la_mancha
139,2315,vianos,albacete,castilla_la_mancha
140,2316,salobre,albacete,castilla_la_mancha
141,2320,balazote,albacete,castilla_la_mancha
142,2326,san_pedro,albacete,castilla_la_mancha
143,2327,pozuelo,albacete,castilla_la_mancha
144,2328,albacete,albacete,castilla_la_mancha
145,2329,casas_de_lazaro,albacete,castilla_la_mancha
146,2340,robledo,albacete,castilla_la_mancha
147,2350,villapalacios,albacete,castilla_la_mancha
148,2359,,albacete,castilla_la_mancha
149,2360,bienservida,albacete,castilla_la_mancha
150,2400,hellin,albacete,castilla_la_mancha
151,2409,hellin,albacete,castilla_la_mancha
152,2410,lietor,albacete,castilla_la_mancha
153,2420,hellin,albacete,castilla_la_mancha
154,2430,elche_de_la_sierra,albacete,castilla_la_mancha
155,2434,letur,albacete,castilla_la_mancha
156,2435,socovos,albacete,castilla_la_mancha
157,2436,ferez,albacete,castilla_la_mancha
158,2437,socovos,albacete,castilla_la_mancha
159,2439,elche_de_la_sierra,albacete,castilla_la_mancha
160,2440,molinicos,albacete,castilla_la_mancha
161,2448,bogarra,albacete,castilla_la_mancha
162,2449,elche_de_la_sierra,albacete,castilla_la_mancha
163,2450,riopar,albacete,castilla_la_mancha
164,2459,paterna_del_madera,albacete,castilla_la_mancha
165,2460,villaverde_de_guadalimar,albacete,castilla_la_mancha
166,2461,cotillas,albacete,castilla_la_mancha
167,2462,riopar,albacete,castilla_la_mancha
168,2480,yeste,albacete,castilla_la_mancha
169,2484,yeste,albacete,castilla_la_mancha
170,2485,yeste,albacete,castilla_la_mancha
171,2486,yeste,albacete,castilla_la_mancha
172,2487,yeste,albacete,castilla_la_mancha
173,2489,yeste,albacete,castilla_la_mancha
174,2490,hellin,albacete,castilla_la_mancha
175,2499,hellin,albacete,castilla_la_mancha
176,2500,tobarra,albacete,castilla_la_mancha
177,2510,chinchilla_de_monte_aragon,albacete,castilla_la_mancha
178,2511,albacete,albacete,castilla_la_mancha
179,2512,albacete,albacete,castilla_la_mancha
180,2513,tobarra,albacete,castilla_la_mancha
181,2520,chinchilla_de_monte_aragon,albacete,castilla_la_mancha
182,2530,nerpio,albacete,castilla_la_mancha
183,2534,nerpio,albacete,castilla_la_mancha
184,2536,nerpio,albacete,castilla_la_mancha
185,2600,villarrobledo,albacete,castilla_la_mancha
186,2610,el_bonillo,albacete,castilla_la_mancha
187,2611,ossa_de_montiel,albacete,castilla_la_mancha
188,2612,munera,albacete,castilla_la_mancha
189,2614,el_ballestero,albacete,castilla_la_mancha
190,2620,minaya,albacete,castilla_la_mancha
191,2630,la_roda,albacete,castilla_la_mancha
192,2636,villalgordo_del_jucar,albacete,castilla_la_mancha
193,2637,fuensanta,albacete,castilla_la_mancha
194,2638,montalvos,albacete,castilla_la_mancha
195,2639,barrax,albacete,castilla_la_mancha
196,2640,almansa,albacete,castilla_la_mancha
197,2650,montealegre_del_castillo,albacete,castilla_la_mancha
198,2651,fuente_alamo,albacete,castilla_la_mancha
199,2652,ontur,albacete,castilla_la_mancha
200,2653,albatana,albacete,castilla_la_mancha
201,2660,caudete,albacete,castilla_la_mancha
202,2690,alpera,albacete,castilla_la_mancha
203,2691,bonete,albacete,castilla_la_mancha
204,2692,chinchilla_de_monte_aragon,albacete,castilla_la_mancha
205,2693,corral_rubio,albacete,castilla_la_mancha
206,2694,higueruela,albacete,castilla_la_mancha
207,2695,chinchilla_de_monte_aragon,albacete,castilla_la_mancha
208,2696,hoya_gonzalo,albacete,castilla_la_mancha
209,3001,alicante,alicante,comunidad_valenciana
210,3002,alicante,alicante,comunidad_valenciana
211,3003,alicante,alicante,comunidad_valenciana
212,3004,alicante,alicante,comunidad_valenciana
213,3005,alicante,alicante,comunidad_valenciana
214,3006,alicante,alicante,comunidad_valenciana
215,3007,alicante,alicante,comunidad_valenciana
216,3008,alicante,alicante,comunidad_valenciana
217,3009,alicante,alicante,comunidad_valenciana
218,3010,alicante,alicante,comunidad_valenciana
219,3011,alicante,alicante,comunidad_valenciana
220,3012,alicante,alicante,comunidad_valenciana
221,3013,alicante,alicante,comunidad_valenciana
222,3014,alicante,alicante,comunidad_valenciana
223,3015,alicante,alicante,comunidad_valenciana
224,3016,alicante,alicante,comunidad_valenciana
225,3100,jijona,alicante,comunidad_valenciana
226,3108,torremanzanas,alicante,comunidad_valenciana
227,3109,tibi,alicante,comunidad_valenciana
228,3110,mutxamel,alicante,comunidad_valenciana
229,3111,busot,alicante,comunidad_valenciana
230,3112,alicante,alicante,comunidad_valenciana
231,3113,alicante,alicante,comunidad_valenciana
232,3114,alicante,alicante,comunidad_valenciana
233,3115,alicante,alicante,comunidad_valenciana
234,3130,santa_pola,alicante,comunidad_valenciana
235,3138,alicante,alicante,comunidad_valenciana
236,3139,elx,alicante,comunidad_valenciana
238,3140,guardamar_del_segura,alicante,comunidad_valenciana
239,3149,,alicante,comunidad_valenciana
240,3150,dolores,alicante,comunidad_valenciana
241,3158,catral,alicante,comunidad_valenciana
242,3159,daya_nueva,alicante,comunidad_valenciana
243,3160,almoradi,alicante,comunidad_valenciana
244,3169,algorfa,alicante,comunidad_valenciana
245,3170,rojales,alicante,comunidad_valenciana
246,3176,,alicante,comunidad_valenciana
247,3177,daya_vieja,alicante,comunidad_valenciana
248,3178,benijofar,alicante,comunidad_valenciana
249,3179,almoradi,alicante,comunidad_valenciana
250,3180,torrevieja,alicante,comunidad_valenciana
251,3181,torrevieja,alicante,comunidad_valenciana
252,3182,torrevieja,alicante,comunidad_valenciana
253,3183,torrevieja,alicante,comunidad_valenciana
254,3184,torrevieja,alicante,comunidad_valenciana
255,3185,torrevieja,alicante,comunidad_valenciana
256,3186,torrevieja,alicante,comunidad_valenciana
257,3187,los_montesinos,alicante,comunidad_valenciana
258,3188,torrevieja,alicante,comunidad_valenciana
259,3189,orihuela,alicante,comunidad_valenciana
260,3190,pilar_de_la_horadada,alicante,comunidad_valenciana
261,3191,orihuela,alicante,comunidad_valenciana
262,3193,san_miguel_de_salinas,alicante,comunidad_valenciana
263,3194,elx,alicante,comunidad_valenciana
264,3195,elx,alicante,comunidad_valenciana
265,3201,elx,alicante,comunidad_valenciana
266,3202,elx,alicante,comunidad_valenciana
267,3203,elx,alicante,comunidad_valenciana
268,3204,elx,alicante,comunidad_valenciana
269,3205,elx,alicante,comunidad_valenciana
270,3206,elx,alicante,comunidad_valenciana
271,3207,elx,alicante,comunidad_valenciana
272,3208,elx,alicante,comunidad_valenciana
273,3290,elx,alicante,comunidad_valenciana
274,3291,elx,alicante,comunidad_valenciana
275,3292,elx,alicante,comunidad_valenciana
276,3293,elx,alicante,comunidad_valenciana
277,3294,elx,alicante,comunidad_valenciana
278,3295,elx,alicante,comunidad_valenciana
279,3296,elx,alicante,comunidad_valenciana
280,3296,elche,alicante,comunidad_valenciana
281,3300,orihuela,alicante,comunidad_valenciana
282,3310,jacarilla,alicante,comunidad_valenciana
283,3311,orihuela,alicante,comunidad_valenciana
284,3312,orihuela,alicante,comunidad_valenciana
285,3313,orihuela,alicante,comunidad_valenciana
286,3314,orihuela,alicante,comunidad_valenciana
287,3315,orihuela,alicante,comunidad_valenciana
288,3316,benferri,alicante,comunidad_valenciana
289,3317,callosa_de_segura,alicante,comunidad_valenciana
290,3318,orihuela,alicante,comunidad_valenciana
291,3319,,alicante,comunidad_valenciana
292,3320,elx,alicante,comunidad_valenciana
293,3321,,alicante,comunidad_valenciana
294,3322,,alicante,comunidad_valenciana
295,3325,,alicante,comunidad_valenciana
296,3330,crevillent,alicante,comunidad_valenciana
297,3339,crevillent,alicante,comunidad_valenciana
298,3340,albatera,alicante,comunidad_valenciana
299,3348,granja_de_rocamora,alicante,comunidad_valenciana
300,3349,san_isidro,alicante,comunidad_valenciana
301,3350,cox,alicante,comunidad_valenciana
302,3360,callosa_de_segura,alicante,comunidad_valenciana
303,3369,orihuela,alicante,comunidad_valenciana
304,3370,redovan,alicante,comunidad_valenciana
305,3380,bigastro,alicante,comunidad_valenciana
306,3390,benejuzar,alicante,comunidad_valenciana
307,3400,villena,alicante,comunidad_valenciana
308,3408,villena,alicante,comunidad_valenciana
309,3409,alicante,alicante,comunidad_valenciana
310,3410,biar,alicante,comunidad_valenciana
311,3420,castalla,alicante,comunidad_valenciana
312,3430,onil,alicante,comunidad_valenciana
313,3440,ibi,alicante,comunidad_valenciana
314,3450,banyeres_de_mariola,alicante,comunidad_valenciana
315,3459,,alicante,comunidad_valenciana
316,3460,beneixama,alicante,comunidad_valenciana
317,3469,beneixama,alicante,comunidad_valenciana
318,3500,,alicante,comunidad_valenciana
319,3501,benidorm,alicante,comunidad_valenciana
320,3502,benidorm,alicante,comunidad_valenciana
321,3503,benidorm,alicante,comunidad_valenciana
322,3509,finestrat,alicante,comunidad_valenciana
323,3510,callosa_d_en_sarria,alicante,comunidad_valenciana
324,3516,benimantell,alicante,comunidad_valenciana
325,3517,beniarda,alicante,comunidad_valenciana
326,3518,bolulla,alicante,comunidad_valenciana
327,3519,,alicante,comunidad_valenciana
328,3520,polop,alicante,comunidad_valenciana
329,3530,la_nucia,alicante,comunidad_valenciana
330,3540,alicante,alicante,comunidad_valenciana
331,3550,sant_joan_d_alacant,alicante,comunidad_valenciana
332,3559,alicante,alicante,comunidad_valenciana
333,3560,el_campello,alicante,comunidad_valenciana
334,3569,aigues,alicante,comunidad_valenciana
335,3570,villajoyosa,alicante,comunidad_valenciana
336,3578,relleu,alicante,comunidad_valenciana
337,3579,orxeta,alicante,comunidad_valenciana
338,3580,l_alfas_del_pi,alicante,comunidad_valenciana
339,3581,l_alfas_del_pi,alicante,comunidad_valenciana
340,3589,,alicante,comunidad_valenciana
341,3590,altea,alicante,comunidad_valenciana
342,3599,altea,alicante,comunidad_valenciana
343,3600,elda,alicante,comunidad_valenciana
344,3610,petrer,alicante,comunidad_valenciana
345,3630,sax,alicante,comunidad_valenciana
346,3638,salinas,alicante,comunidad_valenciana
347,3639,villena,alicante,comunidad_valenciana
348,3640,monovar,alicante,comunidad_valenciana
349,3649,monovar,alicante,comunidad_valenciana
350,3650,el_pinos,alicante,comunidad_valenciana
351,3657,el_pinos,murcia,region_de_murcia
352,3658,el_pinos,alicante,comunidad_valenciana
353,3659,el_pinos,alicante,comunidad_valenciana
354,3660,novelda,alicante,comunidad_valenciana
355,3668,alguena,alicante,comunidad_valenciana
356,3669,la_romana,alicante,comunidad_valenciana
357,3670,monforte_del_cid,alicante,comunidad_valenciana
358,3679,monforte_del_cid,alicante,comunidad_valenciana
359,3680,aspe,alicante,comunidad_valenciana
360,3688,el_fondo_de_les_neus,alicante,comunidad_valenciana
361,3689,el_fondo_de_les_neus,alicante,comunidad_valenciana
362,3690,san_vicente_del_raspeig,alicante,comunidad_valenciana
363,3698,agost,alicante,comunidad_valenciana
364,3699,alicante,alicante,comunidad_valenciana
365,3700,denia,alicante,comunidad_valenciana
366,3709,denia,alicante,comunidad_valenciana
367,3710,calp,alicante,comunidad_valenciana
368,3720,benissa,alicante,comunidad_valenciana
369,3723,alcalali,alicante,comunidad_valenciana
370,3724,teulada,alicante,comunidad_valenciana
371,3725,teulada,alicante,comunidad_valenciana
372,3726,benitachell,alicante,comunidad_valenciana
373,3727,xalo,alicante,comunidad_valenciana
374,3728,alcalali,alicante,comunidad_valenciana
375,3729,lliber,alicante,comunidad_valenciana
376,3730,javea,alicante,comunidad_valenciana
377,3737,javea,alicante,comunidad_valenciana
378,3738,javea,alicante,comunidad_valenciana
379,3739,javea,alicante,comunidad_valenciana
380,3740,gata_de_gorgos,alicante,comunidad_valenciana
381,3749,denia,alicante,comunidad_valenciana
382,3750,pedreguer,alicante,comunidad_valenciana
383,3759,benidoleig,alicante,comunidad_valenciana
384,3760,ondara,alicante,comunidad_valenciana
385,3769,benimeli,alicante,comunidad_valenciana
386,3770,denia,alicante,comunidad_valenciana
387,3778,beniarbeig,alicante,comunidad_valenciana
388,3779,els_poblets,alicante,comunidad_valenciana
389,3780,denia,alicante,comunidad_valenciana
390,3786,l_atzubia,alicante,comunidad_valenciana
391,3787,vall_de_gallinera,alicante,comunidad_valenciana
392,3788,la_vall_d_alcala,alicante,comunidad_valenciana
393,3789,la_vall_d_ebo,alicante,comunidad_valenciana
394,3790,orba,alicante,comunidad_valenciana
395,3791,orba,alicante,comunidad_valenciana
396,3792,murla,alicante,comunidad_valenciana
397,3793,castell_de_castells,alicante,comunidad_valenciana
398,3794,benigembla,alicante,comunidad_valenciana
399,3795,orba,alicante,comunidad_valenciana
400,3796,,alicante,comunidad_valenciana
401,3800,alcoi,alicante,comunidad_valenciana
402,3801,alcoi,alicante,comunidad_valenciana
403,3802,alcoi,alicante,comunidad_valenciana
404,3803,alcoi,alicante,comunidad_valenciana
405,3804,alcoi,alicante,comunidad_valenciana
406,3810,benilloba,alicante,comunidad_valenciana
407,3811,quatretondeta,alicante,comunidad_valenciana
408,3812,balones,alicante,comunidad_valenciana
409,3813,facheca,alicante,comunidad_valenciana
410,3814,alcoleja,alicante,comunidad_valenciana
411,3815,penaguila,alicante,comunidad_valenciana
412,3816,benifallim,alicante,comunidad_valenciana
413,3819,,alicante,comunidad_valenciana
414,3820,cocentaina,alicante,comunidad_valenciana
415,3827,almudaina,alicante,comunidad_valenciana
416,3828,planes,alicante,comunidad_valenciana
417,3829,l_alqueria_d_asnar,alicante,comunidad_valenciana
418,3830,muro_de_alcoy,alicante,comunidad_valenciana
419,3837,agres,alicante,comunidad_valenciana
420,3838,alfafara,alicante,comunidad_valenciana
421,3839,muro_de_alcoy,alicante,comunidad_valenciana
422,3840,gaianes,alicante,comunidad_valenciana
423,3841,alcocer_de_planes,alicante,comunidad_valenciana
424,3850,beniarres,alicante,comunidad_valenciana
425,3860,lorcha,alicante,comunidad_valenciana
426,3870,,alicante,comunidad_valenciana
427,4001,almeria,almeria,andalucia
428,4002,almeria,almeria,andalucia
429,4003,almeria,almeria,andalucia
430,4004,almeria,almeria,andalucia
431,4005,almeria,almeria,andalucia
432,4006,almeria,almeria,andalucia
433,4007,almeria,almeria,andalucia
434,4008,almeria,almeria,andalucia
435,4009,almeria,almeria,andalucia
436,4100,nijar,almeria,andalucia
437,4110,nijar,almeria,andalucia
438,4113,nijar,almeria,andalucia
439,4114,lucainena_de_las_torres,almeria,andalucia
440,4115,nijar,almeria,andalucia
441,4116,nijar,almeria,andalucia
442,4117,nijar,almeria,andalucia
443,4118,nijar,almeria,andalucia
444,4119,nijar,almeria,andalucia
445,4120,almeria,almeria,andalucia
446,4130,almeria,almeria,andalucia
447,4131,almeria,almeria,andalucia
448,4140,carboneras,almeria,andalucia
449,4149,carboneras,almeria,andalucia
450,4150,almeria,almeria,andalucia
451,4151,nijar,almeria,andalucia
452,4160,almeria,almeria,andalucia
453,4200,tabernas,almeria,andalucia
454,4210,lucainena_de_las_torres,almeria,andalucia
455,4211,lucainena_de_las_torres,almeria,andalucia
456,4212,castro_de_filabres,almeria,andalucia
457,4213,senes,almeria,andalucia
458,4230,huercal_de_almeria,almeria,andalucia
459,4240,viator,almeria,andalucia
460,4250,pechina,almeria,andalucia
461,4259,pechina,almeria,andalucia
462,4260,rioja,almeria,andalucia
463,4270,sorbas,almeria,andalucia
464,4271,lubrin,almeria,andalucia
465,4274,benizalon,almeria,andalucia
466,4275,tahal,almeria,andalucia
467,4276,alcudia_de_monteagud,almeria,andalucia
468,4277,sorbas,almeria,andalucia
469,4278,sorbas,almeria,andalucia
470,4279,sorbas,almeria,andalucia
471,4280,los_gallardos,almeria,andalucia
472,4288,bedar,almeria,andalucia
473,4289,bedar,almeria,andalucia
474,4400,alhama_de_almeria,almeria,andalucia
475,4409,alicun,almeria,andalucia
476,4410,benahadux,almeria,andalucia
477,4420,santa_fe_de_mondujar,almeria,andalucia
478,4430,instincion,almeria,andalucia
479,4431,illar,almeria,andalucia
480,4440,ragol,almeria,andalucia
481,4450,canjayar,almeria,andalucia
482,4458,almocita,almeria,andalucia
483,4459,ohanes,almeria,andalucia
484,4460,fondon,almeria,andalucia
485,4470,laujar_de_andarax,almeria,andalucia
486,4479,bayarcal,almeria,andalucia
487,4480,alcolea,almeria,andalucia
488,4500,finana,almeria,andalucia
489,4510,abla,almeria,andalucia
490,4520,abrucena,almeria,andalucia
491,4530,las_tres_villas,almeria,andalucia
492,4531,alboloduy,almeria,andalucia
493,4532,las_tres_villas,almeria,andalucia
494,4533,abrucena,almeria,andalucia
495,4540,nacimiento,almeria,andalucia
496,4549,gergal,almeria,andalucia
497,4550,gergal,almeria,andalucia
498,4558,alboloduy,almeria,andalucia
499,4559,gergal,almeria,andalucia
500,4560,gador,almeria,andalucia
501,4567,alhabia,almeria,andalucia
502,4568,alsodux,almeria,andalucia
503,4569,bentarique,almeria,andalucia
504,4600,albox,almeria,andalucia
505,4610,cuevas_del_almanzora,almeria,andalucia
506,4616,cuevas_del_almanzora,almeria,andalucia
507,4617,cuevas_del_almanzora,almeria,andalucia
508,4618,cuevas_del_almanzora,almeria,andalucia
509,4619,cuevas_del_almanzora,almeria,andalucia
510,4620,vera,almeria,andalucia
511,4621,,almeria,andalucia
512,4628,antas,almeria,andalucia
513,4629,antas,almeria,andalucia
514,4630,garrucha,almeria,andalucia
515,4638,mojacar,almeria,andalucia
516,4639,mojacar,almeria,andalucia
517,4640,oria,almeria,andalucia
518,4647,cuevas_del_almanzora,almeria,andalucia
519,4648,cuevas_del_almanzora,almeria,andalucia
520,4649,pulpi,almeria,andalucia
521,4650,zurgena,almeria,andalucia
522,4660,arboleas,almeria,andalucia
523,4661,taberno,almeria,andalucia
524,4662,huercal_overa,almeria,andalucia
525,4690,huercal_overa,almeria,andalucia
526,4691,huercal_overa,almeria,andalucia
527,4692,albox,almeria,andalucia
528,4693,huercal_overa,almeria,andalucia
529,4694,huercal_overa,almeria,andalucia
530,4700,el_ejido,almeria,andalucia
531,4710,el_ejido,almeria,andalucia
532,4711,el_ejido,almeria,andalucia
533,4712,el_ejido,almeria,andalucia
534,4713,berja,almeria,andalucia
535,4715,el_ejido,almeria,andalucia
536,4716,el_ejido,almeria,andalucia
537,4717,,almeria,andalucia
538,4720,roquetas_de_mar,almeria,andalucia
539,4721,,almeria,andalucia
540,4727,vicar,almeria,andalucia
541,4728,felix,almeria,andalucia
542,4729,enix,almeria,andalucia
543,4738,vicar,almeria,andalucia
544,4740,roquetas_de_mar,almeria,andalucia
545,4741,roquetas_de_mar,almeria,andalucia
546,4743,roquetas_de_mar,almeria,andalucia
547,4745,la_mojonera,almeria,andalucia
548,4746,la_mojonera,almeria,andalucia
549,4750,dalias,almeria,andalucia
550,4760,berja,almeria,andalucia
551,4768,alcolea,almeria,andalucia
552,4769,berja,almeria,andalucia
553,4770,adra,almeria,andalucia
554,4778,adra,almeria,andalucia
555,4779,adra,almeria,andalucia
556,4800,albox,almeria,andalucia
557,4810,oria,almeria,andalucia
558,4811,oria,almeria,andalucia
559,4812,albox,almeria,andalucia
560,4813,albox,almeria,andalucia
561,4814,albox,almeria,andalucia
562,4815,cantoria,almeria,andalucia
563,4820,velez_rubio,almeria,andalucia
564,4825,chirivel,almeria,andalucia
565,4826,velez_rubio,almeria,andalucia
566,4827,velez_rubio,almeria,andalucia
567,4828,velez_rubio,almeria,andalucia
568,4829,velez_blanco,almeria,andalucia
569,4830,velez_blanco,almeria,andalucia
570,4838,maria,almeria,andalucia
571,4839,maria,almeria,andalucia
572,4850,cantoria,almeria,andalucia
573,4857,albanchez,almeria,andalucia
574,4858,albanchez,almeria,andalucia
575,4859,cobdar,almeria,andalucia
576,4860,olula_del_rio,almeria,andalucia
577,4867,macael,almeria,andalucia
578,4868,laroya,almeria,andalucia
579,4869,fines,almeria,andalucia
580,4870,purchena,almeria,andalucia
581,4877,lucar,almeria,andalucia
582,4878,sierro,almeria,andalucia
583,4879,urracal,almeria,andalucia
584,4880,tijola,almeria,andalucia
585,4887,lucar,almeria,andalucia
586,4888,armuna_de_almanzora,almeria,andalucia
587,4889,bacares,almeria,andalucia
588,4890,seron,almeria,andalucia
589,4897,alcontar,almeria,andalucia
590,4898,alcontar,almeria,andalucia
591,4899,oria,almeria,andalucia
592,5001,avila,avila,castilla_y_leon
593,5002,avila,avila,castilla_y_leon
594,5003,avila,avila,castilla_y_leon
595,5004,avila,avila,castilla_y_leon
596,5005,avila,avila,castilla_y_leon
597,5100,navaluenga,avila,castilla_y_leon
598,5110,el_barraco,avila,castilla_y_leon
599,5111,san_juan_de_la_nava,avila,castilla_y_leon
600,5113,burgohondo,avila,castilla_y_leon
601,5114,villanueva_de_avila,avila,castilla_y_leon
602,5115,navarrevisca,avila,castilla_y_leon
603,5120,navalmoral,avila,castilla_y_leon
604,5122,navaquesera,avila,castilla_y_leon
605,5123,hoyocasero,avila,castilla_y_leon
606,5130,solosancho,avila,castilla_y_leon
607,5131,la_hija_de_dios,avila,castilla_y_leon
608,5132,cepeda_la_mora,avila,castilla_y_leon
609,5133,san_martin_de_la_vega_del_alberche,avila,castilla_y_leon
610,5134,garganta_del_villar,avila,castilla_y_leon
611,5140,bularros,avila,castilla_y_leon
612,5141,chamartin,avila,castilla_y_leon
613,5143,valdecasa,avila,castilla_y_leon
614,5145,manjabalago_y_ortigosa_de_rioalmar,avila,castilla_y_leon
615,5146,blascomillan,avila,castilla_y_leon
