municipio,total_bib
Valle de Egüés/Eguesibar,1
Valtierra,1
Viana,1
Villafranca,1
Villava/Atarrabia,1
Ziordia,1
Zizur Mayor/Zizur Nagusia,1
Alameda,1
Alcaucín,1
Alfarnate,1
Algarrobo,1
Algatocín,1
Alhaurín de la Torre,1
Alhaurín el Grande,2
Almáchar,1
Almargen,1
Almogía,1
Álora,2
Antequera,1
Árchez,1
Archidona,1
Ardales,1
Arriate,1
Benadalid,1
Benahavís,1
Benalauría,1
Benalmádena,2
Benamargosa,1
Benamocarra,1
Benaoján,1
Benarrabá,1
Campillos,1
Cañete la Real,1
Canillas de Albaida,1
Carratraca,1
Cártama,3
Casares,1
Coín,1
Colmenar,1
Comares,1
Cómpeta,1
Cortes de la Frontera,2
Cuevas Bajas,1
Cuevas de San Marcos,1
Cuevas del Becerro,1
Cútar,1
El Borge,1
El Burgo,1
Estepona,2
Frigiliana,1
Fuengirola,3
Fuente de Piedra,1
Gaucín,1
Genalguacil,1
Humilladero,2
Igualeja,1
Istán,1
Iznate,1
Jimera de Líbar,1
Jubrique,1
Macharaviaya,1
Málaga,24
Manilva,2
Marbella,6
Mijas,4
Moclinejo,1
Mollina,1
Monda,1
Montejaque,1
Nerja,1
Ojén,1
Periana,1
Pizarra,1
Rincón de la Victoria,4
Ronda,2
Sayalonga,1
Sierra de Yeguas,1
Teba,1
Tolox,1
Torremolinos,2
Torrox,3
Totalán,1
Vélez-Málaga,7
Villanueva de Algaidas,1
Villanueva de la Concepción,1
Villanueva de Tapia,1
Villanueva del Rosario,1
Villanueva del Trabuco,1
Viñuela,2
Yunquera,1
Abanilla,1
Abarán,1
Águilas,1
Albudeite,1
Alcantarilla,1
Aledo,1
Alguazas,1
Alhama de Murcia,1
Archena,1
Beniel,1
Blanca,1
Bullas,1
Calasparra,1
Campos del Río,1
Caravaca de la Cruz,5
Cartagena,9
Cehegín,1
Ceutí,2
Cieza,1
Fortuna,1
Fuente Álamo de Murcia,1
Jumilla,1
La Unión,1
Las Torres de Cotillas,1
Librilla,1
Lorca,11
Lorquí,1
Los Alcázares,1
Mazarrón,2
Molina de Segura,3
Moratalla,1
Mula,2
Murcia,24
Ojós,1
Pliego,1
Puerto Lumbreras,2
Ricote,1
San Javier,3
San Pedro del Pinatar,2
Santomera,1
Torre-Pacheco,2
Totana,1
Ulea,1
Villanueva del Río Segura,1
Yecla,3
Alaraz,1
Alba de Tormes,1
Barruecopardo,1
Béjar,1
Cabrerizos,1
Candelario,1
Cantalapiedra,1
Cantalpino,1
Carbajosa de la Sagrada,1
Castellanos de Moriscos,1
Cespedosa de Tormes,1
Ciudad Rodrigo,1
Fuenteguinaldo,1
Fuentes de Oñoro,1
Guijuelo,1
Horcajo Medianero,1
La Alberca,1
La Fuente de San Esteban,1
Ledesma,1
Linares de Riofrío,1
Los Santos,1
Lumbrales,1
