INDICATIVO	NOMBRE	PROVINCIA	MUNICIPIO	ALTITUD	LONGITUD	LATITUD	n_llu_m01	n_llu_m02	n_llu_m03	n_llu_m04	n_llu_m05	n_llu_m06	n_llu_m07	n_llu_m08	n_llu_m09	n_llu_m10	n_llu_m11	n_llu_m12	n_llu_anual	n_nub_m01	n_nub_m02	n_nub_m03	n_nub_m04	n_nub_m05	n_nub_m06	n_nub_m07	n_nub_m08	n_nub_m09	n_nub_m10	n_nub_m11	n_nub_m12	n_nub_anual	n_nie_m01	n_nie_m02	n_nie_m03	n_nie_m04	n_nie_m05	n_nie_m06	n_nie_m07	n_nie_m08	n_nie_m09	n_nie_m10	n_nie_m11	n_nie_m12	n_nie_anual	n_gra_m01	n_gra_m02	n_gra_m03	n_gra_m04	n_gra_m05	n_gra_m06	n_gra_m07	n_gra_m08	n_gra_m09	n_gra_m10	n_gra_m11	n_gra_m12	n_gra_anual	n_fog_m01	n_fog_m02	n_fog_m03	n_fog_m04	n_fog_m05	n_fog_m06	n_fog_m07	n_fog_m08	n_fog_m09	n_fog_m10	n_fog_m11	n_fog_m12	n_fog_anual	n_des_m01	n_des_m02	n_des_m03	n_des_m04	n_des_m05	n_des_m06	n_des_m07	n_des_m08	n_des_m09	n_des_m10	n_des_m11	n_des_m12	n_des_anual	n_cub_m01	n_cub_m02	n_cub_m03	n_cub_m04	n_cub_m05	n_cub_m06	n_cub_m07	n_cub_m08	n_cub_m09	n_cub_m10	n_cub_m11	n_cub_m12	n_cub_anual	n_tor_m01	n_tor_m02	n_tor_m03	n_tor_m04	n_tor_m05	n_tor_m06	n_tor_m07	n_tor_m08	n_tor_m09	n_tor_m10	n_tor_m11	n_tor_m12	n_tor_anual	nt_00_m01	nt_00_m02	nt_00_m03	nt_00_m04	nt_00_m05	nt_00_m06	nt_00_m07	nt_00_m08	nt_00_m09	nt_00_m10	nt_00_m11	nt_00_m12	nt_00_anual	nt_30_m01	nt_30_m02	nt_30_m03	nt_30_m04	nt_30_m05	nt_30_m06	nt_30_m07	nt_30_m08	nt_30_m09	nt_30_m10	nt_30_m11	nt_30_m12	nt_30_anual	nw_55_m01	nw_55_m02	nw_55_m03	nw_55_m04	nw_55_m05	nw_55_m06	nw_55_m07	nw_55_m08	nw_55_m09	nw_55_m10	nw_55_m11	nw_55_m12	nw_55_anual	nw_91_m01	nw_91_m02	nw_91_m03	nw_91_m04	nw_91_m05	nw_91_m06	nw_91_m07	nw_91_m08	nw_91_m09	nw_91_m10	nw_91_m11	nw_91_m12	nw_91_anual	ta_max_m01	ta_max_m02	ta_max_m03	ta_max_m04	ta_max_m05	ta_max_m06	ta_max_m07	ta_max_m08	ta_max_m09	ta_max_m10	ta_max_m11	ta_max_m12	ta_max_anual	ta_min_m01	ta_min_m02	ta_min_m03	ta_min_m04	ta_min_m05	ta_min_m06	ta_min_m07	ta_min_m08	ta_min_m09	ta_min_m10	ta_min_m11	ta_min_m12	ta_min_anual	w_med_m01	w_med_m02	w_med_m03	w_med_m04	w_med_m05	w_med_m06	w_med_m07	w_med_m08	w_med_m09	w_med_m10	w_med_m11	w_med_m12	w_med_anual
7178I	MURCIA	MURCIA	MURCIA	61	110152	380007	2	0	8	12	4	2	0	3	5	6	8	6	56	13	19	15	13	22	16	11	13	22	21	24	19	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	2	4	15	9	13	8	7	14	19	17	4	9	3	5	123	3	0	3	9	2	0	1	1	4	1	3	7	34	0	0	0	2	2	0	1	3	3	1	0	1	13	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	7	24	31	30	16	7	0	0	115	3	2	0	3	0	0	1	0	1	0	5	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	22.8(31)	28.3(28)	28.9(17)	29.5(14)	34.0(15)	37.8(29)	40.5(15)	42.6(09)	36.0(01)	34.8(01)	28.7(01)	24.9(26)	42.6(09/ago)	-1.4(12)	3.0(05)	4.9(01)	6.1(06)	11.3(04)	14.4(01)	20.4(09)	19.4(24)	15.8(12)	9.6(23)	3.1(17)	4.2(11)	-1.4(12/ene)	8	10	9	10	10	11	12	10	9	7	10	7	9
7228	MURCIA/ALCANTARILLA	MURCIA	MURCIA	75	113432	375728	2	0	4	9	3	2	2	4	6	4	7	4	47	14	19	17	14	22	16	13	14	23	21	25	17	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	16	9	10	9	9	14	17	17	5	8	3	6	123	1	0	4	7	0	0	1	0	2	2	2	8	27	0	0	0	1	1	0	1	2	2	0	0	0	7	9	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	7	24	31	30	19	8	0	0	119	4	3	1		1	0	0	0	2	0	6	1		0	0	0		0	0	0	0	0	0	0	0		23.0(31)	27.7(28)	28.9(17)	29.2(14)	34.5(15)	38.0(29)	41.2(07)	42.8(09)	36.5(01)	34.8(01)	28.7(01)	24.8(26)	42.8(09/ago)	-3.5(12)	0.9(26)	1.3(28)	5.2(07)	10.5(20)	11.2(06)	18.3(10)	18.0(24)	15.0(12)	8.2(21)	1.3(17)	1.8(31)	-3.5(12/ene)													
7031	MURCIA/SAN_JAVIER	MURCIA	SAN_JAVIER	4	48122	374720	4	1	6	5	0	2	1	3	7	4	7	4	44														0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2																											0	0	0	0	0	0	0	1	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	9	10	3	3	0	0	29																											22.5(31)	23.2(07)	27.0(17)	26.8(14)	28.0(08)	31.5(29)	36.5(14)	34.8(09)	32.5(01)	30.5(03)	29.0(01)	25.5(26)	36.5(14/jul)	-0.7(12)	1.9(26)	4.0(01)	6.0(05)	10.5(04)	12.5(02)	19.0(09)	19.5(28)	16.0(11)	10.0(24)	5.5(20)	4.5(11)	-0.7(12/ene)													
9262	PAMPLONA_OBSERVATORIO	NAVARRA	PAMPLONA/IRU—A	450	138182	424904	13	2	7	10		7	8	4	8	12	25																0	2	0	1		0	0	0	0	0	0			0	1	0	0		0	0	0	0	0	0			1	0	0	0		0	0	0	0	2	0																													0	1	1	1		0	1	2	1	1	0			2	3	0	0	0	0	0	0	0	0	1			0	0	0	0	0	15	14	18	3	0	0																													14.7(03)	23.1(27)	22.3(16)	22.9(22)	29.0(31)	39.8(29)	37.6(25)	35.1(09)	31.5(14)	28.6(08)	19.0(01)			-0.6(11)	-1.3(04)	0.4(21)	1.3(04)	2.8(06)	5.2(12)	11.3(29)	10.6(14)	7.5(09)	5.3(22)	-0.9(16)															
9263D	PAMPLONA/NOAIN	NAVARRA	GALAR	459	139002	424637	16	4	8	16	14	8	13	6	11	14	26	11	147	7	12	14	16	17	18	24	20	23	23	8	19	201	2	2	0	0	0	0	0	0	0	0	0	0	4	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	2	3	1	10	18	6	12	10	1	3	5	5	7	4	2	0	1	56	18	4	7	13	11	7	2	4	3	6	22	11	108	0	1	1	4	3	1	10	3	2	2	1	1	29	13	16	5	4	1	0		0	0	0	4	7		0	0	0	0	0	15		19	7	0	0	0		7	3		3		7		2			7	7		0	0		0		0		0			0	2		13.2(05)	22.6(27)	22.7(23)	23.7(15)	29.2(31)	41.3(29)		36.9(09)	31.5(17)	28.7(08)	19.7(04)	16.7(28)		-3.1(04)	-3.0(16)	-2.1(21)	-0.6(13)	-0.1(06)	3.2(12)		9.1(16)	5.9(09)	4.0(22)	-1.1(20)	-2.6(29)		16	9	15	13	17	13	16	14	14	11	12	11	13
1690A	OURENSE	OURENSE	OURENSE	143	751352	421931	15	8	9	18	8	16	7	8	13	20	29	17	168														0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	5	5	1	2	0	0	0	0	0	4	3	14	34																											0	0	0	2	0	0	3	1	3	1	0	2	12	15	4	1	0	0	0	0	0	0	0	0	5	25	0	0	0	0	7	3	20	20	9	0	0	0	59		0	0	0	0	0	0	0	0	0	0	2			0	0	0	0	0	0	0	0	0	0	0		16.5(25)	25.5(25)	26.7(26)	28.8(29)	36.6(31)	34.9(01)	37.6(22)	38.1(23)	35.5(03)	29.8(07)	22.0(01)	17.8(24)	38.1(23/ago)	-5.3(06)	-1.0(04)	0.0(18)	0.1(04)	4.6(19)	4.8(08)	10.1(30)	9.3(13)	8.6(08)	5.2(22)	2.6(16)	-1.2(29)	-5.3(06/ene)	3	4	5	5	5	5	5	5	5	4	5	4	5
1484C	PONTEVEDRA	PONTEVEDRA	PONTEVEDRA	108	836572	422618	15	9	13	16	9	16	8	6	14	20	29	17	172	5	18	6	15	10	17	19	14	12	13	12	10	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	0	0	0	0	0	0	0	1	7	2	0	0	0	0	0	1	2	4	3	3	3	18	16	6	15	4	15	3	11	10	10	4	0	6	100	10	4	10	11	6	10	1	7	8	14	18	15	114	0	1	1	2	0	0	1	0	1	0	2	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	4	2	5	0	0	0	14	2	3	3	4			0	1	0	0				0	0	0	0			0	0	0	0				16.2(09)	23.5(26)	25.8(26)	27.0(20)	33.9(31)	29.4(01)	33.5(12)	32.4(22)	33.8(13)	23.9(10)	18.5(01)	19.8(25)	33.9(31/may)	1.1(02)	1.2(03)	3.9(13)	3.5(04)	5.8(19)	7.3(08)	11.1(30)	10.8(13)	10.1(28)	6.1(22)	3.3(16)	1.8(04)	1.1(02/ene)	7	7	10	10	10	10	9	9	9	7		9	
1495	VIGO/PEINADOR	PONTEVEDRA	REDONDELA	261	837262	421419	15	8	13	17	8	13	8	9	14	19	29	19	172	6	17	8	19	11	15	16	16	14	14	7	10	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	4	10	8	4	8	4	5	9	14	11	19	22	0	114	15	6	13	1	14	4	10	7	9	4	0	6	89	10	5	10	10	6	11	5	8	7	13	23	15	123	0	1	0	2	0	0	1	0	1	0	1	0	6	0	0	0		0	0	0	0	0	0	0	3		0	0	0		2	1	4	1	6	0	0	0		3		3		2		0	1		0	11	6		0		0		0		0	0		0	0	1		15.3(01)	23.3(26)	25.0(24)		33.1(31)	30.7(01)	35.0(12)	32.3(22)	34.1(13)	23.3(07)	18.1(01)	20.0(29)		0.4(12)	1.0(03)	2.7(15)		5.5(19)	7.7(12)	11.3(31)	10.9(13)	9.8(28)	6.0(22)	2.7(16)	-2.0(04)		12	12	13	14	15	14	13	13	12	12	13	14	13
2867	SALAMANCA/MATACAN	SALAMANCA	CALVARRASA_DE_ABAJO	790	529542	405734	6	2	4	15	4	5	5	5	7	12	20	11	96	11	18	18	18	16	23	17	17	14	19	13	14	198	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	2	8	2	3	3	0	1	0	0	3	3	2	9	34	10	7	10	2	11	6	14	10	10	2	0	1	83	10	3	3	10	4	1	0	4	6	10	17	16	84	0	0	0	3	0	1	3	3	2	1	0	0	13	23	23	20	5	0	0	0	0	0	2	5	14	92	0	0	0	0	2	10	23	20	3	0	0	0	58			3	8			1		2		13	9				0	1			0		0		0	4		15.5(24)	22.7(26)	23.1(16)	24.9(30)	31.7(31)	39.4(28)	38.1(12)	34.8(24)	31.5(04)	29.7(08)	19.9(01)	15.8(24)	39.4(28/jun)	-8.4(05)	-5.8(04)	-3.7(01)	-4.8(04)	1.5(18)	3.4(06)	7.5(30)	7.0(12)	5.1(27)	-0.5(21)	-3.7(16)	-5.7(31)	-8.4(05/ene)		8	13	16	16	15	12	10	11	11	21	16	
2870	SALAMANCA_OBS	SALAMANCA	SALAMANCA	775	539442	405727																																																																																																									22	10	3	1	0			0	0	0	1	6		0	0	0	0	3			20	2	0	0	0		2	1	1	4	2			0	0	1	5	4		0	0	0	0	0			0	0	0	0	1		16.5(26)	22.2(26)	23.4(16)	26.0(30)	32.5(31)			34.9(30)	32.2(04)	29.2(07)	19.7(01)	16.9(24)		-5.4(07)	-3.0(04)	0.0(01)	-0.6(04)	4.4(18)			11.3(13)	9.0(07)	2.6(21)	-0.7(16)	-2.5(31)		7	5	7	9	8			7	6	6	11	8	
