localidad poblacion latitud longitud provincia ccaa
Pontevedra 83029 42.26 -8.39 Pontevedra Galicia
Pozuelo_de_Alarcón 86422 40.43 -3.81 Madrid Comunidad_de_Madrid
Reus 104373 41.1 1.06 Tarragona Cataluña
Rivas-Vaciamadrid 88150 40.33 -3.51 Madrid Comunidad_de_Madrid
Roquetas_de_Mar 96800 36.46 -2.37 Almería Andalucía
Rubí 77464 41.33 2.07 Barcelona Cataluña
Sabadell 213644 39.41 -0.16 Barcelona Cataluña
Sagunto 66140 40.57 -5.4 Valencia Comunidad_Valenciana
Salamanca 144228 27.56 -15.35 Salamanca Castilla_y_León
San_Bartolomé_de_Tirajana 53443 27.92 -15.57 Las_Palmas Canarias
San_Baudilio_de_Llobregat 83605 41.34 2.04 Barcelona Cataluña
San_Cristóbal_de_La_Laguna 157503 28.47 -16.37 Santa_Cruz_de_Tenerife Canarias
San_Cugat_del_Vallés 91006 41.47 2.08 Barcelona Cataluña
San_Fernando 94979 36.28 -6.11 Cádiz Andalucía
San_Sebastián 187415 43.19 -1.59 Guipúzcoa País_Vasco
San_Sebastián_de_los_Reyes 89276 40.54 -3.61 Madrid Comunidad_de_Madrid
San_Vicente_del_Raspeig 58385 38.43 -0.55 Alicante Comunidad_Valenciana
Sanlúcar_de_Barrameda 68684 36.46 -6.21 Cádiz Andalucía
Santa_Coloma_de_Gramanet 119215 41.27 2.13 Barcelona Cataluña
Santa_Cruz_de_Tenerife 207312 28.47 -16.25 Santa_Cruz_de_Tenerife Canarias
Santa_Lucía_de_Tirajana 73328 27.87 -15.49 Las_Palmas Canarias
Santander 172539 43.28 -3.48 Cantabria Cantabria
Santiago_de_Compostela 97260 42.52 -8.33 La_Coruña Galicia
Sardañola_del_Vallés 57403 41.49 2.14 Barcelona Cataluña
Segovia 51674 40.57 -4.07 Segovia Castilla_y_León
Sevilla 688592 37.23 -5.59 Sevilla Andalucía
Siero 51667 43.38 -5.67 Asturias Principado_de_Asturias
Talavera_de_la_Reina 83417 39.58 -4.5 Toledo Castilla-La_Mancha
Tarragona 134515 41.07 1.16 Tarragona Cataluña
Tarrasa 220556 41.34 2.01 Barcelona Cataluña
Telde 102647 27.58 -15.25 Las_Palmas Canarias
Toledo 84873 39.51 -4.01 Toledo Castilla-La_Mancha
Torrejón_de_Ardoz 131376 40.27 -3.29 Madrid Comunidad_de_Madrid
Torrelavega 51494 43.2 -4.02 Cantabria Cantabria
Torremolinos 68661 36.38 -4.3 Málaga Andalucía
