,comunidad,provincia,población,latitud,longitud,altitud,distanica_km,cuidad_mas_cercana
65,andalucia,almeria,olula_de_castro,37.176109999999994,-2.476297,1054.839,58.32512836314206,El_Ejido
66,andalucia,almeria,olula_del_rio,37.35212,-2.298121,486.5961,77.87893609493355,Lorca
67,andalucia,almeria,oria,37.48503,-2.2950180000000002,1038.982,77.71890708860937,Lorca
68,andalucia,almeria,padules,36.99884,-2.773482,745.1029,31.10498432842553,El_Ejido
69,andalucia,almeria,partaloa,37.406040000000004,-2.226434,548.585,71.25212725722977,Lorca
70,andalucia,almeria,paterna_del_rio,37.02088,-2.953087,1201.81,36.13296784144548,El_Ejido
71,andalucia,almeria,pechina,36.91667,-2.440625,107.5108,38.762690826067036,El_Ejido
72,andalucia,almeria,pulpi,37.41183,-1.745502,194.9947,28.758721237952123,Lorca
73,andalucia,almeria,purchena,37.34855,-2.36155,540.9984,80.02167032492423,El_Ejido
74,andalucia,almeria,ragol,36.99564,-2.680989,404.8323,32.43736243945363,El_Ejido
75,andalucia,almeria,rioja,36.94406,-2.462424,133.2092,39.042730423341226,El_Ejido
76,andalucia,almeria,roquetas_de_mar,36.76427,-2.614935,11.84886,17.214586145033586,El_Ejido
77,andalucia,almeria,santa_cruz_de_marchena,37.0172,-2.603768,328.9739,37.38596665575185,El_Ejido
78,andalucia,almeria,santa_fe_de_mondujar,36.97506,-2.530279,210.5975,37.165123988186224,El_Ejido
79,andalucia,almeria,senes,37.204570000000004,-2.347544,1007.387,67.24643424080175,El_Ejido
80,andalucia,almeria,seron,37.34361,-2.508077,800.137,74.04906353900994,El_Ejido
81,andalucia,almeria,sierro,37.323479999999996,-2.398526,721.0729,76.00596519448685,El_Ejido
82,andalucia,almeria,somontin,37.39139,-2.3891270000000002,816.8105,83.10868338792895,El_Ejido
83,andalucia,almeria,sorbas,37.09841,-2.1263509999999997,391.5779,67.95325729681267,Almería
84,andalucia,almeria,sufli,37.3382,-2.389523,636.8499,77.82535488590382,El_Ejido
85,andalucia,almeria,tabernas,37.04945,-2.392681,405.9641,51.53636552143654,El_Ejido
86,andalucia,almeria,taberno,37.467290000000006,-2.076205,702.8022,58.303230991808356,Lorca
87,andalucia,almeria,tahal,37.22803,-2.28497,1008.582,72.71674196171855,El_Ejido
88,andalucia,almeria,terque,36.98359,-2.597233,282.4351,34.428333153628856,El_Ejido
89,andalucia,almeria,tijola,37.34551,-2.439434,685.3789999999999,76.58805311925684,El_Ejido
90,andalucia,almeria,tres_villas_,37.133340000000004,-2.7,693.0934,46.82767594361278,El_Ejido
91,andalucia,almeria,turre,37.15225,-1.8948990000000001,49.41454,50.87662374505161,Lorca
92,andalucia,almeria,turrillas,37.030190000000005,-2.264096,840.3381,58.85674037942254,El_Ejido
93,andalucia,almeria,uleila_del_campo,37.18548,-2.203801,629.6137,73.71210459459714,Lorca
94,andalucia,almeria,urracal,37.39732,-2.3650700000000002,744.7553,83.51632936297136,Lorca
95,andalucia,almeria,velefique,37.19375,-2.4036869999999997,937.5716,63.38435134800993,El_Ejido
96,andalucia,almeria,velez_blanco,37.69095,-2.095682,1072.432,67.28218903209553,Lorca
97,andalucia,almeria,velez_rubio,37.64802,-2.074232,842.2859,63.4928064336411,Lorca
98,andalucia,almeria,vera,37.24686,-1.868238,102.0657,43.60069282045254,Lorca
99,andalucia,almeria,viator,36.88963,-2.426541,74.79173,38.2391160210753,El_Ejido
100,andalucia,almeria,vicar,36.83145,-2.642515,276.2602,18.7227190393938,El_Ejido
101,andalucia,almeria,zurgena,37.34265,-2.039607,248.1582,55.277249572463646,Lorca
102,andalucia,cadiz,alcala_de_los_gazules,36.46045,-5.723718,158.3963,33.25455663201833,Jerez_de_la_Frontera
103,andalucia,cadiz,alcala_del_valle,36.90491,-5.173237,623.3366,34.193213373564,Utrera
104,andalucia,cadiz,algar,36.65533,-5.657418,213.0833,47.322120190523655,Jerez_de_la_Frontera
105,andalucia,cadiz,algeciras,36.12978,-5.447698,22.40544,10.40144827047001,La_Línea_de_la_Concepción
106,andalucia,cadiz,algodonales,36.88092,-5.405773,370.124,25.931921235895896,Utrera
107,andalucia,cadiz,arcos_de_la_frontera,36.75078,-5.8123949999999995,139.2057,41.326683539137505,El_Puerto_de_Santa_María
108,andalucia,cadiz,barbate,36.192820000000005,-5.918903,15.972729999999999,16.618355998297158,Chiclana_de_la_Frontera
109,andalucia,cadiz,barrios_,36.185390000000005,-5.4927470000000005,25.33697,12.829540193563812,La_Línea_de_la_Concepción
110,andalucia,cadiz,benalup_casas_viejas,36.34284,-5.8094,75.25459000000001,26.216055941062827,Jerez_de_la_Frontera
111,andalucia,cadiz,benaocaz,36.69952,-5.421263,792.0704,45.787433289524145,Utrera
112,andalucia,cadiz,bornos,36.81459,-5.743362,153.5913,41.399399439667675,Utrera
113,andalucia,cadiz,bosque_,36.75752,-5.506988,273.1861,39.42824026993747,Utrera
114,andalucia,cadiz,cadiz,36.52969,-6.292657,15.42415,6.075654595939697,Cádiz
115,andalucia,cadiz,castellar_de_la_frontera,36.28621,-5.419937,30.78278,13.376714811626425,La_Línea_de_la_Concepción
116,andalucia,cadiz,chiclana_de_la_frontera,36.41915,-6.149412,13.2455,5.414563279852959,Jerez_de_la_Frontera
117,andalucia,cadiz,chipiona,36.7408,-6.4358699999999995,11.724969999999999,24.87433994044837,El_Puerto_de_Santa_María
118,andalucia,cadiz,conil_de_la_frontera,36.27675,-6.088436,33.709920000000004,1.9671048598007468,San_Fernando
119,andalucia,cadiz,espera,36.87319,-5.806213,147.471,40.09550589625853,Cuenca
120,andalucia,cadiz,gastor_,36.855090000000004,-5.323623,600.3022,30.83436404228479,Utrera
121,andalucia,cadiz,grazalema,36.75837,-5.366071,830.5287,39.993367179113534,Utrera
122,andalucia,cadiz,jerez_de_la_frontera,36.68656,-6.137173000000001,55.748490000000004,13.564575217350626,El_Puerto_de_Santa_María
123,andalucia,cadiz,jimena_de_la_frontera,36.43404,-5.453479,131.44299999999998,29.7402119003858,La_Línea_de_la_Concepción
124,andalucia,cadiz,linea_de_la_concepcion_,36.16118,-5.348256,10.4049,2.099194557976691,La_Línea_de_la_Concepción
125,andalucia,cadiz,medina_sidonia,36.46768,-5.927894,246.0372,15.861269770636685,Jerez_de_la_Frontera
126,andalucia,cadiz,olvera,36.93525,-5.267688,606.7288,25.874385689948912,Utrera
127,andalucia,cadiz,paterna_de_rivera,36.52333,-5.866053,125.9705,23.6685024700903,Jerez_de_la_Frontera
128,andalucia,cadiz,prado_del_rey,36.78968,-5.5555449999999995,423.1529,36.627409938962884,Utrera
129,andalucia,cadiz,puerto_de_santa_maria_,36.59695,-6.227526,14.763729999999999,0.8040004442312396,El_Puerto_de_Santa_María
130,andalucia,cadiz,puerto_real,36.52912,-6.191895,11.78617,3.0302106382825533,Cádiz
131,andalucia,cadiz,puerto_serrano,36.92159,-5.545621,162.2749,22.29379799937756,Utrera
132,andalucia,cadiz,rota,36.61699,-6.3582019999999995,14.286529999999999,11.834667232275903,El_Puerto_de_Santa_María
133,andalucia,cadiz,san_fernando,36.465720000000005,-6.196626,21.14313,1.3550357753443707,Sanlúcar_de_Barrameda
134,andalucia,cadiz,san_jose_del_valle,36.605540000000005,-5.798952,142.0624,33.913689953036325,Jerez_de_la_Frontera
135,andalucia,cadiz,san_roque,36.20975,-5.384572,106.1072,4.536589839012641,La_Línea_de_la_Concepción
136,andalucia,cadiz,sanlucar_de_barrameda,36.77882,-6.354198,11.0011,23.74514736781948,El_Puerto_de_Santa_María
137,andalucia,cadiz,setenil_de_las_bodegas,36.864059999999995,-5.181413,555.0465,36.89154941935239,Utrera
138,andalucia,cadiz,tarifa,36.01271,-5.602954,14.66109,29.378713335778393,La_Línea_de_la_Concepción
139,andalucia,cadiz,torre_alhaquime,36.91553,-5.234736,471.3644,29.464991008671298,Utrera
140,andalucia,cadiz,trebujena,36.86951,-6.176695,72.16942,31.45091310621797,El_Puerto_de_Santa_María
141,andalucia,cadiz,ubrique,36.67771,-5.446557,326.7233,48.098412289449776,Utrera
142,andalucia,cadiz,vejer_de_la_frontera,36.25331,-5.9628559999999995,178.6806,11.410604459948402,Chiclana_de_la_Frontera
143,andalucia,cadiz,villaluenga_del_rosario,36.69587,-5.388137,874.9724,46.504966474877435,Utrera
144,andalucia,cadiz,villamartin,36.86132,-5.641833999999999,167.8091,32.03306892490627,Utrera
145,andalucia,cadiz,zahara,36.84053,-5.390547,507.4048,30.60189754333677,Utrera
146,andalucia,cordoba,adamuz,38.027359999999994,-4.524873,245.2438,55.5312035478553,Córdoba
147,andalucia,cordoba,aguilar_de_la_frontera,37.515029999999996,-4.656057,374.5963,16.497807547534318,Córdoba
148,andalucia,cordoba,alcaracejos,38.38823,-4.967683999999999,611.311,104.96508470669443,Córdoba
149,andalucia,cordoba,almedinilla,37.439,-4.091205,643.6762,34.93210988420594,Córdoba
150,andalucia,cordoba,almodovar_del_rio,37.80959,-5.019958,119.838,57.54677509758829,Córdoba
151,andalucia,cordoba,anora,38.410990000000005,-4.897461,629.9739,104.91585212194052,Córdoba
152,andalucia,cordoba,baena,37.61441,-4.326089,432.8641,15.783324483864186,Córdoba
153,andalucia,cordoba,belalcazar,38.57843,-5.1671190000000005,492.9109,89.88659999633785,Mataró
154,andalucia,cordoba,belmez,38.27234,-5.208753,530.0388,91.7474269214883,Mataró
155,andalucia,cordoba,benameji,37.26732,-4.540418,458.9315,29.873087338673766,Córdoba
156,andalucia,cordoba,blazquez_,38.4065,-5.438988,594.3582,68.16061371240967,Mataró
157,andalucia,cordoba,bujalance,37.896570000000004,-4.383588,345.5078,41.476420096407,Córdoba
158,andalucia,cordoba,cabra,37.47437,-4.425930999999999,503.6198,7.30822046954888,Córdoba
159,andalucia,cordoba,canete_de_las_torres,37.86741,-4.318819,320.6117,39.8187806818121,Córdoba
160,andalucia,cordoba,carcabuey,37.44359,-4.273436,628.2857,19.83325512965489,Córdoba
161,andalucia,cordoba,cardena,38.27047,-4.32373,747.5234,76.21216368635544,Ciudad_Real
162,andalucia,cordoba,carlota_,37.67361,-4.9325529999999995,215.4566,43.78013461419891,Córdoba
163,andalucia,cordoba,carpio_,37.940540000000006,-4.498775,180.5471,45.734394914535436,Córdoba
164,andalucia,cordoba,castro_del_rio,37.68864,-4.481579,229.5285,17.674973212439376,Córdoba
165,andalucia,cordoba,conquista,38.40844,-4.500968,597.3675,85.20930952969226,Ciudad_Real
166,andalucia,cordoba,cordoba,37.88473,-4.779152,131.9102,47.92626654596484,Córdoba
167,andalucia,cordoba,dona_mencia,37.55457,-4.357603,598.4364,10.282631409326637,Córdoba
168,andalucia,cordoba,dos_torres,38.445240000000005,-4.894932,589.4772,108.40317975330368,Córdoba
169,andalucia,cordoba,encinas_reales,37.274879999999996,-4.489717,446.9231,28.43038490765555,Córdoba
170,andalucia,cordoba,espejo,37.682109999999994,-4.552363,391.4622,18.41013779473063,Córdoba
171,andalucia,cordoba,espiel,38.18865,-5.018202,548.5708,87.66319065766741,Córdoba
172,andalucia,cordoba,fernan_nunez,37.672259999999994,-4.723994,310.7925,27.411520121933908,Córdoba
173,andalucia,cordoba,fuente_tojar,37.51163,-4.148019000000001,589.3212,28.47853116828231,Córdoba
174,andalucia,cordoba,fuente_la_lancha,38.42257,-5.048906,559.9954,101.21771899604424,Mataró
175,andalucia,cordoba,fuente_obejuna,38.26675,-5.419834,622.7498,74.94306901389767,Mataró
176,andalucia,cordoba,fuente_palmera,37.70319,-5.103904,160.0771,59.07983060976537,Córdoba
177,andalucia,cordoba,granjuela_,38.3711,-5.351436,554.3214,76.53903425853755,Mataró
178,andalucia,cordoba,guadalcazar,37.75755,-4.94463,161.6661,48.867908361481,Córdoba
179,andalucia,cordoba,guijo_,38.49629,-4.782716000000001,565.6235,107.74736989944788,Ciudad_Real
180,andalucia,cordoba,hinojosa_del_duque,38.50099,-5.148333,551.7130000000001,91.67625844418852,Mataró
181,andalucia,cordoba,hornachuelos,37.83084,-5.242984,177.4551,73.50756243611403,Sevilla
182,andalucia,cordoba,iznajar,37.257259999999995,-4.308423,519.9057,33.52908619871461,Córdoba
183,andalucia,cordoba,lucena,37.40873,-4.485598,494.1765,13.558945051374314,Córdoba
184,andalucia,cordoba,luque,37.55932,-4.276523,662.4076,17.371938495270463,Córdoba
185,andalucia,cordoba,montalban_de_cordoba,37.58292,-4.749699,277.8563,25.35592984308948,Córdoba
186,andalucia,cordoba,montemayor,37.64862,-4.698889,386.18699999999995,24.10548774788296,Córdoba
