;Total;0-4;5-9;10-14;15-19;20-24;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65-69;70-74;75-79;80-84;85-89;90-94;95-99;100 y más
Hombres;;;;;;;;;;;;;;;;;;;;;;
    13079-Solana, La;7,832;350;383;449;447;491;542;531;582;601;596;647;582;404;370;267;231;168;134;48;8;1
    13081-Terrinches;346;6;6;16;17;21;32;20;26;18;27;38;37;17;17;15;11;7;10;4;1;0
    13082-Tomelloso;17,745;912;982;1,111;962;1,041;1,093;1,179;1,437;1,549;1,379;1,373;1,203;885;765;615;520;401;236;87;10;5
    13083-Torralba de Calatrava;1,495;65;86;66;53;64;90;89;116;108;128;103;121;84;71;79;55;56;47;12;2;0
    13084-Torre de Juan Abad;483;10;15;31;22;23;22;21;24;26;35;43;40;37;32;25;21;22;23;11;0;0
    13085-Torrenueva;1,357;50;72;74;43;91;94;91;75;89;99;105;114;78;80;58;57;43;31;12;1;0
    13086-Valdemanco del Esteras;90;0;2;3;1;2;8;2;1;0;11;5;8;5;5;9;7;13;7;1;0;0
    13087-Valdepeñas;14,644;639;792;901;814;838;899;916;1,090;1,130;1,185;1,240;1,135;856;678;533;367;310;227;76;18;0
    13088-Valenzuela de Calatrava;321;4;14;16;8;18;27;19;16;23;19;37;35;22;17;12;11;5;14;4;0;0
    13089-Villahermosa;891;22;27;30;41;50;68;49;25;56;64;55;78;61;52;60;53;46;37;15;2;0
    13090-Villamanrique;560;13;10;24;22;32;36;33;28;34;40;57;60;41;20;23;27;23;27;10;0;0
    13091-Villamayor de Calatrava;313;8;9;10;13;12;13;10;16;25;24;26;34;18;14;25;9;15;22;9;1;0
    13092-Villanueva de la Fuente;1,062;38;39;51;49;71;59;46;58;63;86;91;84;66;51;57;49;55;39;9;1;0
    13093-Villanueva de los Infantes;2,446;66;68;118;139;154;158;137;131;162;152;248;242;165;139;92;84;89;71;25;6;0
    13094-Villanueva de San Carlos;155;1;0;1;1;7;9;4;3;13;12;13;21;14;9;9;13;13;7;4;1;0
    13095-Villar del Pozo;41;0;1;0;0;1;1;1;5;2;1;5;1;8;2;1;4;4;2;2;0;0
    13096-Villarrubia de los Ojos;4,878;216;236;265;254;284;291;343;339;360;386;392;376;277;216;216;147;119;103;48;7;3
    13097-Villarta de San Juan;1,410;62;69;75;56;85;84;76;78;114;88;137;118;83;75;69;42;48;41;8;2;0
    13098-Viso del Marqués;1,109;22;36;58;37;60;65;46;63;74;83;98;101;58;63;72;53;64;39;13;3;1
    14001-Adamuz;2,157;99;114;109;85;98;122;171;166;161;151;164;149;159;113;91;69;66;51;14;5;0
    14002-Aguilar de la Frontera;6,678;282;347;368;363;389;435;435;491;537;521;535;523;382;302;262;195;158;117;30;4;2
    14003-Alcaracejos;723;35;26;32;35;41;37;40;55;48;57;50;52;38;38;46;29;33;15;14;2;0
    14004-Almedinilla;1,191;44;52;55;45;85;79;79;81;80;90;104;101;63;50;55;43;32;39;6;6;2
    14005-Almodóvar del Río;3,963;217;192;261;229;212;240;256;304;316;275;324;292;238;175;165;95;90;60;17;3;2
    14006-Añora;752;18;41;41;22;37;52;37;47;61;60;65;55;55;41;30;21;37;25;4;2;1
    14007-Baena;9,829;436;511;602;582;758;751;689;681;668;709;743;742;571;398;329;252;193;131;55;14;14
    14008-Belalcázar;1,572;55;69;69;79;84;104;94;76;116;116;140;120;83;87;88;66;52;56;13;4;1
    14009-Belmez;1,418;37;42;47;61;85;95;97;96;82;85;108;136;124;88;74;39;53;41;23;5;0
    14010-Benamejí;2,478;123;116;152;139;167;156;184;163;157;199;219;189;138;96;90;70;58;42;19;1;0
    14011-Blázquez, Los;338;9;5;20;24;21;19;15;16;35;21;34;23;23;19;16;14;13;11;0;0;0
    14012-Bujalance;3,691;146;191;216;206;213;233;233;254;277;272;270;318;225;161;159;123;84;69;37;4;0
    14013-Cabra;9,905;397;477;595;550;577;638;575;634;750;731;864;767;650;457;402;317;278;161;73;10;2
    14014-Cañete de las Torres;1,512;55;63;67;61;99;107;106;79;103;98;136;132;97;82;72;55;47;38;12;3;0
    14015-Carcabuey;1,226;39;42;61;69;71;93;64;75;64;86;106;110;88;61;38;54;45;41;15;3;1
    14016-Cardeña;740;22;27;31;28;49;35;38;42;42;60;81;68;41;46;35;29;35;22;8;1;0
    14017-Carlota, La;7,033;387;423;436;398;384;427;472;594;572;530;492;462;381;320;265;187;141;109;49;4;0
    14018-Carpio, El;2,166;88;115;129;115;106;132;147;160;158;182;158;160;139;127;79;72;61;29;8;1;0
    14019-Castro del Río;3,869;175;178;180;231;216;260;242;271;263;273;343;317;239;180;154;101;116;83;38;7;2
    14020-Conquista;186;3;3;3;5;9;17;9;7;15;8;16;17;15;17;16;11;8;6;0;1;0
    14021-Córdoba;156,355;7,251;8,604;9,431;8,884;8,505;9,191;9,762;11,305;12,891;12,185;12,538;11,173;9,485;7,510;6,547;4,760;3,368;2,099;706;137;23
    14022-Doña Mencía;2,249;74;91;134;138;147;143;127;144;164;173;214;161;129;101;92;79;69;51;16;2;0
    14023-Dos Torres;1,202;70;46;43;60;81;85;69;76;81;64;82;125;93;58;47;40;33;29;15;5;0
    14024-Encinas Reales;1,115;39;58;52;69;67;67;64;76;84;88;95;88;59;68;44;32;36;19;10;0;0
    14025-Espejo;1,671;55;69;72;76;87;94;102;106;113;121;129;118;113;91;106;68;60;62;21;8;0
    14026-Espiel;1,207;50;67;53;54;43;81;86;91;93;85;82;95;90;60;62;40;33;30;10;2;0
    14027-Fernán-Núñez;4,840;214;231;280;258;251;315;320;333;371;392;394;357;310;229;172;149;124;104;27;8;1
    14901-Fuente Carreteros;578;20;29;29;37;42;33;25;42;38;44;46;42;38;33;29;21;17;10;2;1;0
    14028-Fuente la Lancha;182;6;9;4;8;7;9;10;16;20;13;7;16;9;11;10;12;9;6;0;0;0
    14029-Fuente Obejuna;2,374;70;69;89;110;133;135;131;137;161;161;225;210;176;152;139;105;83;56;22;10;0
    14030-Fuente Palmera;4,886;250;307;295;259;282;346;348;365;377;360;356;368;264;187;186;116;115;77;22;6;0
    14031-Fuente-Tójar;325;8;15;20;15;14;26;20;20;16;19;34;23;21;16;15;10;16;15;2;0;0
    14032-Granjuela, La;236;7;9;8;11;11;23;13;10;16;14;24;20;19;17;8;11;4;9;1;1;0
    14033-Guadalcázar;794;49;43;43;35;35;47;64;94;68;59;69;54;35;33;21;17;15;8;5;0;0
    14902-Guijarrosa, La;714;35;52;39;23;37;46;50;59;48;49;56;46;52;37;32;21;18;8;5;1;0
    14034-Guijo, El;185;13;6;8;7;9;9;8;8;11;16;9;9;13;11;18;6;7;13;1;2;1
    14035-Hinojosa del Duque;3,328;157;134;131;161;188;202;219;207;208;219;263;275;213;195;173;124;120;95;36;8;0
    14036-Hornachuelos;2,239;84;107;130;120;131;151;161;167;148;161;211;181;168;109;80;46;48;28;5;3;0
    14037-Iznájar;2,133;58;75;87;95;147;127;116;105;120;139;172;171;170;154;120;118;78;54;24;3;0
    14038-Lucena;21,251;1,134;1,252;1,422;1,285;1,280;1,393;1,384;1,644;1,817;1,697;1,667;1,383;1,032;894;751;502;382;234;82;16;0
    14039-Luque;1,503;45;52;65;72;94;122;79;66;97;97;142;152;107;63;71;42;71;44;20;2;0
    14040-Montalbán de Córdoba;2,219;92;103;100;120;108;104;119;161;172;191;183;187;121;120;102;90;79;50;16;1;0
    14041-Montemayor;1,938;90;76;107;109;110;111;126;127;141;156;160;140;136;79;87;63;65;36;14;5;0
    14042-Montilla;11,353;450;548;614;642;690;718;690;753;820;897;914;857;715;571;493;380;296;204;90;7;4
    14043-Montoro;4,616;236;225;285;286;267;298;273;341;335;376;367;338;254;202;174;144;101;84;24;6;0
    14044-Monturque;967;45;46;39;65;56;55;65;77;74;62;102;78;47;37;41;23;26;25;4;0;0
    14045-Moriles;1,866;84;93;103;99;130;125;107;128;135;156;157;160;112;76;67;52;40;30;10;2;0
    14046-Nueva Carteya;2,732;124;129;156;139;161;187;183;215;185;223;213;212;174;119;97;85;75;42;13;0;0
    14047-Obejo;1,048;38;56;55;45;56;74;91;87;101;92;76;79;55;47;38;23;19;12;4;0;0
    14048-Palenciana;748;31;37;42;42;48;42;38;54;56;53;64;54;50;35;33;17;29;18;4;1;0
    14049-Palma del Río;10,456;469;576;599;617;572;702;676;786;843;846;826;733;613;451;401;302;243;149;49;3;0
    14050-Pedro Abad;1,435;60;61;81;86;79;86;85;103;124;112;117;112;97;69;52;41;34;24;11;1;0
    14051-Pedroche;738;20;21;35;31;33;52;45;36;37;48;62;59;61;48;41;27;42;30;9;1;0
    14052-Peñarroya-Pueblonuevo;5,180;191;205;217;266;298;333;358;372;348;331;382;431;398;314;259;182;147;92;43;13;0
    14053-Posadas;3,635;160;179;217;201;220;237;226;251;273;240;337;299;211;162;123;129;84;64;18;4;0
    14054-Pozoblanco;8,371;379;416;454;487;521;530;533;577;599;651;691;707;536;384;294;229;184;138;50;9;2
    14055-Priego de Córdoba;10,929;441;475;597;617;654;716;660;692;784;877;982;831;640;500;437;361;344;234;78;8;1
    14056-Puente Genil;14,938;658;803;900;881;999;1,041;1,038;1,059;1,086;1,083;1,169;1,085;921;611;534;436;299;233;85;16;1
    14057-Rambla, La;3,713;146;168;203;183;235;224;247;302;301;262;327;269;255;165;143;101;96;59;23;4;0
    14058-Rute;4,892;207;278;255;277;281;281;297;337;356;379;396;412;277;196;181;156;153;123;45;4;1
    14059-San Sebastián de los Ballesteros;406;11;18;22;18;26;19;32;24;26;31;35;21;20;25;30;15;20;12;1;0;0
    14061-Santa Eufemia;383;6;6;11;14;13;30;22;11;17;24;31;33;37;20;21;23;32;23;6;3;0
    14060-Santaella;2,327;124;131;124;140;119;131;180;202;165;173;147;143;149;125;103;69;48;40;11;3;0
    14062-Torrecampo;519;15;11;17;16;22;36;20;24;26;44;53;51;28;37;33;29;29;19;6;2;1
    14063-Valenzuela;562;15;11;27;16;35;46;24;30;32;45;52;44;39;30;40;29;24;13;9;1;0
    14064-Valsequillo;168;4;5;6;7;8;7;4;6;10;12;11;18;23;14;8;10;9;4;1;1;0
    14065-Victoria, La;1,131;48;71;62;65;56;65;67;86;116;88;71;81;62;56;43;30;31;22;10;1;0
    14066-Villa del Río;3,527;166;186;204;202;220;240;216;255;281;266;292;264;201;180;131;89;65;49;15;5;0
    14067-Villafranca de Córdoba;2,486;129;169;144;118;118;157;172;200;259;215;193;164;135;100;72;61;43;29;6;2;0
    14068-Villaharta;301;11;6;9;8;15;20;18;16;15;34;22;28;24;15;14;19;15;6;4;2;0
    14069-Villanueva de Córdoba;4,331;171;161;197;242;254;287;275;317;288;315;347;358;311;190;176;165;147;92;31;7;0
    14070-Villanueva del Duque;743;18;28;34;36;46;38;27;44;39;49;59;60;43;55;50;32;42;28;11;4;0
    14071-Villanueva del Rey;513;20;12;22;25;19;26;27;34;33;36;54;42;34;36;22;18;19;19;12;3;0
    14072-Villaralto;569;19;21;20;19;21;30;15;47;42;35;36;55;39;44;32;26;33;23;8;4;0
    14073-Villaviciosa de Córdoba;1,663;53;64;62;77;87;85;95;104;117;138;138;119;122;103;92;80;61;44;19;3;0
    14074-Viso, El;1,265;45;48;50;62;72;94;73;73;76;69;110;122;83;70;58;48;54;45;12;1;0
    14075-Zuheros;328;10;8;21;11;15;19;12;14;18;33;40;32;19;15;14;15;18;10;3;1;0
    15001-Abegondo;2,655;76;98;106;112;102;89;149;186;219;199;217;180;183;207;166;122;120;80;36;8;0
    15002-Ames;15,236;813;991;980;866;734;694;826;1,276;1,677;1,611;1,370;1,051;716;558;412;295;182;126;48;10;0
    15003-Aranga;964;26;21;19;16;35;39;54;56;61;62;72;78;78;89;72;65;60;39;14;7;1
    15004-Ares;2,825;100;118;128;90;119;120;138;187;247;264;269;211;191;179;178;122;86;60;14;4;0
    15005-Arteixo;15,976;726;886;884;750;686;787;924;1,433;1,773;1,505;1,298;1,089;904;754;608;409;309;176;57;15;3
    15006-Arzúa;3,012;108;87;104;119;114;132;173;226;192;196;255;255;243;193;187;148;139;106;25;9;1
    15007-Baña, A;1,628;32;38;45;48;51;81;81;99;112;99;110;140;134;133;144;102;85;59;26;8;1
    15008-Bergondo;3,232;96;117;149;125;123;129;149;211;243;255;279;252;249;236;238;147;111;86;26;9;2
    15009-Betanzos;6,155;230;289;303;272;247;267;363;434;556;535;490;472;384;377;295;248;204;138;45;5;1
    15010-Boimorto;1,003;10;21;18;20;31;51;51;43;65;70;99;125;89;62;62;48;65;53;13;6;1
    15011-Boiro;9,177;365;434;486;462;444;463;527;740;882;747;730;611;530;515;456;320;264;153;37;10;1
    15012-Boqueixón;2,091;88;78;83;86;95;127;131;138;174;166;153;178;131;122;107;85;78;50;18;3;0
    15013-Brión;3,773;170;202;222;168;160;170;213;290;374;348;277;266;216;221;186;110;86;57;30;7;0
    15014-Cabana de Bergantiños;2,054;55;56;52;65;91;85;121;130;126;118;137;187;183;195;165;112;105;45;24;2;0
    15015-Cabanas;1,606;38;51;65;65;73;71;77;80;134;135;142;142;116;114;99;67;67;49;14;6;1
    15016-Camariñas;2,577;89;90;101;102;99;140;149;161;186;165;193;187;205;222;169;115;106;72;20;5;1
    15017-Cambre;12,024;484;608;680;645;608;595;642;833;1,113;1,149;1,104;923;720;626;505;347;241;148;44;9;0
    15018-Capela, A;612;14;18;18;26;22;17;30;40;54;53;45;56;43;44;46;31;26;23;3;3;0
    15019-Carballo;15,342;687;775;739;670;625;711;867;1,260;1,335;1,236;1,149;1,124;962;880;801;621;486;288;110;15;1
    15901-Cariño;1,901;47;61;60;59;64;82;102;112;142;133;169;152;140;126;169;117;89;57;16;4;0
    15020-Carnota;1,871;43;52;61;59;71;60;99;125;129;123;155;136;141;156;168;112;102;57;12;9;1
    15021-Carral;3,151;156;163;143;129;111;124;172;274;331;248;227;208;192;178;168;130;99;64;31;2;1
    15022-Cedeira;3,292;94;110;152;116;148;157;173;212;269;251;263;249;220;221;223;163;139;97;30;5;0
    15023-Cee;3,605;120;154;192;144;135;207;201;260;316;275;251;292;238;209;249;150;123;52;30;6;1
    15024-Cerceda;2,457;86;93;86;75;81;116;139;193;197;232;178;172;161;156;162;116;118;72;18;6;0
    15025-Cerdido;547;15;13;14;14;19;18;32;31;45;39;32;48;43;42;50;26;39;20;6;1;0
    15027-Coirós;906;45;40;38;25;24;37;46;61;79;80;68;62;51;57;62;50;40;31;10;0;0
    15028-Corcubión;769;9;32;30;40;34;43;41;45;56;62;72;70;58;56;50;27;22;13;9;0;0
    15029-Coristanco;2,895;75;96;103;98;100;112;157;167;186;213;229;250;271;222;199;157;130;91;33;6;0
    15030-Coruña, A;113,900;4,803;5,338;5,137;4,915;4,915;5,597;6,824;8,887;10,531;9,796;8,515;7,701;6,965;6,347;6,270;4,590;3,654;2,145;764;184;22
    15031-Culleredo;14,685;651;869;945;773;648;684;734;1,036;1,416;1,491;1,311;1,052;834;649;601;466;281;182;55;6;1
    15032-Curtis;1,981;73;87;63;86;76;90;124;151;136;143;167;158;173;124;103;74;75;57;19;1;1
    15033-Dodro;1,344;34;57;60;55;48;78;81;96;103;100;95;99;91;86;78;76;61;35;10;1;0
    15034-Dumbría;1,434;27;40;37;48;70;79;80;80;100;127;105;106;110;110;108;81;69;31;21;4;1
    15035-Fene;6,170;193;233;240;227;246;261;304;433;578;497;481;482;406;401;415;322;235;158;45;12;1
    15036-Ferrol;31,027;1,013;1,222;1,471;1,367;1,365;1,482;1,732;2,076;2,488;2,386;2,362;2,460;2,233;2,008;1,914;1,352;1,108;705;241;36;6
    15037-Fisterra;2,380;72;76;95;99;110;122;131;159;180;185;188;219;188;160;141;129;68;42;13;2;1
    15038-Frades;1,162;32;38;29;27;48;59;66;88;78;70;95;116;96;90;76;59;50;31;10;3;1
    15039-Irixoa;663;15;11;21;21;20;21;27;40;38;48;63;46;68;52;56;42;36;24;11;3;0
    15041-Laracha, A;5,591;212;281;236;205;177;275;285;438;573;425;442;392;339;351;314;278;190;122;48;8;0
    15040-Laxe;1,515;41;47;49;64;49;75;102;93;106;101;117;124;141;112;103;96;47;38;7;3;0
    15042-Lousame;1,647;59;65;67;66;55;95;81;113;132;128;114;115;113;113;118;80;63;53;13;4;0
    15043-Malpica de Bergantiños;2,631;55;56;72;91;98;113;131;168;188;197;229;233;211;195;222;152;128;69;19;3;1
    15044-Mañón;665;22;11;21;20;15;31;24;41;41;47;52;59;64;59;31;40;47;30;9;0;1
    15045-Mazaricos;1,855;41;31;52;59;81;91;97;139;98;121;127;166;153;172;149;107;84;60;23;3;1
    15046-Melide;3,654;140;163;173;140;149;175;221;242;293;264;292;279;247;207;208;165;158;103;29;5;1
    15047-Mesía;1,260;31;26;39;38;48;46;67;62;100;89;84;110;124;92;92;81;67;38;23;3;0
    15048-Miño;3,082;144;155;143;134;105;128;149;253;321;273;241;185;186;169;187;117;92;80;15;5;0
    15049-Moeche;586;17;17;13;16;14;23;29;50;45;39;39;42;49;49;41;31;41;20;9;2;0
    15050-Monfero;994;28;25;11;26;27;51;46;60;71;70;92;104;82;68;63;58;58;35;15;4;0
    15051-Mugardos;2,541;81;79;107;88;83;100;148;180;226;241;194;193;179;195;145;113;99;67;19;4;0
    15053-Muros;4,123;98;129;145;176;171;204;202;279;282;298;345;322;299;325;279;233;179;119;27;11;0
    15052-Muxía;2,260;50;70;70;77;105;93;130;152;154;159;170;166;195;169;183;137;94;52;27;5;2
    15054-Narón;18,904;904;1,036;1,011;772;674;762;1,080;1,704;2,019;1,635;1,357;1,308;1,150;939;871;659;565;331;111;12;4
    15055-Neda;2,464;76;67;96;95;75;112;148;204;186;198;184;177;178;175;165;141;87;87;12;0;1
    15056-Negreira;3,302;139;171;137;142;149;146;164;238;319;269;249;221;189;188;198;133;118;94;31;5;2
    15057-Noia;6,839;255;265;303;292;267;303;382;529;593;578;542;501;465;411;418;310;231;142;40;10;2
    15058-Oleiros;17,381;743;981;1,031;904;792;797;852;1,215;1,532;1,568;1,457;1,221;1,060;953;859;584;429;287;93;20;3
    15059-Ordes;6,190;276;324;305;259;226;302;373;537;563;490;427;408;393;384;319;273;182;114;30;4;1
    15060-Oroso;3,708;190;189;213;184;169;166;218;344;398;337;323;243;201;164;130;78;87;46;26;2;0
    15061-Ortigueira;2,708;45;62;85;67;83;118;135;164;172;207;201;225;248;208;206;148;159;125;39;9;2
    15062-Outes;3,018;80;100;92;97;102;144;133;200;237;234;199;220;270;222;234;174;147;92;35;5;1
    15902-Oza-Cesuras;2,562;60;83;90;69;82;115;126;186;185;206;198;172;199;187;179;148;144;95;31;7;0
    15064-Paderne;1,173;30;30;41;39;31;36;71;79;95;74;97;101;97;75;80;69;65;41;18;4;0
    15065-Padrón;4,030;151;151;182;187;170;195;265;286;344;352;342;286;294;207;229;158;124;82;21;4;0
    15066-Pino, O;2,333;83;91;63;84;95;114;146;178;191;129;186;181;200;169;131;111;73;67;32;9;0
    15067-Pobra do Caramiñal, A;4,563;147;203;220;209;213;256;245;331;370;364;419;362;297;234;225;187;143;100;29;8;1
    15068-Ponteceso;2,756;76;78;97;84;100;114;160;204;210;182;191;232;235;204;211;150;110;83;29;5;1
    15069-Pontedeume;3,711;135;150;166;149;164;156;196;268;278;274;365;316;258;229;218;156;118;84;23;7;1
    15070-Pontes de García Rodríguez, As;4,934;171;201;170;137;153;215;313;429;432;335;322;453;445;405;251;174;150;112;57;8;1
    15071-Porto do Son;4,562;162;154;229;197;215;240;261;308;341;337;343;348;349;289;281;214;155;105;31;3;0
    15072-Rianxo;5,395;211;218;254;221;255;257;317;407;455;439;415;362;369;322;300;225;208;121;34;5;0
    15073-Ribeira;13,263;535;624;689;670;671;727;762;962;1,142;1,186;1,094;955;794;672;594;475;380;241;78;10;2
    15074-Rois;2,144;76;90;90;58;88;109;138;142;184;166;170;153;139;142;146;88;88;53;18;5;1
    15075-Sada;7,741;306;389;377;327;297;334;367;561;698;694;585;591;541;443;432;312;246;169;64;7;1
    15076-San Sadurniño;1,396;41;43;41;33;40;43;67;114;141;82;101;109;136;100;89;77;69;53;12;5;0
    15077-Santa Comba;4,553;152;151;191;167;192;210;262;314;356;331;294;319;323;376;344;233;158;133;35;11;1
    15078-Santiago de Compostela;45,179;2,164;2,243;2,082;1,953;2,051;2,382;2,709;3,598;4,132;3,630;3,452;3,218;2,952;2,576;2,274;1,476;1,223;714;285;56;9
    15079-Santiso;816;9;16;22;20;28;44;46;39;45;49;69;82;49;63;62;60;62;28;19;4;0
    15080-Sobrado;909;16;15;16;19;28;46;45;47;50;50;84;98;86;67;57;68;43;55;15;4;0
    15081-Somozas, As;550;6;24;17;15;18;20;37;48;41;44;35;55;49;38;31;23;27;14;6;2;0
    15082-Teo;9,127;360;429;492;480;444;464;484;687;832;859;694;666;634;569;412;269;199;102;44;6;1
    15083-Toques;584;11;10;11;14;23;27;25;32;35;41;55;61;54;49;48;31;22;24;9;1;1
    15084-Tordoia;1,558;27;40;33;43;61;77;90;86;99;100;123;122;121;130;121;111;95;53;22;4;0
    15085-Touro;1,780;44;49;39;59;74;96;89;109;100;106;166;166;153;116;123;92;95;76;23;4;1
    15086-Trazo;1,538;42;47;47;42;50;81;92;96;110;98;106;136;126;111;113;88;63;66;22;1;1
    15088-Val do Dubra;1,854;62;65;57;62;73;75;109;113;130;138;138;129;123;146;146;109;85;50;36;7;1
    15087-Valdoviño;3,181;94;110;124;111;94;106;151;232;268;258;242;263;237;222;231;180;154;79;19;6;0
    15089-Vedra;2,475;96;123;101;88;93;124;157;192;221;197;181;180;161;172;131;100;90;44;20;3;1
    15091-Vilarmaior;627;11;17;19;21;16;33;35;42;49;55;41;50;59;40;37;36;35;22;8;1;0
    15090-Vilasantar;642;13;14;12;20;17;19;29;37;41;63;57;56;56;35;50;40;43;28;10;2;0
    15092-Vimianzo;3,380;89;102;121;109;143;188;171;229;241;250;221;245;248;269;246;234;135;94;38;6;1
    15093-Zas;2,154;53;60;57;97;79;116;101;129;138;133;168;203;179;163;162;119;103;56;30;7;1
    16001-Abia de la Obispalía;40;1;0;0;0;0;1;0;0;4;3;4;6;3;4;5;2;2;4;0;1;0
    16002-Acebrón, El;115;4;3;2;5;7;4;2;6;5;10;10;9;5;12;4;9;6;8;3;1;0
    16003-Alarcón;67;1;0;2;0;3;3;5;4;0;6;6;7;7;7;3;4;3;4;2;0;0
    16004-Albaladejo del Cuende;127;1;4;2;3;1;4;2;3;7;8;14;12;8;11;16;11;8;9;2;1;0
    16005-Albalate de las Nogueras;132;1;4;3;2;8;4;3;3;11;10;15;16;10;8;6;9;8;10;1;0;0
    16006-Albendea;57;1;1;1;3;1;1;5;5;2;5;2;6;5;4;3;4;6;1;0;1;0
    16007-Alberca de Záncara, La;807;25;32;35;35;46;54;62;47;66;64;60;60;53;52;30;31;31;17;5;2;0
    16008-Alcalá de la Vega;55;1;1;1;0;1;3;2;3;1;0;1;8;6;8;1;4;4;5;4;1;0
    16009-Alcantud;28;0;0;0;0;0;0;2;2;1;3;3;3;1;4;3;1;2;2;1;0;0
    16010-Alcázar del Rey;78;3;4;1;4;3;3;4;3;6;6;5;9;4;7;4;3;4;4;1;0;0
    16011-Alcohujate;15;0;0;0;0;0;1;1;0;0;1;1;5;2;0;2;2;0;0;0;0;0
    16012-Alconchel de la Estrella;51;0;2;1;4;1;0;3;2;6;3;6;4;6;7;2;0;1;0;3;0;0
    16013-Algarra;13;0;0;0;0;0;0;0;0;0;0;3;1;4;3;1;0;0;1;0;0;0
    16014-Aliaguilla;331;11;8;13;7;12;27;14;21;20;21;30;25;19;22;26;8;26;15;6;0;0
    16015-Almarcha, La;201;3;1;4;8;5;10;9;12;7;16;21;23;27;12;12;7;10;11;3;0;0
    16016-Almendros;139;2;2;2;4;6;7;9;7;10;6;9;13;10;9;16;15;4;4;3;1;0
    16017-Almodóvar del Pinar;216;5;9;4;10;10;9;13;11;11;19;16;21;18;9;14;14;7;12;4;0;0
    16018-Almonacid del Marquesado;218;4;4;4;9;12;11;17;11;13;14;19;17;16;13;9;11;13;16;5;0;0
    16019-Altarejos;101;0;2;2;3;4;1;3;1;7;8;11;8;8;10;6;7;10;5;4;1;0
    16020-Arandilla del Arroyo;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0
    16905-Arcas;866;49;54;55;60;36;54;62;66;95;82;81;57;46;20;21;10;8;6;4;0;0
    16022-Arcos de la Sierra;47;0;1;1;1;0;3;0;0;2;4;4;8;4;3;4;1;6;3;2;0;0
    16024-Arguisuelas;74;0;4;1;2;1;6;4;6;5;3;6;6;6;7;3;5;2;6;1;0;0
    16025-Arrancacepas;13;0;0;0;0;0;0;1;0;1;0;0;1;3;0;2;2;1;0;2;0;0
    16026-Atalaya del Cañavate;58;0;3;1;1;4;1;2;3;7;3;6;5;5;3;4;2;5;3;0;0;0
    16027-Barajas de Melo;491;11;17;17;18;21;25;23;52;46;45;34;37;33;27;23;22;17;15;8;0;0
    16029-Barchín del Hoyo;57;0;0;0;0;2;4;3;4;4;4;3;9;5;5;6;1;3;2;2;0;0
    16030-Bascuñana de San Pedro;15;0;0;0;0;0;0;2;1;0;4;0;2;1;1;0;2;1;1;0;0;0
    16031-Beamud;18;1;0;0;0;0;1;0;1;0;5;1;3;1;3;1;0;0;1;0;0;0
    16032-Belinchón;173;3;10;8;9;6;8;6;7;15;16;17;10;9;11;11;10;8;5;4;0;0
    16033-Belmonte;954;22;25;40;37;49;73;44;57;59;60;85;85;86;56;43;40;43;33;13;4;0
    16034-Belmontejo;92;0;0;2;1;4;2;4;5;6;4;6;9;9;8;10;6;6;4;5;1;0
    16035-Beteta;125;2;2;2;5;6;6;6;5;3;6;17;22;12;9;8;4;4;5;1;0;0
    16036-Boniches;71;1;3;2;4;0;2;0;6;5;7;6;3;7;8;4;7;4;2;0;0;0
    16038-Buciegas;25;0;1;1;1;0;0;0;3;3;2;2;4;1;2;1;1;0;2;1;0;0
    16039-Buenache de Alarcón;239;6;3;6;10;7;11;17;14;18;16;24;18;16;13;14;8;14;13;7;4;0
    16040-Buenache de la Sierra;56;1;3;1;2;0;3;3;1;4;3;10;9;6;3;5;0;1;1;0;0;0
    16041-Buendía;213;3;8;6;10;14;11;12;11;12;12;14;18;22;18;12;9;10;10;1;0;0
    16042-Campillo de Altobuey;655;21;14;21;38;31;36;30;33;46;43;51;67;40;31;33;37;44;27;11;1;0
    16043-Campillos-Paravientos;60;0;1;2;2;4;1;3;5;2;6;1;6;6;4;3;3;4;6;1;0;0
    16044-Campillos-Sierra;17;0;0;0;0;0;0;0;1;0;1;2;4;1;0;3;1;0;2;2;0;0
    16901-Campos del Paraíso;374;5;11;9;5;12;19;16;17;27;25;22;44;27;24;26;16;28;27;11;3;0
    16045-Canalejas del Arroyo;102;0;0;0;0;3;6;5;4;3;3;15;11;9;3;2;5;9;16;7;1;0
    16046-Cañada del Hoyo;125;0;4;7;2;6;7;5;5;7;3;17;12;10;10;9;6;7;7;0;1;0
    16047-Cañada Juncosa;130;1;1;4;6;4;14;4;3;8;8;15;10;10;8;5;9;8;10;2;0;0
    16048-Cañamares;254;11;5;4;10;8;9;20;16;19;16;23;26;27;17;13;11;8;7;3;1;0
    16049-Cañavate, El;73;1;1;0;1;0;4;6;3;4;2;6;10;2;6;4;10;5;5;2;1;0
    16050-Cañaveras;127;5;2;5;7;6;3;6;5;6;14;10;11;5;11;7;2;9;8;5;0;0
    16051-Cañaveruelas;67;0;1;0;1;1;7;5;1;7;2;8;6;5;2;6;2;4;5;4;0;0
    16052-Cañete;377;14;17;23;19;28;20;17;24;25;28;37;31;22;14;20;12;11;9;5;1;0
    16053-Cañizares;240;1;3;11;11;21;13;12;13;13;18;20;28;19;17;10;12;10;4;2;2;0
