,bus_based_companies_count,cities_es,cities,province_es,province,ccaa_es,ccaa,cities_es/province,provincia_original,municipio_original,prov_total_millones_vehiculos_km,prov_porcentaje_carreteras_ccaa_y_estado,perc_calidad_cobertura_fija_movil,ccaa_accessibility_mean,tiene_cercanias,tiene_feve,tiene_ave,nume_estaciones_tren
896,,iznalloz,iznalloz,granada,granada,andalucia,andalucia,iznalloz/granada,Granada,Iznalloz,5600.93,0.790526930349067,53.89,51.60093823,0.0,0.0,0.0,1.0
897,,jete,jete,granada,granada,andalucia,andalucia,jete/granada,Granada,Jete,5600.93,0.790526930349067,60.0,51.60093823,0.0,0.0,0.0,1.0
898,,jun,jun,granada,granada,andalucia,andalucia,jun/granada,Granada,Jun,5600.93,0.790526930349067,100.0,51.60093823,0.0,0.0,0.0,1.0
899,,juviles,juviles,granada,granada,andalucia,andalucia,juviles/granada,Granada,Juviles,5600.93,0.790526930349067,80.0,51.60093823,0.0,0.0,0.0,1.0
900,,lachar,lachar,granada,granada,andalucia,andalucia,lachar/granada,Granada,Láchar,5600.93,0.790526930349067,90.0,51.60093823,0.0,0.0,0.0,1.0
901,,lanjaron,lanjaron,granada,granada,andalucia,andalucia,lanjaron/granada,Granada,Lanjarón,5600.93,0.790526930349067,100.0,51.60093823,0.0,0.0,0.0,1.0
902,,lecrin,lecrin,granada,granada,andalucia,andalucia,lecrin/granada,Granada,Lecrín,5600.93,0.790526930349067,93.33,51.60093823,0.0,0.0,0.0,1.0
903,,lobras,lobras,granada,granada,andalucia,andalucia,lobras/granada,Granada,Lobras,5600.93,0.790526930349067,61.88,51.60093823,0.0,0.0,0.0,1.0
904,,loja,loja,granada,granada,andalucia,andalucia,loja/granada,Granada,Loja,5600.93,0.790526930349067,75.0,51.60093823,0.0,0.0,0.0,1.0
905,,maracena,maracena,granada,granada,andalucia,andalucia,maracena/granada,Granada,Maracena,5600.93,0.790526930349067,100.0,51.60093823,0.0,0.0,0.0,1.0
906,,moclin,moclin,granada,granada,andalucia,andalucia,moclin/granada,Granada,Moclín,5600.93,0.790526930349067,79.64,51.60093823,0.0,0.0,0.0,1.0
907,,molvizar,molvizar,granada,granada,andalucia,andalucia,molvizar/granada,Granada,Molvízar,5600.93,0.790526930349067,90.0,51.60093823,0.0,0.0,0.0,1.0
908,,monachil,monachil,granada,granada,andalucia,andalucia,monachil/granada,Granada,Monachil,5600.93,0.790526930349067,96.67,51.60093823,0.0,0.0,0.0,1.0
909,,montefrio,montefrio,granada,granada,andalucia,andalucia,montefrio/granada,Granada,Montefrío,5600.93,0.790526930349067,39.38,51.60093823,0.0,0.0,0.0,1.0
910,,montejicar,montejicar,granada,granada,andalucia,andalucia,montejicar/granada,Granada,Montejícar,5600.93,0.790526930349067,80.0,51.60093823,0.0,0.0,0.0,1.0
911,,montillana,montillana,granada,granada,andalucia,andalucia,montillana/granada,Granada,Montillana,5600.93,0.790526930349067,57.5,51.60093823,0.0,0.0,0.0,1.0
912,,moraleda_de_zafayona,moraleda_de_zafayona,granada,granada,andalucia,andalucia,moraleda_de_zafayona/granada,Granada,Moraleda de Zafayona,5600.93,0.790526930349067,75.0,51.60093823,,,,
913,,motril,motril,granada,granada,andalucia,andalucia,motril/granada,Granada,Motril,5600.93,0.790526930349067,81.67,51.60093823,0.0,0.0,0.0,1.0
914,,murtas,murtas,granada,granada,andalucia,andalucia,murtas/granada,Granada,Murtas,5600.93,0.790526930349067,60.0,51.60093823,0.0,0.0,0.0,1.0
915,,nivar,nivar,granada,granada,andalucia,andalucia,nivar/granada,Granada,Nívar,5600.93,0.790526930349067,100.0,51.60093823,0.0,0.0,0.0,1.0
916,,ogijares,ogijares,granada,granada,andalucia,andalucia,ogijares/granada,Granada,Ogíjares,5600.93,0.790526930349067,100.0,51.60093823,0.0,0.0,0.0,1.0
917,,orce,orce,granada,granada,andalucia,andalucia,orce/granada,Granada,Orce,5600.93,0.790526930349067,81.67,51.60093823,0.0,0.0,0.0,1.0
918,,orgiva,orgiva,granada,granada,andalucia,andalucia,orgiva/granada,Granada,Órgiva,5600.93,0.790526930349067,83.89,51.60093823,0.0,0.0,0.0,1.0
919,,otivar,otivar,granada,granada,andalucia,andalucia,otivar/granada,Granada,Otívar,5600.93,0.790526930349067,80.0,51.60093823,0.0,0.0,0.0,1.0
920,,villa_de_otura,villa_de_otura,granada,granada,andalucia,andalucia,villa_de_otura/granada,Granada,Villa de Otura,5600.93,0.790526930349067,90.0,51.60093823,0.0,0.0,0.0,1.0
921,,padul,padul,granada,granada,andalucia,andalucia,padul/granada,Granada,Padul,5600.93,0.790526930349067,100.0,51.60093823,0.0,0.0,0.0,1.0
922,,pampaneira,pampaneira,granada,granada,andalucia,andalucia,pampaneira/granada,Granada,Pampaneira,5600.93,0.790526930349067,90.0,51.60093823,0.0,0.0,0.0,1.0
923,,pedro_martinez,pedro_martinez,granada,granada,andalucia,andalucia,pedro_martinez/granada,Granada,Pedro Martínez,5600.93,0.790526930349067,90.0,51.60093823,0.0,0.0,0.0,1.0
924,,peligros,peligros,granada,granada,andalucia,andalucia,peligros/granada,Granada,Peligros,5600.93,0.790526930349067,100.0,51.60093823,0.0,0.0,0.0,1.0
925,,pinos_puente,pinos_puente,granada,granada,andalucia,andalucia,pinos_puente/granada,Granada,Pinos Puente,5600.93,0.790526930349067,67.0,51.60093823,0.0,0.0,0.0,1.0
926,,pinar,pinar,granada,granada,andalucia,andalucia,pinar/granada,Granada,Píñar,5600.93,0.790526930349067,60.0,51.60093823,0.0,0.0,0.0,1.0
927,,polopos,polopos,granada,granada,andalucia,andalucia,polopos/granada,Granada,Polopos,5600.93,0.790526930349067,90.0,51.60093823,0.0,0.0,0.0,1.0
928,,portugos,portugos,granada,granada,andalucia,andalucia,portugos/granada,Granada,Pórtugos,5600.93,0.790526930349067,90.0,51.60093823,0.0,0.0,0.0,1.0
929,,puebla_de_don_fadrique,puebla_de_don_fadrique,granada,granada,andalucia,andalucia,puebla_de_don_fadrique/granada,Granada,Puebla de Don Fadrique,5600.93,0.790526930349067,83.75,51.60093823,,,,
930,,pulianas,pulianas,granada,granada,andalucia,andalucia,pulianas/granada,Granada,Pulianas,5600.93,0.790526930349067,100.0,51.60093823,0.0,0.0,0.0,1.0
931,,rubite,rubite,granada,granada,andalucia,andalucia,rubite/granada,Granada,Rubite,5600.93,0.790526930349067,42.5,51.60093823,0.0,0.0,0.0,1.0
932,,salar,salar,granada,granada,andalucia,andalucia,salar/granada,Granada,Salar,5600.93,0.790526930349067,70.0,51.60093823,0.0,0.0,0.0,1.0
933,,salobrena,salobrena,granada,granada,andalucia,andalucia,salobrena/granada,Granada,Salobreña,5600.93,0.790526930349067,92.0,51.60093823,0.0,0.0,0.0,1.0
934,,santa_fe,santa_fe,granada,granada,andalucia,andalucia,santa_fe/granada,Granada,Santa Fe,5600.93,0.790526930349067,96.67,51.60093823,0.0,0.0,0.0,1.0
935,,sorvilan,sorvilan,granada,granada,andalucia,andalucia,sorvilan/granada,Granada,Sorvilán,5600.93,0.790526930349067,73.13,51.60093823,0.0,0.0,0.0,1.0
936,,torvizcon,torvizcon,granada,granada,andalucia,andalucia,torvizcon/granada,Granada,Torvizcón,5600.93,0.790526930349067,35.83,51.60093823,0.0,0.0,0.0,1.0
937,,trevelez,trevelez,granada,granada,andalucia,andalucia,trevelez/granada,Granada,Trevélez,5600.93,0.790526930349067,70.0,51.60093823,0.0,0.0,0.0,1.0
938,,turon,turon,granada,granada,andalucia,andalucia,turon/granada,Granada,Turón,5600.93,0.790526930349067,36.25,51.60093823,0.0,0.0,0.0,1.0
939,,ugijar,ugijar,granada,granada,andalucia,andalucia,ugijar/granada,Granada,Ugíjar,5600.93,0.790526930349067,70.0,51.60093823,0.0,0.0,0.0,1.0
940,,valor,valor,granada,granada,andalucia,andalucia,valor/granada,Granada,Válor,5600.93,0.790526930349067,80.0,51.60093823,0.0,0.0,0.0,1.0
941,,velez_de_benaudalla,velez_de_benaudalla,granada,granada,andalucia,andalucia,velez_de_benaudalla/granada,Granada,Vélez de Benaudalla,5600.93,0.790526930349067,60.0,51.60093823,,,,
942,,ventas_de_huelma,ventas_de_huelma,granada,granada,andalucia,andalucia,ventas_de_huelma/granada,Granada,Ventas de Huelma,5600.93,0.790526930349067,85.0,51.60093823,,,,
943,,villanueva_de_las_torres,villanueva_de_las_torres,granada,granada,andalucia,andalucia,villanueva_de_las_torres/granada,Granada,Villanueva de las Torres,5600.93,0.790526930349067,90.0,51.60093823,,,,
944,,villanueva_mesia,villanueva_mesia,granada,granada,andalucia,andalucia,villanueva_mesia/granada,Granada,Villanueva Mesía,5600.93,0.790526930349067,70.0,51.60093823,,,,
945,,la_zubia,la_zubia,granada,granada,andalucia,andalucia,la_zubia/granada,Granada,La Zubia,5600.93,0.790526930349067,95.5,51.60093823,0.0,0.0,0.0,1.0
946,,zujar,zujar,granada,granada,andalucia,andalucia,zujar/granada,Granada,Zújar,5600.93,0.790526930349067,83.75,51.60093823,0.0,0.0,0.0,1.0
947,,la_taha,la_taha,granada,granada,andalucia,andalucia,la_taha/granada,Granada,La Taha,5600.93,0.790526930349067,95.5,51.60093823,0.0,0.0,0.0,1.0
948,,el_valle,el_valle,granada,granada,andalucia,andalucia,el_valle/granada,Granada,El Valle,5600.93,0.790526930349067,95.5,51.60093823,0.0,0.0,0.0,1.0
949,,alpujarra_de_la_sierra,alpujarra_de_la_sierra,granada,granada,andalucia,andalucia,alpujarra_de_la_sierra/granada,Granada,Alpujarra de la Sierra,5600.93,0.790526930349067,72.5,51.60093823,,,,
950,,las_gabias,las_gabias,granada,granada,andalucia,andalucia,las_gabias/granada,Granada,Las Gabias,5600.93,0.790526930349067,95.5,51.60093823,0.0,0.0,0.0,1.0
951,,valle_del_zalabi,valle_del_zalabi,granada,granada,andalucia,andalucia,valle_del_zalabi/granada,Granada,Valle del Zalabí,5600.93,0.790526930349067,81.67,51.60093823,,,,
952,,vegas_del_genil,vegas_del_genil,granada,granada,andalucia,andalucia,vegas_del_genil/granada,Granada,Vegas del Genil,5600.93,0.790526930349067,100.0,51.60093823,,,,
953,,cuevas_del_campo,cuevas_del_campo,granada,granada,andalucia,andalucia,cuevas_del_campo/granada,Granada,Cuevas del Campo,5600.93,0.790526930349067,90.0,51.60093823,,,,
954,2.0,sevilla,sevilla,sevilla,sevilla,andalucia,andalucia,sevilla/sevilla,Sevilla,Sevilla,7681.57,0.8641040828893053,100.0,51.60093823,1.0,0.0,1.0,100.0
955,1.0,bollullos_de_la_mitacion,bollullos_de_la_mitacion,sevilla,sevilla,andalucia,andalucia,bollullos_de_la_mitacion/sevilla,Sevilla,Bollullos de la Mitación,7681.57,0.8641040828893053,100.0,51.60093823,,,,
956,1.0,alcala_de_guadaira,alcala_de_guadaira,sevilla,sevilla,andalucia,andalucia,alcala_de_guadaira/sevilla,Sevilla,Alcalá de Guadaíra,7681.57,0.8641040828893053,92.0,51.60093823,,,,
957,1.0,brenes,brenes,sevilla,sevilla,andalucia,andalucia,brenes/sevilla,Sevilla,Brenes,7681.57,0.8641040828893053,70.0,51.60093823,1.0,0.0,0.0,1.0
958,,aguadulce,aguadulce,sevilla,sevilla,andalucia,andalucia,aguadulce/sevilla,Sevilla,Aguadulce,7681.57,0.8641040828893053,60.0,51.60093823,1.0,0.0,1.0,100.0
959,,alanis,alanis,sevilla,sevilla,andalucia,andalucia,alanis/sevilla,Sevilla,Alanís,7681.57,0.8641040828893053,100.0,51.60093823,1.0,0.0,1.0,100.0
960,,albaida_del_aljarafe,albaida_del_aljarafe,sevilla,sevilla,andalucia,andalucia,albaida_del_aljarafe/sevilla,Sevilla,Albaida del Aljarafe,7681.57,0.8641040828893053,100.0,51.60093823,,,,
961,,alcala_del_rio,alcala_del_rio,sevilla,sevilla,andalucia,andalucia,alcala_del_rio/sevilla,Sevilla,Alcalá del Río,7681.57,0.8641040828893053,66.88,51.60093823,1.0,0.0,1.0,100.0
962,,alcolea_del_rio,alcolea_del_rio,sevilla,sevilla,andalucia,andalucia,alcolea_del_rio/sevilla,Sevilla,Alcolea del Río,7681.57,0.8641040828893053,70.0,51.60093823,1.0,0.0,0.0,1.0
963,,la_algaba,la_algaba,sevilla,sevilla,andalucia,andalucia,la_algaba/sevilla,Sevilla,La Algaba,7681.57,0.8641040828893053,100.0,51.60093823,1.0,0.0,1.0,100.0
964,,algamitas,algamitas,sevilla,sevilla,andalucia,andalucia,algamitas/sevilla,Sevilla,Algámitas,7681.57,0.8641040828893053,35.0,51.60093823,1.0,0.0,1.0,100.0
965,,almaden_de_la_plata,almaden_de_la_plata,sevilla,sevilla,andalucia,andalucia,almaden_de_la_plata/sevilla,Sevilla,Almadén de la Plata,7681.57,0.8641040828893053,100.0,51.60093823,,,,
966,,almensilla,almensilla,sevilla,sevilla,andalucia,andalucia,almensilla/sevilla,Sevilla,Almensilla,7681.57,0.8641040828893053,100.0,51.60093823,1.0,0.0,1.0,100.0
967,,arahal,arahal,sevilla,sevilla,andalucia,andalucia,arahal/sevilla,Sevilla,Arahal,7681.57,0.8641040828893053,69.5,51.60093823,0.0,0.0,0.0,1.0
968,,aznalcazar,aznalcazar,sevilla,sevilla,andalucia,andalucia,aznalcazar/sevilla,Sevilla,Aznalcázar,7681.57,0.8641040828893053,80.0,51.60093823,1.0,0.0,1.0,100.0
969,,aznalcollar,aznalcollar,sevilla,sevilla,andalucia,andalucia,aznalcollar/sevilla,Sevilla,Aznalcóllar,7681.57,0.8641040828893053,70.0,51.60093823,1.0,0.0,1.0,100.0
970,,badolatosa,badolatosa,sevilla,sevilla,andalucia,andalucia,badolatosa/sevilla,Sevilla,Badolatosa,7681.57,0.8641040828893053,65.0,51.60093823,1.0,0.0,1.0,100.0
971,,benacazon,benacazon,sevilla,sevilla,andalucia,andalucia,benacazon/sevilla,Sevilla,Benacazón,7681.57,0.8641040828893053,73.33,51.60093823,1.0,0.0,0.0,1.0
972,,bormujos,bormujos,sevilla,sevilla,andalucia,andalucia,bormujos/sevilla,Sevilla,Bormujos,7681.57,0.8641040828893053,100.0,51.60093823,1.0,0.0,1.0,100.0
973,,burguillos,burguillos,sevilla,sevilla,andalucia,andalucia,burguillos/sevilla,Sevilla,Burguillos,7681.57,0.8641040828893053,50.0,51.60093823,1.0,0.0,1.0,100.0
974,,las_cabezas_de_san_juan,las_cabezas_de_san_juan,sevilla,sevilla,andalucia,andalucia,las_cabezas_de_san_juan/sevilla,Sevilla,Las Cabezas de San Juan,7681.57,0.8641040828893053,70.0,51.60093823,,,,
975,,camas,camas,sevilla,sevilla,andalucia,andalucia,camas/sevilla,Sevilla,Camas,7681.57,0.8641040828893053,100.0,51.60093823,1.0,0.0,0.0,1.0
976,,la_campana,la_campana,sevilla,sevilla,andalucia,andalucia,la_campana/sevilla,Sevilla,La Campana,7681.57,0.8641040828893053,100.0,51.60093823,1.0,0.0,1.0,100.0
977,,cantillana,cantillana,sevilla,sevilla,andalucia,andalucia,cantillana/sevilla,Sevilla,Cantillana,7681.57,0.8641040828893053,68.0,51.60093823,1.0,0.0,0.0,1.0
978,,carmona,carmona,sevilla,sevilla,andalucia,andalucia,carmona/sevilla,Sevilla,Carmona,7681.57,0.8641040828893053,80.0,51.60093823,1.0,0.0,0.0,1.0
979,,carrion_de_los_cespedes,carrion_de_los_cespedes,sevilla,sevilla,andalucia,andalucia,carrion_de_los_cespedes/sevilla,Sevilla,Carrión de los Céspedes,7681.57,0.8641040828893053,70.0,51.60093823,0.0,0.0,0.0,1.0
980,,casariche,casariche,sevilla,sevilla,andalucia,andalucia,casariche/sevilla,Sevilla,Casariche,7681.57,0.8641040828893053,74.0,51.60093823,1.0,0.0,1.0,100.0
981,,castilblanco_de_los_arroyos,castilblanco_de_los_arroyos,sevilla,sevilla,andalucia,andalucia,castilblanco_de_los_arroyos/sevilla,Sevilla,Castilblanco de los Arroyos,7681.57,0.8641040828893053,100.0,51.60093823,,,,
982,,castilleja_de_guzman,castilleja_de_guzman,sevilla,sevilla,andalucia,andalucia,castilleja_de_guzman/sevilla,Sevilla,Castilleja de Guzmán,7681.57,0.8641040828893053,100.0,51.60093823,,,,
983,,castilleja_de_la_cuesta,castilleja_de_la_cuesta,sevilla,sevilla,andalucia,andalucia,castilleja_de_la_cuesta/sevilla,Sevilla,Castilleja de la Cuesta,7681.57,0.8641040828893053,100.0,51.60093823,,,,
984,,castilleja_del_campo,castilleja_del_campo,sevilla,sevilla,andalucia,andalucia,castilleja_del_campo/sevilla,Sevilla,Castilleja del Campo,7681.57,0.8641040828893053,55.0,51.60093823,,,,
985,,el_castillo_de_las_guardas,el_castillo_de_las_guardas,sevilla,sevilla,andalucia,andalucia,el_castillo_de_las_guardas/sevilla,Sevilla,El Castillo de las Guardas,7681.57,0.8641040828893053,45.0,51.60093823,,,,
986,,cazalla_de_la_sierra,cazalla_de_la_sierra,sevilla,sevilla,andalucia,andalucia,cazalla_de_la_sierra/sevilla,Sevilla,Cazalla de la Sierra,7681.57,0.8641040828893053,40.36,51.60093823,1.0,0.0,0.0,1.0
987,,constantina,constantina,sevilla,sevilla,andalucia,andalucia,constantina/sevilla,Sevilla,Constantina,7681.57,0.8641040828893053,55.71,51.60093823,1.0,0.0,1.0,100.0
988,,coria_del_rio,coria_del_rio,sevilla,sevilla,andalucia,andalucia,coria_del_rio/sevilla,Sevilla,Coria del Río,7681.57,0.8641040828893053,73.33,51.60093823,1.0,0.0,1.0,100.0
989,,coripe,coripe,sevilla,sevilla,andalucia,andalucia,coripe/sevilla,Sevilla,Coripe,7681.57,0.8641040828893053,70.0,51.60093823,1.0,0.0,1.0,100.0
990,,el_coronil,el_coronil,sevilla,sevilla,andalucia,andalucia,el_coronil/sevilla,Sevilla,El Coronil,7681.57,0.8641040828893053,100.0,51.60093823,1.0,0.0,1.0,100.0
991,,los_corrales,los_corrales,sevilla,sevilla,andalucia,andalucia,los_corrales/sevilla,Sevilla,Los Corrales,7681.57,0.8641040828893053,100.0,51.60093823,1.0,0.0,1.0,100.0
992,,dos_hermanas,dos_hermanas,sevilla,sevilla,andalucia,andalucia,dos_hermanas/sevilla,Sevilla,Dos Hermanas,7681.57,0.8641040828893053,90.0,51.60093823,1.0,0.0,0.0,4.0
993,,ecija,ecija,sevilla,sevilla,andalucia,andalucia,ecija/sevilla,Sevilla,Écija,7681.57,0.8641040828893053,65.5,51.60093823,1.0,0.0,1.0,100.0
994,,espartinas,espartinas,sevilla,sevilla,andalucia,andalucia,espartinas/sevilla,Sevilla,Espartinas,7681.57,0.8641040828893053,100.0,51.60093823,1.0,0.0,1.0,100.0
995,,estepa,estepa,sevilla,sevilla,andalucia,andalucia,estepa/sevilla,Sevilla,Estepa,7681.57,0.8641040828893053,64.0,51.60093823,1.0,0.0,1.0,100.0
996,,fuentes_de_andalucia,fuentes_de_andalucia,sevilla,sevilla,andalucia,andalucia,fuentes_de_andalucia/sevilla,Sevilla,Fuentes de Andalucía,7681.57,0.8641040828893053,100.0,51.60093823,,,,
997,,el_garrobo,el_garrobo,sevilla,sevilla,andalucia,andalucia,el_garrobo/sevilla,Sevilla,El Garrobo,7681.57,0.8641040828893053,100.0,51.60093823,1.0,0.0,1.0,100.0
998,,gelves,gelves,sevilla,sevilla,andalucia,andalucia,gelves/sevilla,Sevilla,Gelves,7681.57,0.8641040828893053,100.0,51.60093823,1.0,0.0,1.0,100.0
999,,gerena,gerena,sevilla,sevilla,andalucia,andalucia,gerena/sevilla,Sevilla,Gerena,7681.57,0.8641040828893053,100.0,51.60093823,1.0,0.0,1.0,100.0
1000,,gilena,gilena,sevilla,sevilla,andalucia,andalucia,gilena/sevilla,Sevilla,Gilena,7681.57,0.8641040828893053,70.0,51.60093823,1.0,0.0,1.0,100.0
1001,,gines,gines,sevilla,sevilla,andalucia,andalucia,gines/sevilla,Sevilla,Gines,7681.57,0.8641040828893053,100.0,51.60093823,1.0,0.0,1.0,100.0
1002,,guadalcanal,guadalcanal,sevilla,sevilla,andalucia,andalucia,guadalcanal/sevilla,Sevilla,Guadalcanal,7681.57,0.8641040828893053,100.0,51.60093823,0.0,0.0,0.0,1.0
1003,,guillena,guillena,sevilla,sevilla,andalucia,andalucia,guillena/sevilla,Sevilla,Guillena,7681.57,0.8641040828893053,65.0,51.60093823,1.0,0.0,1.0,100.0
1004,,huevar_del_aljarafe,huevar_del_aljarafe,sevilla,sevilla,andalucia,andalucia,huevar_del_aljarafe/sevilla,Sevilla,Huévar del Aljarafe,7681.57,0.8641040828893053,100.0,51.60093823,,,,
1005,,lantejuela,lantejuela,sevilla,sevilla,andalucia,andalucia,lantejuela/sevilla,Sevilla,Lantejuela,7681.57,0.8641040828893053,100.0,51.60093823,1.0,0.0,1.0,100.0
1006,,lebrija,lebrija,sevilla,sevilla,andalucia,andalucia,lebrija/sevilla,Sevilla,Lebrija,7681.57,0.8641040828893053,100.0,51.60093823,1.0,0.0,0.0,1.0
1007,,lora_de_estepa,lora_de_estepa,sevilla,sevilla,andalucia,andalucia,lora_de_estepa/sevilla,Sevilla,Lora de Estepa,7681.57,0.8641040828893053,70.0,51.60093823,1.0,0.0,1.0,100.0
1008,,la_luisiana,la_luisiana,sevilla,sevilla,andalucia,andalucia,la_luisiana/sevilla,Sevilla,La Luisiana,7681.57,0.8641040828893053,100.0,51.60093823,1.0,0.0,1.0,100.0
1009,,el_madrono,el_madrono,sevilla,sevilla,andalucia,andalucia,el_madrono/sevilla,Sevilla,El Madroño,7681.57,0.8641040828893053,100.0,51.60093823,1.0,0.0,1.0,100.0
1010,,mairena_del_alcor,mairena_del_alcor,sevilla,sevilla,andalucia,andalucia,mairena_del_alcor/sevilla,Sevilla,Mairena del Alcor,7681.57,0.8641040828893053,73.33,51.60093823,,,,
1011,,mairena_del_aljarafe,mairena_del_aljarafe,sevilla,sevilla,andalucia,andalucia,mairena_del_aljarafe/sevilla,Sevilla,Mairena del Aljarafe,7681.57,0.8641040828893053,100.0,51.60093823,,,,
1012,,marchena,marchena,sevilla,sevilla,andalucia,andalucia,marchena/sevilla,Sevilla,Marchena,7681.57,0.8641040828893053,100.0,51.60093823,0.0,0.0,0.0,1.0
1013,,marinaleda,marinaleda,sevilla,sevilla,andalucia,andalucia,marinaleda/sevilla,Sevilla,Marinaleda,7681.57,0.8641040828893053,70.0,51.60093823,1.0,0.0,1.0,100.0
1014,,martin_de_la_jara,martin_de_la_jara,sevilla,sevilla,andalucia,andalucia,martin_de_la_jara/sevilla,Sevilla,Martín de la Jara,7681.57,0.8641040828893053,62.5,51.60093823,,,,
1015,,los_molares,los_molares,sevilla,sevilla,andalucia,andalucia,los_molares/sevilla,Sevilla,Los Molares,7681.57,0.8641040828893053,100.0,51.60093823,1.0,0.0,1.0,100.0
1016,,montellano,montellano,sevilla,sevilla,andalucia,andalucia,montellano/sevilla,Sevilla,Montellano,7681.57,0.8641040828893053,100.0,51.60093823,1.0,0.0,1.0,100.0
1017,,moron_de_la_frontera,moron_de_la_frontera,sevilla,sevilla,andalucia,andalucia,moron_de_la_frontera/sevilla,Sevilla,Morón de la Frontera,7681.57,0.8641040828893053,100.0,51.60093823,,,,
1018,,las_navas_de_la_concepcion,las_navas_de_la_concepcion,sevilla,sevilla,andalucia,andalucia,las_navas_de_la_concepcion/sevilla,Sevilla,Las Navas de la Concepción,7681.57,0.8641040828893053,70.0,51.60093823,,,,
1019,,olivares,olivares,sevilla,sevilla,andalucia,andalucia,olivares/sevilla,Sevilla,Olivares,7681.57,0.8641040828893053,100.0,51.60093823,1.0,0.0,0.0,1.0
1020,,osuna,osuna,sevilla,sevilla,andalucia,andalucia,osuna/sevilla,Sevilla,Osuna,7681.57,0.8641040828893053,75.0,51.60093823,0.0,0.0,0.0,1.0
1021,,los_palacios_y_villafranca,los_palacios_y_villafranca,sevilla,sevilla,andalucia,andalucia,los_palacios_y_villafranca/sevilla,Sevilla,Los Palacios y Villafranca,7681.57,0.8641040828893053,85.0,51.60093823,,,,
1022,,palomares_del_rio,palomares_del_rio,sevilla,sevilla,andalucia,andalucia,palomares_del_rio/sevilla,Sevilla,Palomares del Río,7681.57,0.8641040828893053,100.0,51.60093823,,,,
1023,,paradas,paradas,sevilla,sevilla,andalucia,andalucia,paradas/sevilla,Sevilla,Paradas,7681.57,0.8641040828893053,55.0,51.60093823,1.0,0.0,1.0,100.0
1024,,pedrera,pedrera,sevilla,sevilla,andalucia,andalucia,pedrera/sevilla,Sevilla,Pedrera,7681.57,0.8641040828893053,100.0,51.60093823,0.0,0.0,0.0,1.0
1025,,el_pedroso,el_pedroso,sevilla,sevilla,andalucia,andalucia,el_pedroso/sevilla,Sevilla,El Pedroso,7681.57,0.8641040828893053,100.0,51.60093823,1.0,0.0,1.0,100.0
1026,,penaflor,penaflor,sevilla,sevilla,andalucia,andalucia,penaflor/sevilla,Sevilla,Peñaflor,7681.57,0.8641040828893053,73.33,51.60093823,0.0,0.0,0.0,1.0
1027,,pilas,pilas,sevilla,sevilla,andalucia,andalucia,pilas/sevilla,Sevilla,Pilas,7681.57,0.8641040828893053,70.0,51.60093823,1.0,0.0,1.0,100.0
1028,,pruna,pruna,sevilla,sevilla,andalucia,andalucia,pruna/sevilla,Sevilla,Pruna,7681.57,0.8641040828893053,60.0,51.60093823,1.0,0.0,1.0,100.0
1029,,la_puebla_de_cazalla,la_puebla_de_cazalla,sevilla,sevilla,andalucia,andalucia,la_puebla_de_cazalla/sevilla,Sevilla,La Puebla de Cazalla,7681.57,0.8641040828893053,100.0,51.60093823,,,,
1030,,la_puebla_de_los_infantes,la_puebla_de_los_infantes,sevilla,sevilla,andalucia,andalucia,la_puebla_de_los_infantes/sevilla,Sevilla,La Puebla de los Infantes,7681.57,0.8641040828893053,70.0,51.60093823,,,,
1031,,la_puebla_del_rio,la_puebla_del_rio,sevilla,sevilla,andalucia,andalucia,la_puebla_del_rio/sevilla,Sevilla,La Puebla del Río,7681.57,0.8641040828893053,100.0,51.60093823,,,,
1032,,el_real_de_la_jara,el_real_de_la_jara,sevilla,sevilla,andalucia,andalucia,el_real_de_la_jara/sevilla,Sevilla,El Real de la Jara,7681.57,0.8641040828893053,70.0,51.60093823,,,,
1033,,la_rinconada,la_rinconada,sevilla,sevilla,andalucia,andalucia,la_rinconada/sevilla,Sevilla,La Rinconada,7681.57,0.8641040828893053,100.0,51.60093823,1.0,0.0,1.0,100.0
1034,,la_roda_de_andalucia,la_roda_de_andalucia,sevilla,sevilla,andalucia,andalucia,la_roda_de_andalucia/sevilla,Sevilla,La Roda de Andalucía,7681.57,0.8641040828893053,70.0,51.60093823,,,,
1035,,el_ronquillo,el_ronquillo,sevilla,sevilla,andalucia,andalucia,el_ronquillo/sevilla,Sevilla,El Ronquillo,7681.57,0.8641040828893053,100.0,51.60093823,1.0,0.0,1.0,100.0
1036,,el_rubio,el_rubio,sevilla,sevilla,andalucia,andalucia,el_rubio/sevilla,Sevilla,El Rubio,7681.57,0.8641040828893053,100.0,51.60093823,1.0,0.0,1.0,100.0
1037,,salteras,salteras,sevilla,sevilla,andalucia,andalucia,salteras/sevilla,Sevilla,Salteras,7681.57,0.8641040828893053,75.0,51.60093823,1.0,0.0,0.0,1.0
1038,,san_juan_de_aznalfarache,san_juan_de_aznalfarache,sevilla,sevilla,andalucia,andalucia,san_juan_de_aznalfarache/sevilla,Sevilla,San Juan de Aznalfarache,7681.57,0.8641040828893053,100.0,51.60093823,,,,
1039,,sanlucar_la_mayor,sanlucar_la_mayor,sevilla,sevilla,andalucia,andalucia,sanlucar_la_mayor/sevilla,Sevilla,Sanlúcar la Mayor,7681.57,0.8641040828893053,72.0,51.60093823,1.0,0.0,0.0,1.0
