,bus_based_companies_count,cities_es,cities,province_es,province,ccaa_es,ccaa,cities_es/province,provincia_original,municipio_original,prov_total_millones_vehiculos_km,prov_porcentaje_carreteras_ccaa_y_estado,perc_calidad_cobertura_fija_movil,ccaa_accessibility_mean,tiene_cercanias,tiene_feve,tiene_ave,nume_estaciones_tren
30,,cabrils,cabrils,barcelona,barcelona,cataluna,cataluna,cabrils/barcelona,Barcelona,Cabrils,8838.35,0.8445015189486725,100.0,37.20251666,1.0,0.0,1.0,100.0
31,,calaf,calaf,barcelona,barcelona,cataluna,cataluna,calaf/barcelona,Barcelona,Calaf,8838.35,0.8445015189486725,100.0,37.20251666,0.0,0.0,0.0,4.0
32,,caldes_d'estrac,caldes_d'estrac,barcelona,barcelona,cataluna,cataluna,caldes_d'estrac/barcelona,Barcelona,Caldes d'Estrac,8838.35,0.8445015189486725,100.0,37.20251666,1.0,0.0,0.0,1.0
33,,caldes_de_montbui,caldes_de_montbui,barcelona,barcelona,cataluna,cataluna,caldes_de_montbui/barcelona,Barcelona,Caldes de Montbui,8838.35,0.8445015189486725,95.0,37.20251666,1.0,0.0,1.0,100.0
34,,calders,calders,barcelona,barcelona,cataluna,cataluna,calders/barcelona,Barcelona,Calders,8838.35,0.8445015189486725,63.75,37.20251666,1.0,0.0,1.0,100.0
35,,calella,calella,barcelona,barcelona,cataluna,cataluna,calella/barcelona,Barcelona,Calella,8838.35,0.8445015189486725,88.33,37.20251666,1.0,0.0,0.0,1.0
36,,calonge_de_segarra,calonge_de_segarra,barcelona,barcelona,cataluna,cataluna,calonge_de_segarra/barcelona,Barcelona,Calonge de Segarra,8838.35,0.8445015189486725,58.33,37.20251666,1.0,0.0,1.0,100.0
37,,calldetenes,calldetenes,barcelona,barcelona,cataluna,cataluna,calldetenes/barcelona,Barcelona,Calldetenes,8838.35,0.8445015189486725,75.0,37.20251666,1.0,0.0,1.0,100.0
38,,callus,callus,barcelona,barcelona,cataluna,cataluna,callus/barcelona,Barcelona,Callús,8838.35,0.8445015189486725,69.58,37.20251666,1.0,0.0,1.0,100.0
39,,campins,campins,barcelona,barcelona,cataluna,cataluna,campins/barcelona,Barcelona,Campins,8838.35,0.8445015189486725,60.0,37.20251666,1.0,0.0,1.0,100.0
40,,canet_de_mar,canet_de_mar,barcelona,barcelona,cataluna,cataluna,canet_de_mar/barcelona,Barcelona,Canet de Mar,8838.35,0.8445015189486725,100.0,37.20251666,1.0,0.0,0.0,1.0
41,,canovelles,canovelles,barcelona,barcelona,cataluna,cataluna,canovelles/barcelona,Barcelona,Canovelles,8838.35,0.8445015189486725,92.31,37.20251666,1.0,0.0,1.0,100.0
42,,canoves_i_samalus,canoves_i_samalus,barcelona,barcelona,cataluna,cataluna,canoves_i_samalus/barcelona,Barcelona,Cànoves i Samalús,8838.35,0.8445015189486725,83.13,37.20251666,1.0,0.0,1.0,100.0
43,,canyelles,canyelles,barcelona,barcelona,cataluna,cataluna,canyelles/barcelona,Barcelona,Canyelles,8838.35,0.8445015189486725,100.0,37.20251666,1.0,0.0,1.0,100.0
44,,capellades,capellades,barcelona,barcelona,cataluna,cataluna,capellades/barcelona,Barcelona,Capellades,8838.35,0.8445015189486725,70.0,37.20251666,1.0,0.0,1.0,100.0
45,,cardona,cardona,barcelona,barcelona,cataluna,cataluna,cardona/barcelona,Barcelona,Cardona,8838.35,0.8445015189486725,70.0,37.20251666,1.0,0.0,1.0,100.0
46,,carme,carme,barcelona,barcelona,cataluna,cataluna,carme/barcelona,Barcelona,Carme,8838.35,0.8445015189486725,63.33,37.20251666,1.0,0.0,1.0,100.0
47,,casserres,casserres,barcelona,barcelona,cataluna,cataluna,casserres/barcelona,Barcelona,Casserres,8838.35,0.8445015189486725,63.33,37.20251666,1.0,0.0,1.0,100.0
48,,castellar_del_valles,castellar_del_valles,barcelona,barcelona,cataluna,cataluna,castellar_del_valles/barcelona,Barcelona,Castellar del Vallès,8838.35,0.8445015189486725,90.0,37.20251666,,,,
49,,castellar_de_n'hug,castellar_de_n'hug,barcelona,barcelona,cataluna,cataluna,castellar_de_n'hug/barcelona,Barcelona,Castellar de n'Hug,8838.35,0.8445015189486725,55.0,37.20251666,1.0,0.0,1.0,100.0
50,,castellbell_i_el_vilar,castellbell_i_el_vilar,barcelona,barcelona,cataluna,cataluna,castellbell_i_el_vilar/barcelona,Barcelona,Castellbell i el Vilar,8838.35,0.8445015189486725,64.74,37.20251666,1.0,0.0,0.0,1.0
51,,castellbisbal,castellbisbal,barcelona,barcelona,cataluna,cataluna,castellbisbal/barcelona,Barcelona,Castellbisbal,8838.35,0.8445015189486725,63.89,37.20251666,1.0,0.0,0.0,1.0
52,,castellcir,castellcir,barcelona,barcelona,cataluna,cataluna,castellcir/barcelona,Barcelona,Castellcir,8838.35,0.8445015189486725,41.88,37.20251666,1.0,0.0,1.0,100.0
53,,castelldefels,castelldefels,barcelona,barcelona,cataluna,cataluna,castelldefels/barcelona,Barcelona,Castelldefels,8838.35,0.8445015189486725,100.0,37.20251666,1.0,0.0,0.0,4.0
54,,castell_de_l'areny,castell_de_l'areny,barcelona,barcelona,cataluna,cataluna,castell_de_l'areny/barcelona,Barcelona,Castell de l'Areny,8838.35,0.8445015189486725,35.0,37.20251666,1.0,0.0,1.0,100.0
55,,castellet_i_la_gornal,castellet_i_la_gornal,barcelona,barcelona,cataluna,cataluna,castellet_i_la_gornal/barcelona,Barcelona,Castellet i la Gornal,8838.35,0.8445015189486725,67.5,37.20251666,,,,
56,,castellfollit_del_boix,castellfollit_del_boix,barcelona,barcelona,cataluna,cataluna,castellfollit_del_boix/barcelona,Barcelona,Castellfollit del Boix,8838.35,0.8445015189486725,37.5,37.20251666,,,,
57,,castellgali,castellgali,barcelona,barcelona,cataluna,cataluna,castellgali/barcelona,Barcelona,Castellgalí,8838.35,0.8445015189486725,75.0,37.20251666,1.0,0.0,1.0,100.0
58,,castellnou_de_bages,castellnou_de_bages,barcelona,barcelona,cataluna,cataluna,castellnou_de_bages/barcelona,Barcelona,Castellnou de Bages,8838.35,0.8445015189486725,67.5,37.20251666,,,,
59,,castelloli,castelloli,barcelona,barcelona,cataluna,cataluna,castelloli/barcelona,Barcelona,Castellolí,8838.35,0.8445015189486725,35.83,37.20251666,1.0,0.0,1.0,100.0
60,,castellvi_de_rosanes,castellvi_de_rosanes,barcelona,barcelona,cataluna,cataluna,castellvi_de_rosanes/barcelona,Barcelona,Castellví de Rosanes,8838.35,0.8445015189486725,95.0,37.20251666,,,,
61,,centelles,centelles,barcelona,barcelona,cataluna,cataluna,centelles/barcelona,Barcelona,Centelles,8838.35,0.8445015189486725,100.0,37.20251666,1.0,0.0,0.0,1.0
62,,cervello,cervello,barcelona,barcelona,cataluna,cataluna,cervello/barcelona,Barcelona,Cervelló,8838.35,0.8445015189486725,98.75,37.20251666,1.0,0.0,1.0,100.0
63,,collbato,collbato,barcelona,barcelona,cataluna,cataluna,collbato/barcelona,Barcelona,Collbató,8838.35,0.8445015189486725,74.0,37.20251666,1.0,0.0,1.0,100.0
64,,collsuspina,collsuspina,barcelona,barcelona,cataluna,cataluna,collsuspina/barcelona,Barcelona,Collsuspina,8838.35,0.8445015189486725,70.0,37.20251666,1.0,0.0,1.0,100.0
65,,copons,copons,barcelona,barcelona,cataluna,cataluna,copons/barcelona,Barcelona,Copons,8838.35,0.8445015189486725,45.0,37.20251666,1.0,0.0,1.0,100.0
66,,corbera_de_llobregat,corbera_de_llobregat,barcelona,barcelona,cataluna,cataluna,corbera_de_llobregat/barcelona,Barcelona,Corbera de Llobregat,8838.35,0.8445015189486725,70.0,37.20251666,1.0,0.0,0.0,1.0
67,,cornella_de_llobregat,cornella_de_llobregat,barcelona,barcelona,cataluna,cataluna,cornella_de_llobregat/barcelona,Barcelona,Cornellà de Llobregat,8838.35,0.8445015189486725,100.0,37.20251666,1.0,0.0,0.0,1.0
68,,cubelles,cubelles,barcelona,barcelona,cataluna,cataluna,cubelles/barcelona,Barcelona,Cubelles,8838.35,0.8445015189486725,100.0,37.20251666,1.0,0.0,0.0,1.0
69,,dosrius,dosrius,barcelona,barcelona,cataluna,cataluna,dosrius/barcelona,Barcelona,Dosrius,8838.35,0.8445015189486725,70.0,37.20251666,1.0,0.0,1.0,100.0
70,,esparreguera,esparreguera,barcelona,barcelona,cataluna,cataluna,esparreguera/barcelona,Barcelona,Esparreguera,8838.35,0.8445015189486725,100.0,37.20251666,1.0,0.0,1.0,100.0
71,,esplugues_de_llobregat,esplugues_de_llobregat,barcelona,barcelona,cataluna,cataluna,esplugues_de_llobregat/barcelona,Barcelona,Esplugues de Llobregat,8838.35,0.8445015189486725,100.0,37.20251666,,,,
72,,l'espunyola,l'espunyola,barcelona,barcelona,cataluna,cataluna,l'espunyola/barcelona,Barcelona,Barcelona,8838.35,0.8445015189486725,100.0,37.20251666,1.0,0.0,1.0,100.0
73,,l'estany,l'estany,barcelona,barcelona,cataluna,cataluna,l'estany/barcelona,Barcelona,Barcelona,8838.35,0.8445015189486725,100.0,37.20251666,1.0,0.0,1.0,100.0
74,,fogars_de_montclus,fogars_de_montclus,barcelona,barcelona,cataluna,cataluna,fogars_de_montclus/barcelona,Barcelona,Fogars de Montclús,8838.35,0.8445015189486725,64.17,37.20251666,1.0,0.0,1.0,100.0
75,,fogars_de_la_selva,fogars_de_la_selva,barcelona,barcelona,cataluna,cataluna,fogars_de_la_selva/barcelona,Barcelona,Fogars de la Selva,8838.35,0.8445015189486725,70.0,37.20251666,1.0,0.0,1.0,100.0
76,,folgueroles,folgueroles,barcelona,barcelona,cataluna,cataluna,folgueroles/barcelona,Barcelona,Folgueroles,8838.35,0.8445015189486725,100.0,37.20251666,1.0,0.0,1.0,100.0
77,,fonollosa,fonollosa,barcelona,barcelona,cataluna,cataluna,fonollosa/barcelona,Barcelona,Fonollosa,8838.35,0.8445015189486725,43.75,37.20251666,1.0,0.0,1.0,100.0
78,,font_rubi,font_rubi,barcelona,barcelona,cataluna,cataluna,font_rubi/barcelona,Barcelona,Font-rubí,8838.35,0.8445015189486725,59.53,37.20251666,1.0,0.0,1.0,100.0
79,,les_franqueses_del_valles,les_franqueses_del_valles,barcelona,barcelona,cataluna,cataluna,les_franqueses_del_valles/barcelona,Barcelona,Les Franqueses del Vallès,8838.35,0.8445015189486725,94.0,37.20251666,,,,
80,,gallifa,gallifa,barcelona,barcelona,cataluna,cataluna,gallifa/barcelona,Barcelona,Gallifa,8838.35,0.8445015189486725,10.0,37.20251666,1.0,0.0,1.0,100.0
81,,gava,gava,barcelona,barcelona,cataluna,cataluna,gava/barcelona,Barcelona,Gavà,8838.35,0.8445015189486725,100.0,37.20251666,1.0,0.0,0.0,1.0
82,,gaia,gaia,barcelona,barcelona,cataluna,cataluna,gaia/barcelona,Barcelona,Gaià,8838.35,0.8445015189486725,42.5,37.20251666,1.0,0.0,1.0,100.0
83,,gelida,gelida,barcelona,barcelona,cataluna,cataluna,gelida/barcelona,Barcelona,Gelida,8838.35,0.8445015189486725,95.0,37.20251666,1.0,0.0,0.0,1.0
84,,gironella,gironella,barcelona,barcelona,cataluna,cataluna,gironella/barcelona,Barcelona,Gironella,8838.35,0.8445015189486725,92.0,37.20251666,1.0,0.0,1.0,100.0
85,,la_granada,la_granada,barcelona,barcelona,cataluna,cataluna,la_granada/barcelona,Barcelona,La Granada,8838.35,0.8445015189486725,100.0,37.20251666,1.0,0.0,1.0,100.0
86,,granollers,granollers,barcelona,barcelona,cataluna,cataluna,granollers/barcelona,Barcelona,Granollers,8838.35,0.8445015189486725,100.0,37.20251666,1.0,0.0,0.0,4.0
87,,gualba,gualba,barcelona,barcelona,cataluna,cataluna,gualba/barcelona,Barcelona,Gualba,8838.35,0.8445015189486725,81.25,37.20251666,1.0,0.0,0.0,1.0
88,,sant_salvador_de_guardiola,sant_salvador_de_guardiola,barcelona,barcelona,cataluna,cataluna,sant_salvador_de_guardiola/barcelona,Barcelona,Sant Salvador de Guardiola,8838.35,0.8445015189486725,59.75,37.20251666,,,,
89,,guardiola_de_bergueda,guardiola_de_bergueda,barcelona,barcelona,cataluna,cataluna,guardiola_de_bergueda/barcelona,Barcelona,Guardiola de Berguedà,8838.35,0.8445015189486725,60.0,37.20251666,,,,
90,,gurb,gurb,barcelona,barcelona,cataluna,cataluna,gurb/barcelona,Barcelona,Gurb,8838.35,0.8445015189486725,56.88,37.20251666,1.0,0.0,1.0,100.0
91,,l'hospitalet_de_llobregat,l'hospitalet_de_llobregat,barcelona,barcelona,cataluna,cataluna,l'hospitalet_de_llobregat/barcelona,Barcelona,L'Hospitalet de Llobregat,8838.35,0.8445015189486725,100.0,37.20251666,1.0,0.0,0.0,4.0
92,,igualada,igualada,barcelona,barcelona,cataluna,cataluna,igualada/barcelona,Barcelona,Igualada,8838.35,0.8445015189486725,100.0,37.20251666,1.0,0.0,1.0,100.0
