,cities_es,cities,province_es,province,ccaa_es,ccaa,cities_es/province,provincia_original,municipio_original
115,yeste,yeste,albacete,albacete,castilla_la_mancha,castilla_la_mancha,yeste/albacete,Albacete,Yeste
116,l'atzubia,l'atzubia,alicante,alicante,comunidad_valenciana,comunitat_valenciana,l'atzubia/alicante,Alicante/Alacant,Alicante/Alacant
117,agost,agost,alicante,alicante,comunidad_valenciana,comunitat_valenciana,agost/alicante,Alicante/Alacant,Agost
118,agres,agres,alicante,alicante,comunidad_valenciana,comunitat_valenciana,agres/alicante,Alicante/Alacant,Agres
119,aigues,aigues,alicante,alicante,comunidad_valenciana,comunitat_valenciana,aigues/alicante,Alicante/Alacant,Aigües
120,albatera,albatera,alicante,alicante,comunidad_valenciana,comunitat_valenciana,albatera/alicante,Alicante/Alacant,Albatera
121,alcalali,alcalali,alicante,alicante,comunidad_valenciana,comunitat_valenciana,alcalali/alicante,Alicante/Alacant,Alcalalí
122,alcocer_de_planes,alcocer_de_planes,alicante,alicante,comunidad_valenciana,comunitat_valenciana,alcocer_de_planes/alicante,Alicante/Alacant,Alcocer de Planes
123,alcoleja,alcoleja,alicante,alicante,comunidad_valenciana,comunitat_valenciana,alcoleja/alicante,Alicante/Alacant,Alcoleja
124,alcoi,alcoy,alicante,alicante,comunidad_valenciana,comunitat_valenciana,alcoi/alicante,Alicante/Alacant,Alcoy/Alcoi
125,alfafara,alfafara,alicante,alicante,comunidad_valenciana,comunitat_valenciana,alfafara/alicante,Alicante/Alacant,Alfafara
126,l'alfas_del_pi,l'alfas_del_pi,alicante,alicante,comunidad_valenciana,comunitat_valenciana,l'alfas_del_pi/alicante,Alicante/Alacant,l'Alfàs del Pi
127,algorfa,algorfa,alicante,alicante,comunidad_valenciana,comunitat_valenciana,algorfa/alicante,Alicante/Alacant,Algorfa
128,alguena,alguena,alicante,alicante,comunidad_valenciana,comunitat_valenciana,alguena/alicante,Alicante/Alacant,Algueña
129,alicante,alicante,alicante,alicante,comunidad_valenciana,comunitat_valenciana,alicante/alicante,Alicante/Alacant,Alicante/Alacant
130,almoradi,almoradi,alicante,alicante,comunidad_valenciana,comunitat_valenciana,almoradi/alicante,Alicante/Alacant,Almoradí
131,almudaina,almudaina,alicante,alicante,comunidad_valenciana,comunitat_valenciana,almudaina/alicante,Alicante/Alacant,Almudaina
132,l'alqueria_d'asnar,l'alqueria_d'asnar,alicante,alicante,comunidad_valenciana,comunitat_valenciana,l'alqueria_d'asnar/alicante,Alicante/Alacant,l'Alqueria d'Asnar
133,altea,altea,alicante,alicante,comunidad_valenciana,comunitat_valenciana,altea/alicante,Alicante/Alacant,Altea
134,aspe,aspe,alicante,alicante,comunidad_valenciana,comunitat_valenciana,aspe/alicante,Alicante/Alacant,Aspe
135,balones,balones,alicante,alicante,comunidad_valenciana,comunitat_valenciana,balones/alicante,Alicante/Alacant,Balones
136,banyeres_de_mariola,banyeres_de_mariola,alicante,alicante,comunidad_valenciana,comunitat_valenciana,banyeres_de_mariola/alicante,Alicante/Alacant,Banyeres de Mariola
137,beneixama,beneixama,alicante,alicante,comunidad_valenciana,comunitat_valenciana,beneixama/alicante,Alicante/Alacant,Beneixama
138,benejuzar,benejuzar,alicante,alicante,comunidad_valenciana,comunitat_valenciana,benejuzar/alicante,Alicante/Alacant,Benejúzar
139,benferri,benferri,alicante,alicante,comunidad_valenciana,comunitat_valenciana,benferri/alicante,Alicante/Alacant,Benferri
140,beniarbeig,beniarbeig,alicante,alicante,comunidad_valenciana,comunitat_valenciana,beniarbeig/alicante,Alicante/Alacant,Beniarbeig
141,beniarda,beniarda,alicante,alicante,comunidad_valenciana,comunitat_valenciana,beniarda/alicante,Alicante/Alacant,Beniardá
142,beniarres,beniarres,alicante,alicante,comunidad_valenciana,comunitat_valenciana,beniarres/alicante,Alicante/Alacant,Beniarrés
143,benigembla,benigembla,alicante,alicante,comunidad_valenciana,comunitat_valenciana,benigembla/alicante,Alicante/Alacant,Benigembla
144,benidoleig,benidoleig,alicante,alicante,comunidad_valenciana,comunitat_valenciana,benidoleig/alicante,Alicante/Alacant,Benidoleig
145,benidorm,benidorm,alicante,alicante,comunidad_valenciana,comunitat_valenciana,benidorm/alicante,Alicante/Alacant,Benidorm
146,benifallim,benifallim,alicante,alicante,comunidad_valenciana,comunitat_valenciana,benifallim/alicante,Alicante/Alacant,Benifallim
147,benijofar,benijofar,alicante,alicante,comunidad_valenciana,comunitat_valenciana,benijofar/alicante,Alicante/Alacant,Benijófar
148,benilloba,benilloba,alicante,alicante,comunidad_valenciana,comunitat_valenciana,benilloba/alicante,Alicante/Alacant,Benilloba
149,benimantell,benimantell,alicante,alicante,comunidad_valenciana,comunitat_valenciana,benimantell/alicante,Alicante/Alacant,Benimantell
150,benimeli,benimeli,alicante,alicante,comunidad_valenciana,comunitat_valenciana,benimeli/alicante,Alicante/Alacant,Benimeli
151,benissa,benissa,alicante,alicante,comunidad_valenciana,comunitat_valenciana,benissa/alicante,Alicante/Alacant,Benissa
152,benitachell,el_poble_nou_de_benitatxell,alicante,alicante,comunidad_valenciana,comunitat_valenciana,benitachell/alicante,,
153,biar,biar,alicante,alicante,comunidad_valenciana,comunitat_valenciana,biar/alicante,Alicante/Alacant,Biar
154,bigastro,bigastro,alicante,alicante,comunidad_valenciana,comunitat_valenciana,bigastro/alicante,Alicante/Alacant,Bigastro
155,bolulla,bolulla,alicante,alicante,comunidad_valenciana,comunitat_valenciana,bolulla/alicante,Alicante/Alacant,Bolulla
156,busot,busot,alicante,alicante,comunidad_valenciana,comunitat_valenciana,busot/alicante,Alicante/Alacant,Busot
157,calp,calp,alicante,alicante,comunidad_valenciana,comunitat_valenciana,calp/alicante,Alicante/Alacant,Calp
158,callosa_d'en_sarria,callosa_d'en_sarria,alicante,alicante,comunidad_valenciana,comunitat_valenciana,callosa_d'en_sarria/alicante,Alicante/Alacant,Callosa d'en Sarrià
159,callosa_de_segura,callosa_de_segura,alicante,alicante,comunidad_valenciana,comunitat_valenciana,callosa_de_segura/alicante,Alicante/Alacant,Callosa de Segura
160,el_campello,el_campello,alicante,alicante,comunidad_valenciana,comunitat_valenciana,el_campello/alicante,Alicante/Alacant,el Campello
161,castalla,castalla,alicante,alicante,comunidad_valenciana,comunitat_valenciana,castalla/alicante,Alicante/Alacant,Castalla
162,castell_de_castells,castell_de_castells,alicante,alicante,comunidad_valenciana,comunitat_valenciana,castell_de_castells/alicante,Alicante/Alacant,Castell de Castells
163,catral,catral,alicante,alicante,comunidad_valenciana,comunitat_valenciana,catral/alicante,Alicante/Alacant,Catral
164,cocentaina,cocentaina,alicante,alicante,comunidad_valenciana,comunitat_valenciana,cocentaina/alicante,Alicante/Alacant,Cocentaina
165,cox,cox,alicante,alicante,comunidad_valenciana,comunitat_valenciana,cox/alicante,Alicante/Alacant,Cox
166,crevillent,crevillent,alicante,alicante,comunidad_valenciana,comunitat_valenciana,crevillent/alicante,Alicante/Alacant,Crevillent
167,quatretondeta,quatretondeta,alicante,alicante,comunidad_valenciana,comunitat_valenciana,quatretondeta/alicante,Alicante/Alacant,Quatretondeta
168,daya_nueva,daya_nueva,alicante,alicante,comunidad_valenciana,comunitat_valenciana,daya_nueva/alicante,Alicante/Alacant,Daya Nueva
169,daya_vieja,daya_vieja,alicante,alicante,comunidad_valenciana,comunitat_valenciana,daya_vieja/alicante,Alicante/Alacant,Daya Vieja
170,denia,denia,alicante,alicante,comunidad_valenciana,comunitat_valenciana,denia/alicante,Alicante/Alacant,Dénia
171,dolores,dolores,alicante,alicante,comunidad_valenciana,comunitat_valenciana,dolores/alicante,Alicante/Alacant,Dolores
172,elche,elx,alicante,alicante,comunidad_valenciana,comunitat_valenciana,elche/alicante,Alicante/Alacant,Alicante/Alacant
173,elx,elche,alicante,alicante,comunidad_valenciana,comunitat_valenciana,elx/alicante,Alicante/Alacant,Elche/Elx
174,elda,elda,alicante,alicante,comunidad_valenciana,comunitat_valenciana,elda/alicante,Alicante/Alacant,Elda
175,facheca,facheca,alicante,alicante,comunidad_valenciana,comunitat_valenciana,facheca/alicante,Alicante/Alacant,Facheca
176,finestrat,finestrat,alicante,alicante,comunidad_valenciana,comunitat_valenciana,finestrat/alicante,Alicante/Alacant,Finestrat
177,gata_de_gorgos,gata_de_gorgos,alicante,alicante,comunidad_valenciana,comunitat_valenciana,gata_de_gorgos/alicante,Alicante/Alacant,Gata de Gorgos
178,gaianes,gaianes,alicante,alicante,comunidad_valenciana,comunitat_valenciana,gaianes/alicante,Alicante/Alacant,Gaianes
179,granja_de_rocamora,granja_de_rocamora,alicante,alicante,comunidad_valenciana,comunitat_valenciana,granja_de_rocamora/alicante,Alicante/Alacant,Granja de Rocamora
180,guardamar_del_segura,guardamar_del_segura,alicante,alicante,comunidad_valenciana,comunitat_valenciana,guardamar_del_segura/alicante,Alicante/Alacant,Guardamar del Segura
181,hondon_de_las_nieves,el_fondo_de_les_neus,alicante,alicante,comunidad_valenciana,comunitat_valenciana,hondon_de_las_nieves/alicante,Alicante/Alacant,el Fondó de les Neus/Hondón de las Nieves
182,ibi,ibi,alicante,alicante,comunidad_valenciana,comunitat_valenciana,ibi/alicante,Alicante/Alacant,Ibi
183,jacarilla,jacarilla,alicante,alicante,comunidad_valenciana,comunitat_valenciana,jacarilla/alicante,Alicante/Alacant,Jacarilla
184,xalo,xalo,alicante,alicante,comunidad_valenciana,comunitat_valenciana,xalo/alicante,Alicante/Alacant,Xaló
185,javea,xabia,alicante,alicante,comunidad_valenciana,comunitat_valenciana,javea/alicante,Alicante/Alacant,Alicante/Alacant
186,jijona,jijona,alicante,alicante,comunidad_valenciana,comunitat_valenciana,jijona/alicante,Alicante/Alacant,Jijona/Xixona
187,lorcha,l'orxa,alicante,alicante,comunidad_valenciana,comunitat_valenciana,lorcha/alicante,Alicante/Alacant,Alicante/Alacant
188,lliber,lliber,alicante,alicante,comunidad_valenciana,comunitat_valenciana,lliber/alicante,Alicante/Alacant,Llíber
189,monforte_del_cid,monforte_del_cid,alicante,alicante,comunidad_valenciana,comunitat_valenciana,monforte_del_cid/alicante,Alicante/Alacant,Monforte del Cid
190,monovar,monover,alicante,alicante,comunidad_valenciana,comunitat_valenciana,monovar/alicante,Alicante/Alacant,Alicante/Alacant
191,mutxamel,mutxamel,alicante,alicante,comunidad_valenciana,comunitat_valenciana,mutxamel/alicante,Alicante/Alacant,Mutxamel
192,murla,murla,alicante,alicante,comunidad_valenciana,comunitat_valenciana,murla/alicante,Alicante/Alacant,Murla
193,muro_de_alcoy,muro_de_alcoy,alicante,alicante,comunidad_valenciana,comunitat_valenciana,muro_de_alcoy/alicante,Alicante/Alacant,Muro de Alcoy
194,novelda,novelda,alicante,alicante,comunidad_valenciana,comunitat_valenciana,novelda/alicante,Alicante/Alacant,Novelda
195,la_nucia,la_nucia,alicante,alicante,comunidad_valenciana,comunitat_valenciana,la_nucia/alicante,Alicante/Alacant,la Nucia
196,ondara,ondara,alicante,alicante,comunidad_valenciana,comunitat_valenciana,ondara/alicante,Alicante/Alacant,Ondara
197,onil,onil,alicante,alicante,comunidad_valenciana,comunitat_valenciana,onil/alicante,Alicante/Alacant,Onil
198,orba,orba,alicante,alicante,comunidad_valenciana,comunitat_valenciana,orba/alicante,Alicante/Alacant,Orba
199,orxeta,orxeta,alicante,alicante,comunidad_valenciana,comunitat_valenciana,orxeta/alicante,Alicante/Alacant,Orxeta
200,orihuela,orihuela,alicante,alicante,comunidad_valenciana,comunitat_valenciana,orihuela/alicante,Alicante/Alacant,Orihuela
201,pedreguer,pedreguer,alicante,alicante,comunidad_valenciana,comunitat_valenciana,pedreguer/alicante,Alicante/Alacant,Pedreguer
202,penaguila,penaguila,alicante,alicante,comunidad_valenciana,comunitat_valenciana,penaguila/alicante,Alicante/Alacant,Penàguila
203,petrer,petrer,alicante,alicante,comunidad_valenciana,comunitat_valenciana,petrer/alicante,Alicante/Alacant,Petrer
204,pinoso,el_pinos,alicante,alicante,comunidad_valenciana,comunitat_valenciana,pinoso/alicante,Alicante/Alacant,el Pinós/Pinoso
205,planes,planes,alicante,alicante,comunidad_valenciana,comunitat_valenciana,planes/alicante,Alicante/Alacant,Planes
206,polop,polop,alicante,alicante,comunidad_valenciana,comunitat_valenciana,polop/alicante,Alicante/Alacant,Polop
207,redovan,redovan,alicante,alicante,comunidad_valenciana,comunitat_valenciana,redovan/alicante,Alicante/Alacant,Redován
208,relleu,relleu,alicante,alicante,comunidad_valenciana,comunitat_valenciana,relleu/alicante,Alicante/Alacant,Relleu
209,rojales,rojales,alicante,alicante,comunidad_valenciana,comunitat_valenciana,rojales/alicante,Alicante/Alacant,Rojales
210,la_romana,la_romana,alicante,alicante,comunidad_valenciana,comunitat_valenciana,la_romana/alicante,Alicante/Alacant,la Romana
211,salinas,salinas,alicante,alicante,comunidad_valenciana,comunitat_valenciana,salinas/alicante,Alicante/Alacant,Salinas
212,sant_joan_d'alacant,sant_joan_d'alacant,alicante,alicante,comunidad_valenciana,comunitat_valenciana,sant_joan_d'alacant/alicante,Alicante/Alacant,Sant Joan d'Alacant
213,san_miguel_de_salinas,san_miguel_de_salinas,alicante,alicante,comunidad_valenciana,comunitat_valenciana,san_miguel_de_salinas/alicante,Alicante/Alacant,San Miguel de Salinas
214,santa_pola,santa_pola,alicante,alicante,comunidad_valenciana,comunitat_valenciana,santa_pola/alicante,Alicante/Alacant,Santa Pola
