,cities_es,cities,province_es,province,ccaa_es,ccaa,cities_es/province,provincia_original,municipio_original,muni_agrup,total_comercios,b_e_industria,f_construccion,comercio_transporte_y_hosteleria,j_informacion_y_comunicaciones,k_actividades_financieras_y_de_seguros,l_actividades_inmobiliarias,actividades_profesionales_y_tecnicas,educacion_sanidad_y_servicios_sociales,otros_servicios_personales,total_servicios,prov_pib
25,arraia_maeztu,arraia_maeztu,alava,araba,pais_vasco,pais_vasco,arraia_maeztu/araba,Araba/Álava,Arraia-Maeztu,arraia_maeztu/pais_vasco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11983377
26,moreda_de_alava,moreda_araba,alava,araba,pais_vasco,pais_vasco,moreda_de_alava/araba,,,moreda_araba/pais_vasco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11983377
27,okondo,okondo,alava,araba,pais_vasco,pais_vasco,okondo/araba,Araba/Álava,Okondo,okondo/pais_vasco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11983377
28,oyon_oion,oyon_oion,alava,araba,pais_vasco,pais_vasco,oyon_oion/araba,Araba/Álava,Oyón-Oion,oyon_oion/pais_vasco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11983377
29,ribera_alta,erriberagoitia,alava,araba,pais_vasco,pais_vasco,ribera_alta/araba,Araba/Álava,Erriberagoitia/Ribera Alta,erriberagoitia/pais_vasco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11983377
30,agurain,salvatierra,alava,araba,pais_vasco,pais_vasco,agurain/araba,,,salvatierra/pais_vasco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11983377
31,urkabustaiz,urkabustaiz,alava,araba,pais_vasco,pais_vasco,urkabustaiz/araba,Araba/Álava,Urkabustaiz,urkabustaiz/pais_vasco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11983377
32,valdegovia,gaubea,alava,araba,pais_vasco,pais_vasco,valdegovia/araba,,,gaubea/pais_vasco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11983377
33,legutio,legutio,alava,araba,pais_vasco,pais_vasco,legutio/araba,Araba/Álava,Legutio,legutio/pais_vasco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11983377
34,zuia,zuia,alava,araba,pais_vasco,pais_vasco,zuia/araba,Araba/Álava,Zuia,zuia/pais_vasco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11983377
35,iruna_de_oca,iruna_oka,alava,araba,pais_vasco,pais_vasco,iruna_de_oca/araba,Araba/Álava,Iruña Oka/Iruña de Oca,iruna_oka/pais_vasco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11983377
36,abengibre,abengibre,albacete,albacete,castilla_la_mancha,castilla_la_mancha,abengibre/albacete,Albacete,Abengibre,abengibre/castilla_la_mancha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7762548
37,alatoz,alatoz,albacete,albacete,castilla_la_mancha,castilla_la_mancha,alatoz/albacete,Albacete,Alatoz,alatoz/castilla_la_mancha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7762548
38,albacete,albacete,albacete,albacete,castilla_la_mancha,castilla_la_mancha,albacete/albacete,Albacete,Albacete,albacete/castilla_la_mancha,12814.0,978.0,1465.0,4396.0,178.0,344.0,676.0,2148.0,1144.0,1205.0,5725.0,7762548
39,albatana,albatana,albacete,albacete,castilla_la_mancha,castilla_la_mancha,albatana/albacete,Albacete,Albatana,albatana/castilla_la_mancha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7762548
40,alborea,alborea,albacete,albacete,castilla_la_mancha,castilla_la_mancha,alborea/albacete,Albacete,Alborea,alborea/castilla_la_mancha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7762548
41,alcadozo,alcadozo,albacete,albacete,castilla_la_mancha,castilla_la_mancha,alcadozo/albacete,Albacete,Alcadozo,alcadozo/castilla_la_mancha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7762548
42,alcala_del_jucar,alcala_del_jucar,albacete,albacete,castilla_la_mancha,castilla_la_mancha,alcala_del_jucar/albacete,Albacete,Alcalá del Júcar,alcala_del_jucar/castilla_la_mancha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7762548
43,alcaraz,alcaraz,albacete,albacete,castilla_la_mancha,castilla_la_mancha,alcaraz/albacete,Albacete,Alcaraz,alcaraz/castilla_la_mancha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7762548
44,almansa,almansa,albacete,albacete,castilla_la_mancha,castilla_la_mancha,almansa/albacete,Albacete,Almansa,almansa/castilla_la_mancha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7762548
45,alpera,alpera,albacete,albacete,castilla_la_mancha,castilla_la_mancha,alpera/albacete,Albacete,Alpera,alpera/castilla_la_mancha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7762548
