,M190_1,M190_2,M190_3,M190_4,M190_5,M190_6,M190_7,M190_8,M190_9,M190_10,M190_11,M190_12,M190_13,M190_14,M190_15,M190_16,M190_17,M190_18,M190_19,M190_20,M190_21,CCAA,PROV,SECTOR,SEXO,EJER
9247,8360,102060396.81,5743.6966600000005,100795760.29,5639.66701,1264636.52,104.02965,80709.79,14.284370000000001,2089895.53,256.04575,18075560.35,1162.46808,40439267.67,2097.98616,28717576.56,1475.63768,11552564.41,658.33889,1104822.5,78.93573,12,15,4,2,2018
9248,65650,1204150317.25,53464.372189999995,1178363134.81,51768.38272,25787182.44,1695.98947,213558.11,65.98474,30672526.87,3398.1598799999997,180538867.14,10437.95319,384971022.42,16510.75648,389972448.4,14825.406819999998,203311558.53,7791.95528,14470335.78,434.1558,12,15,5,1,2018
9249,52008,688750258.16,41809.421989999995,675372700.01,40843.96524,13377558.15,965.45675,93475.64,31.802590000000002,24276122.48,3252.69211,157411629.53,10724.11516,263048611.81,14934.579930000002,175582722.45,9196.96431,64921531.0,3457.86771,3416165.25,211.40017999999998,12,15,5,2,2018
9250,10269,202040575.9,7207.433109999999,198801342.4,7057.134590000001,3239233.5,150.29852,31705.7,34.50355,5406188.59,561.4173599999999,41663353.55,2008.8399,65943018.48,2358.76836,60457162.96,1482.3865,27269895.42,716.44052,1269251.2,45.07692,12,15,6,1,2018
9251,6080,92309685.05,4211.38898,90942975.47,4119.03474,1366709.58,92.35424,8068.17,26.75287,2606522.04,392.06863,20394776.31,1132.70484,34746586.8,1501.30215,26431397.52,845.77858,7906661.76,286.86384,215672.45,25.91807,12,15,6,2,2018
9252,7400,205491051.63,4994.96408,204372384.76,4940.258379999999,1118666.87,54.7057,17289.38,5.0,1065543.53,105.1929,10761920.26,501.27709000000004,67005517.07,1505.88967,80916954.22,1487.81085,44279988.35,1021.49137,1443838.82,368.3022,12,15,7,1,2018
9253,8437,157623910.47,5385.14019,156921237.0,5333.59029,702673.47,51.5499,751.82,0.26591,1748506.96,168.45277,16088723.74,849.0722199999999,67688653.58,2030.12293,55940159.03,1410.73564,15472812.58,558.3961099999999,684302.76,368.09461,12,15,7,2,2018
9254,42476,521963733.4,27406.617430000002,512250472.3,26519.43461,9713261.1,887.1828199999999,21357.95,41.0701,17066123.97,2944.4467600000003,89555655.76,6412.19083,170574012.97,8540.14681,151327953.52,6363.17189,88166668.02,2931.97843,5251961.21,173.61261000000002,12,15,8,1,2018
9255,53613,454780226.93,34006.445660000005,444532507.68,32909.71879,10247719.25,1096.72687,29877.16,41.49899,15012108.9,3113.59016,85516344.12,6922.12045,162377932.11,10778.91628,131929207.93,8817.289859999999,57607908.4,4102.8294399999995,2306848.31,230.20047999999997,12,15,8,2,2018
9256,54114,1162000603.7,40972.12631,1150570286.18,40334.80982,11430317.52,637.31649,85334.26,17.65632,13007360.25,1771.0916100000002,111774045.78,5779.35671,292110255.81,10953.11397,373979814.63,11892.54009,344995575.64,9832.8373,26048217.33,725.53031,12,15,9,1,2018
9257,89306,1636857713.92,70249.59555,1623009331.9,69180.35446,13848382.02,1069.24109,82641.53,20.47883,20330944.5,2803.46157,221313858.37,12549.89892,448539582.11,19987.96556,532943323.96,20534.88477,397648609.3,13729.10797,15998754.15,623.79793,12,15,9,2,2018
9258,39509,275703880.61,22100.71275,252793259.65,20236.76432,22910620.96,1863.9484300000001,369248.0,148.33045,26425983.1,4569.2447,75083389.83,5842.05765,79488525.52,5650.49467,60089189.49,3783.08695,32292816.66,1952.6382899999999,1954728.01,154.86004,12,15,10,1,2018
9259,49036,269782251.59,29919.970810000003,253514967.39,27571.27188,16267284.2,2348.69893,249561.11,186.55714,25638710.77,5417.02775,68280708.3,7589.29837,80361696.78,7906.19655,63519781.67,5918.70265,29795800.06,2684.95388,1935992.9,217.23447000000002,12,15,10,2,2018
9260,5950,65710602.49,4071.9104700000003,46963904.81,2729.90436,18746697.68,1342.00611,56087.28,16.61198,3020628.02,381.84661,12047064.78,916.72821,22104110.27,1258.36623,21263881.68,1010.4389,7077336.64,462.79495999999995,141493.82,25.12358,12,27,1,1,2018
9261,1184,11705877.72,940.6329800000001,11006097.56,839.2655900000001,699780.16,101.36739,9864.98,3.65884,376367.05,60.538309999999996,1791510.52,166.6677,3462279.16,273.4249,3524759.19,237.38707999999997,2470873.84,181.35512,70222.98,17.601029999999998,12,27,1,2,2018
9262,1353,29817010.85,1115.86645,29390818.77,1091.56046,426192.08,24.305989999999998,,,441625.07,35.0585,4329486.83,200.00697,8665916.87,322.13112,8832029.14,324.65907000000004,7384046.23,230.34871,163165.15,2.66208,12,27,2,1,2018
9263,236,4079204.89,201.29345,4017954.23,197.60326,61250.66,3.6901900000000003,,,92349.0,7.55335,746259.27,39.51298,1283043.17,59.94429,1332517.88,62.581,607185.57,29.701829999999998,,,12,27,2,2,2018
9264,10760,199199117.03,9067.48792,194882519.15,8741.78881,4316597.88,325.69911,44943.02,5.0,7178201.15,585.64057,39257672.21,2016.9278600000002,69163884.49,2793.7506399999997,50117917.86,2084.32661,31880541.02,1485.52665,1555957.28,96.31559,12,27,3,1,2018
9265,4142,56303533.83,3399.4937,55189629.29,3268.16457,1113904.54,131.32913,2785.19,2.34116,1617246.07,191.9255,12896320.04,809.37947,19712254.68,1066.8912300000002,14497828.0,845.47859,7450383.28,458.58918,126716.57,24.88857,12,27,3,2,2018
9266,9282,126659859.52,7173.638859999999,121513427.32,6754.59718,5146432.2,419.04168,47275.84,9.661439999999999,3307146.88,327.31992,22721370.35,1372.15346,41417301.24,2223.8387399999997,35735392.03,1957.0935600000003,22647155.18,1250.6615800000002,784218.0,32.91016,12,27,4,1,2018
9267,1888,17620078.31,1204.5412800000001,17230760.31,1162.03511,389318.0,42.506170000000004,,,458698.97,74.28633,3499892.34,264.13369,6289164.62,412.57661,4534215.83,276.75563,2727920.81,168.25488,110185.74,8.534139999999999,12,27,4,2,2018
9268,18521,262564659.37,14844.57655,252062005.87,13981.57556,10502653.5,863.00099,26808.78,14.998420000000001,8948311.26,970.23999,48576239.88,3214.0093100000004,77680717.79,4165.25839,77456291.88,3886.4344,47307238.45,2317.4051,2569051.33,276.23094,12,27,5,1,2018
9269,13758,142434303.71,10831.563909999999,139950804.98,10518.404540000001,2483498.73,313.15937,4830.16,4.139530000000001,5704579.67,849.8891,33332181.95,2784.1066600000004,50280641.79,3585.67916,36066774.75,2462.8418100000004,16529802.95,1095.50629,515492.44,49.40136,12,27,5,2,2018
9270,1306,23489131.37,991.46064,23243925.74,977.03001,245205.63,14.430629999999999,,,892080.23,106.58613000000001,6115136.47,338.85786,5165815.13,241.07092000000003,7930641.63,200.84721000000002,3173445.74,91.4501,211981.51,11.64842,12,27,6,1,2018
9271,828,11393701.16,637.73888,11365393.35,634.90412,28307.81,2.8347599999999997,,,349148.6,52.593090000000004,2921834.75,198.2812,4041760.99,228.38305,3144924.15,117.94531,842513.68,34.536229999999996,90487.9,4.0,12,27,6,2,2018
9272,1824,38721453.08,1157.80356,38572629.54,1139.2323,148823.54,18.571260000000002,,,338417.31,33.90358,3116657.6,147.4273,13608281.82,350.26101,11787453.42,291.51223,9573399.17,247.91305,271428.72,85.78639,12,27,7,1,2018
9273,2358,32663740.88,1350.62522,32535558.72,1337.19366,128182.16,13.431560000000001,,,351749.59,39.04419,4773579.9,259.63555,15463669.37,517.6863099999999,8626476.55,279.095,3221254.81,147.04887,227010.66,108.1153,12,27,7,2,2018
9274,8815,95134276.88,5635.35707,93184859.97,5396.837320000001,1949416.91,238.51975,58800.06,12.6971,4712493.06,714.08618,19882242.91,1429.83639,30676289.85,1642.29693,25820348.83,1237.53126,13388025.88,560.5102,596076.29,38.39901,12,27,8,1,2018
9275,10708,77237742.63,6491.5048799999995,75855091.35,6279.02215,1382651.28,212.48272999999998,21809.69,8.0,3465256.78,643.85315,16562280.22,1460.78205,24662832.99,1815.26957,21201361.19,1646.00851,11022412.34,874.1555800000001,301789.42,43.43602,12,27,8,2,2018
9276,16959,327182875.67,12983.46781,324715411.8,12818.307009999999,2467463.87,165.1608,21783.07,4.0,4279444.4,622.61653,34956444.69,1951.0418300000001,81669408.39,3364.1534799999995,101153155.67,3585.61952,99171379.41,3215.38552,5931260.04,240.65093,12,27,9,1,2018
9277,29231,507692438.51,23353.28068,504137530.54,22965.88612,3554907.97,387.39456,51187.89,10.53566,7196472.49,892.9662300000001,73080805.57,4311.68527,131165100.37,6292.60478,162295525.84,6804.368329999999,130776908.71,4861.7520700000005,3126437.64,179.36834,12,27,9,2,2018
9278,10872,50130933.0,5269.43084,45618060.39,4692.16702,4512872.61,577.26382,107429.39,70.03105,6741490.19,1289.70201,13654863.07,1481.01092,13922616.05,1207.87253,9882542.01,804.53732,5677730.25,394.0041,144262.04,22.27291,12,27,10,1,2018
9279,15277,66882007.22,8808.324920000001,59114479.08,7575.520809999999,7767528.14,1232.80411,63257.12,56.32481,7675715.82,1808.35076,18734242.85,2313.8152800000003,18616320.09,2172.54012,14328248.57,1618.53872,7097784.56,785.09998,366438.21,53.65525,12,27,10,2,2018
9280,2976,31097330.23,1947.27657,28505171.7,1642.97497,2592158.53,304.3016,9065.21,5.12212,1676794.13,210.4772,4833685.19,408.94865,7435946.72,502.7182,8578389.17,513.30134,5467657.83,290.43937999999997,3095791.98,16.269679999999997,12,32,1,1,2018
9281,1226,11408180.79,809.88919,10958595.81,739.06617,449584.98,70.82302,,,233368.96,32.822179999999996,1866600.49,152.93582,3882600.73,249.44957000000002,3925850.32,246.51502999999997,1459946.34,123.08424,39514.06,3.08235,12,32,1,2,2018
9282,2251,55752230.23,1943.3802899999998,52270809.39,1782.77974,3481420.84,160.60055,,,1321431.41,90.17572,8583941.37,349.64454,18222659.8,633.03372,16043685.39,551.98654,11038200.04,305.53977000000003,542312.22,13.0,12,32,2,1,2018
9283,532,9416015.18,445.08258,8409314.84,388.34033,1006700.34,56.74225,,,147389.02,11.93225,1229816.05,69.58785999999999,3333368.82,158.71397,3375706.86,153.11385,1283063.5,46.73465,46670.93,5.0,12,32,2,2,2018
9284,10746,171898502.03,8867.444790000001,165216126.19,8411.4879,6682375.84,455.95689000000004,25580.09,12.69145,5957772.78,625.36742,34296730.15,2044.02704,61622225.69,2868.3073600000002,46428154.94,2127.9618,22386470.77,1145.88794,1181567.61,43.20178,12,32,3,1,2018
9285,4704,59425403.73,3838.8346,57569243.37,3662.45895,1856160.36,176.37565,5619.16,3.24685,1557584.77,205.27732,11035238.31,748.97933,23183303.67,1359.71047,16300286.84,1027.64341,7129015.81,477.11133,214355.17,16.86589,12,32,3,2,2018
9286,8500,112036630.78,6573.7045100000005,106523674.27,6170.46165,5512956.51,403.24286,45331.62,8.728019999999999,2748374.51,314.67658,16489880.79,1133.91195,32610680.05,1822.463,35288947.71,1880.03708,22858495.11,1227.5801800000002,1994920.99,186.3077,12,32,4,1,2018
9287,2102,21723146.08,1486.37833,21310050.59,1436.0398,413095.49,50.33853,,,552087.52,76.33440999999999,3829091.62,300.86186000000004,7513877.25,476.54812000000004,5741342.83,371.78954,3876066.51,250.01151000000002,208626.55,8.832889999999999,12,32,4,2,2018
9288,15032,201488586.38,12030.06927,193751127.23,11338.00448,7737459.15,692.06479,26642.54,18.38168,7105579.1,874.78532,34365815.63,2443.58969,59008509.71,3419.8877899999998,58056593.84,3187.52943,41228139.73,1994.01028,1697305.83,91.88508,12,32,5,1,2018
9289,11568,121437352.67,9271.9513,118762915.0,8963.94895,2674437.67,308.00235,116119.24,13.75315,4645396.66,741.7957299999999,26749164.0,2259.95426,42776679.6,3049.77443,32416437.53,2165.69633,14117608.72,995.51025,615946.92,45.46715,12,32,5,2,2018
9290,1204,21582079.59,876.5569800000001,21355920.75,860.8902099999999,226158.84,15.666770000000001,464.5,4.0,1064505.25,110.92278999999999,5185852.13,294.92944,4426435.64,196.37037,7250577.41,164.82543,3424919.45,93.50895,229325.21,12.0,12,32,6,1,2018
9291,700,9072104.47,503.14655999999997,9029168.74,495.7925,42935.73,7.3540600000000005,236.5,5.0,532396.03,70.94877,2481335.13,159.67734,2778397.21,143.65549,2277655.54,79.29047,890135.21,38.574490000000004,111948.85,6.0,12,32,6,2,2018
9292,1711,36622409.17,1051.48904,36466616.85,1031.67101,155792.32,19.81803,2078.72,0.22558000000000003,353438.22,40.896640000000005,2146473.04,121.94936000000001,11384607.99,284.99962999999997,13358238.11,312.57319,9178059.94,236.06047,199513.15,54.784169999999996,12,32,7,1,2018
9293,1897,26837301.58,1130.35716,26707737.86,1112.14456,129563.72,18.2126,,,408768.98,50.516259999999996,3008620.9,185.80557,12401041.32,430.92325999999997,8053710.39,264.24351,2775151.58,125.14806999999999,189853.01,71.72049,12,32,7,2,2018
9294,7398,69723184.82,4604.26289,68119665.88,4421.97934,1603518.94,182.28355,2483.79,6.86044,3236819.6,537.5287099999999,16427029.22,1275.90384,21787878.94,1311.5031900000001,18087419.4,961.5391199999999,9659942.2,467.4207,521611.67,43.506890000000006,12,32,8,1,2018
9295,8679,60045437.17,5249.62506,58934970.1,5064.1305600000005,1110467.07,185.4945,3901.94,9.05488,2494967.23,508.48169,11701039.39,1168.61145,19271341.1,1502.82134,17272382.75,1324.0308,8959831.26,703.52552,341973.5,33.09938,12,32,8,2,2018
9296,16421,313949018.91,12784.99748,311630549.87,12613.81535,2318469.04,171.18213,46833.04,5.48781,3868738.68,601.37901,33775615.71,1888.79041,83198950.63,3332.0436600000003,99245537.73,3677.45745,88790699.68,3026.24688,5022643.44,253.59226,12,32,9,1,2018
9297,26648,452393142.43,21345.77429,448827091.66,20949.723019999998,3566050.77,396.05127000000005,23303.76,4.77798,6299981.79,853.5178300000001,65161207.96,3894.78834,121058459.79,5840.54415,145132174.33,6250.25818,111844850.09,4315.07962,2873164.71,186.80819,12,32,9,2,2018
9298,9298,46585281.51,5150.818270000001,42471761.32,4553.935420000001,4113520.19,596.88285,89737.39,57.5029,5631717.64,1253.79066,13009994.74,1477.30505,11902610.17,1083.67311,9537060.48,764.78864,6186597.23,486.30546,227563.86,27.45245,12,32,10,1,2018
9299,11547,52292697.43,7090.96091,46977299.36,6214.3551,5315398.07,876.60581,46095.68,42.16714,6012148.18,1478.3735800000002,14953181.55,1959.7981300000001,13673355.65,1654.85921,11199692.76,1266.4189,6114721.83,635.22027,293501.78,54.12368000000001,12,32,10,2,2018
9300,8909,105424586.3,5969.3906799999995,97064356.71,5298.14053,8360229.59,671.25015,79358.53,30.55622,3964700.52,546.5884900000001,14357924.91,1189.0007,29049258.1,1646.06467,45536853.21,1884.1239899999998,11794677.19,648.69686,641813.84,24.35975,12,36,1,1,2018
9301,2001,15792066.34,1408.30091,15368962.74,1326.7680599999999,423103.6,81.53285,6426.5,7.0,475447.23,123.11606,2732656.08,251.06541,5360809.82,386.72878,4392364.42,395.20139,2536607.84,231.1964,287754.45,13.992870000000002,12,36,1,2,2018
9302,2460,54258604.37,2054.2755899999997,53682367.46,2025.75165,576236.91,28.523940000000003,,,408503.22,47.2097,4838989.4,271.10135,15438981.53,632.20812,19776109.3,698.3136599999999,12894791.41,393.18242999999995,901229.51,12.26033,12,36,2,1,2018
9303,559,9849233.12,471.4427,9678322.71,461.95732999999996,170910.41,9.48537,,,109780.33,11.90842,1632538.95,88.07925999999999,3175189.05,157.69575,3124530.39,136.37197,1694730.51,70.3873,112463.89,7.0,12,36,2,2,2018
9304,47835,995692201.18,40795.028439999995,975168532.69,39764.332689999996,20523668.49,1030.69575,102958.04,59.65084,28179384.1,2554.50099,163450960.98,8282.03671,390918444.95,15024.324419999999,286962181.8,9937.60107,118739680.38,4650.47692,7338590.93,286.43748999999997,12,36,3,1,2018
9305,20228,298177084.89,16907.77548,293543133.24,16576.28903,4633951.65,331.48645,43819.29,18.60422,6950917.93,841.10232,52004413.07,3185.2819600000003,124766025.11,6373.18538,79531927.74,4256.27995,33608415.31,2140.15807,1271566.44,93.16358000000001,12,36,3,2,2018
9306,30963,404216810.14,22889.374190000002,392714565.06,21987.910480000002,11502245.08,901.46371,262044.31,41.59959,10457196.14,1107.99549,63821557.69,4062.5685399999998,136885085.92,7457.85634,123651382.46,6522.99555,65515869.75,3493.5020299999996,3623673.87,202.85665,12,36,4,1,2018
9307,6515,65260881.29,4292.61709,64360210.95,4194.07847,900670.34,98.53862,5412.46,4.70132,1530246.89,214.93429,11196867.07,823.83328,25079246.04,1551.3563800000002,17898230.4,1096.26597,8870251.23,568.8546200000001,680627.2,32.67123,12,36,4,2,2018
9308,58822,942570888.36,46838.80747,911978692.57,44833.61756,30592195.79,2005.18991,202665.34,85.10004,28269601.99,3433.1565200000005,138430328.58,9040.96545,291310709.37,13987.67551,313882955.67,13156.91295,159465671.24,6648.09847,11008956.17,486.89853,12,36,5,1,2018
9309,48617,555081508.21,38546.92344,544043255.53,37517.82415,11038252.68,1029.09929,72290.33,47.641659999999995,21553884.39,3216.1024199999997,119318121.51,9256.81325,211564882.54,13796.220790000001,142952868.77,8584.70462,56458404.21,3427.37757,3161056.46,218.06312999999997,12,36,5,2,2018
9310,5516,100707734.81,4002.8348,99478193.36,3939.55251,1229541.45,63.28229,1200.0,0.87992,3456367.37,397.41794,20111107.42,1135.61287,32092476.46,1266.3184099999999,30165679.58,773.95748,14553853.33,399.13017,327050.65,29.518009999999997,12,36,6,1,2018
9311,2955,37975825.7,2007.8782199999998,37527078.09,1969.89872,448747.61,37.9795,2767.26,11.56165,1297155.27,226.26092000000003,8825922.45,585.55777,14449859.47,684.74005,9230817.18,349.21509,4021449.45,134.67225,147854.62,15.87049,12,36,6,2,2018
9312,5943,130848264.43,3695.12485,130223649.28,3649.8516700000005,624615.15,45.273179999999996,1322.66,3.1688,905373.1,129.1464,8211984.64,417.1269,41029105.64,1084.8451,49566010.71,1109.73205,30412154.47,791.04192,722313.21,160.06368,12,36,7,1,2018
9313,7441,110282919.42,4319.1644799999995,109759649.08,4272.260829999999,523270.34,46.90365,,,1182962.43,146.64873,13794119.44,780.87212,46774330.78,1599.08261,37382707.55,1152.6714,10873966.64,444.86785,274322.58,194.02177,12,36,7,2,2018
9314,36565,393650185.77,23204.55082,383416113.56,22313.65278,10234072.21,890.89804,58141.18,37.16217,19461655.2,3149.25852,84701400.42,6152.105,130777230.7,6977.53483,107503571.01,4817.178220000001,46544676.26,1902.4405100000001,4603511.0,168.87157,12,36,8,1,2018
9315,42543,331270403.83,26762.331769999997,325528744.54,26045.61167,5741659.29,716.7201,39767.06,32.3198,13350903.73,2679.97456,68428256.33,5925.78721,115304767.91,8221.74466,91446326.35,6730.36012,41051000.25,3034.10998,1649382.2,138.03544,12,36,8,2,2018
9316,40520,781720072.4,29835.435,775095626.04,29395.06702,6624446.36,440.36798,55186.48,8.85282,9505190.8,1358.72938,77293009.09,4506.43814,206729027.86,8186.79604,254613036.8,8601.75511,221904936.23,6745.16204,11619685.14,427.70147000000003,12,36,9,1,2018
9317,69016,1160987397.15,53210.873230000005,1150999790.51,52355.850289999995,9987606.64,855.0229400000001,144954.82,21.83964,17165972.5,2452.7071100000003,168506700.16,10337.31299,331133722.66,15606.51105,364812204.12,14632.81965,271459373.9,9794.204520000001,7764468.99,365.47827,12,36,9,2,2018
9318,35756,224413960.92,19295.178340000002,198080311.65,17729.12305,26333649.27,1566.05529,397575.09,251.0296,30756051.82,4724.99661,65909930.58,5043.04445,55193447.31,4391.37655,46649535.85,3133.42995,23734561.08,1608.26866,1772859.19,143.03252,12,36,10,1,2018
9319,46645,227936415.2,28375.692769999998,214341310.37,26294.46138,13595104.83,2081.23139,296969.24,270.3317,27016226.8,5495.245260000001,57502836.95,7168.39682,66573226.18,7282.73453,51781797.91,5465.109829999999,23830933.13,2528.17143,934424.99,165.7032,12,36,10,2,2018
