M190_1,M190_2,M190_3,M190_4,M190_5,M190_6,M190_7,M190_8,M190_9,M190_10,M190_11,M190_12,M190_13,M190_14,M190_15,M190_16,M190_17,M190_18,M190_19,M190_20,M190_21,CCAA,PROV,SECTOR,SEXO,EJER,MODELO
3900,56206295.600000,2555.692280,54975937.750000,2412.648180,1230357.850000,143.044100,43816.250000,3.248800,1069169.160000,200.477780,12668807.750000,765.083920,17911522.570000,737.361390,16784371.090000,530.413510,7536226.350000,301.454720,192382.430000,17.652160,1,4,6,1,2012,190
4126,55065624.970000,3240.089050,53817932.620000,3011.316560,1247692.350000,228.772490,18527.860000,64.000000,1313028.630000,431.218460,12117645.230000,913.401980,17825377.320000,866.979310,16690745.660000,604.870510,6919123.350000,327.104750,181176.920000,32.514040,1,4,6,1,2013,190
4155,43712058.110000,2281.129050,42729479.370000,2178.355860,982578.740000,102.773190,2771.600000,7.788680,982599.330000,223.940930,9448615.070000,656.779390,14486020.220000,676.357600,13774536.180000,457.163780,4857753.830000,233.775160,159761.880000,25.323510,1,4,6,1,2014,190
2631,34554579.370000,1856.641320,33867479.110000,1777.631370,687100.260000,79.009950,11546.300000,19.000000,1176076.920000,210.975680,8825580.600000,621.322550,10471545.890000,505.702850,11293679.490000,339.477720,2680125.380000,139.903350,96024.790000,20.259170,1,4,6,1,2015,190
3013,36927185.700000,2027.677300,35871886.770000,1915.773930,1055298.930000,111.903370,11998.160000,53.484960,1284842.320000,276.994750,9223351.770000,637.336420,10583678.710000,519.930050,12574510.180000,388.852060,3174144.420000,138.599570,74660.140000,12.479490,1,4,6,1,2016,190
1539,17990864.110000,1163.678850,17351484.850000,1081.982840,639379.260000,81.696010,29133.160000,4.940360,1117437.870000,177.869640,6775607.300000,491.530720,6507481.330000,327.280700,2194795.820000,97.056280,1325579.310000,58.001150,40829.320000,7.000000,1,4,6,2,2009,190
1152,15352309.070000,963.353100,14821724.890000,885.613410,530584.180000,77.739690,20476.970000,4.525880,819462.110000,135.375060,5482890.070000,387.412950,5581540.200000,283.771530,2252829.450000,96.320980,1149203.170000,47.946700,45907.100000,8.000000,1,4,6,2,2010,190
1401,16617461.320000,1092.532750,16040628.480000,1009.023590,576832.840000,83.509160,19452.530000,3.974560,776583.990000,142.288840,5290473.560000,414.214260,6530582.350000,362.134980,2915658.290000,114.493190,1038969.390000,50.426920,45741.210000,5.000000,1,4,6,2,2011,190
1323,15423531.220000,1054.792080,14853982.050000,971.822590,569549.170000,82.969490,875.330000,1.085980,648058.370000,140.536420,4680594.180000,382.862550,6296237.660000,350.861190,2763202.320000,124.295270,988249.450000,48.850680,46313.910000,6.299990,1,4,6,2,2012,190
1533,14740977.920000,1181.855910,14259215.310000,1079.534070,481762.610000,102.321840,13378.670000,40.463110,412313.670000,159.983740,4191771.240000,393.225150,5894966.340000,364.762530,3366002.280000,163.290760,812998.950000,47.130620,49546.770000,13.000000,1,4,6,2,2013,190
1401,14388290.180000,985.416870,13950393.640000,919.409350,437896.540000,66.007520,379.000000,5.000000,313145.820000,109.204620,4055624.580000,324.398340,5704565.970000,339.367690,3516425.170000,138.190500,744210.210000,51.227430,53939.430000,18.028290,1,4,6,2,2014,190
1185,12253160.220000,845.393210,11810739.480000,784.757750,442420.740000,60.635460,7973.510000,13.568620,410559.690000,116.730030,3560926.990000,279.219990,4265702.140000,255.686520,3283553.920000,131.717510,671618.190000,41.470540,52825.780000,7.000000,1,4,6,2,2015,190
1405,12770798.190000,964.159150,12157049.880000,893.220220,613748.310000,70.938930,8465.580000,44.000000,429700.980000,153.916220,3209930.950000,271.984370,4777177.630000,287.884300,3522309.160000,149.413240,774623.630000,49.961020,48590.260000,7.000000,1,4,6,2,2016,190
5886,122834581.680000,4652.825820,120409834.590000,4301.653050,2424747.090000,351.172770,53978.500000,3.499660,1591962.540000,238.773590,27170037.210000,1210.196280,38932713.060000,1315.098230,32490345.260000,1008.358160,21563682.560000,777.687760,1031862.550000,99.212140,1,4,7,1,2009,190
5532,128883922.440000,4467.837660,126211997.370000,4109.953930,2671925.070000,357.883730,50081.400000,3.640450,1168871.510000,182.415710,26915671.440000,1123.618530,41485652.700000,1260.307140,33530751.050000,1003.364460,24675193.450000,801.358870,1057700.890000,93.132500,1,4,7,1,2010,190
5333,121268676.630000,4282.674710,119071171.040000,3990.882530,2197505.590000,291.792180,1341.880000,0.709110,988703.340000,164.022050,23501271.700000,1000.663430,39062857.870000,1249.992730,32864894.490000,966.057910,23874635.070000,793.909440,974972.280000,107.320040,1,4,7,1,2011,190
5336,118325698.260000,4269.976710,116350808.420000,4000.664400,1974889.840000,269.312310,22087.600000,3.966420,716210.240000,134.646420,20283487.180000,892.438660,38658212.380000,1277.918520,34317470.960000,1034.661870,23432009.530000,810.249680,896220.370000,116.095140,1,4,7,1,2012,190
