,municipio_limpio,provincia,superficie_urbana,uds_almacen,uds_comercial,uds_cultural,uds_hosteleria,uds_industrial,uds_deportivo,uds_oficinas,uds_religioso,uds_espectaculos
1779,barracas,castellon,"205,638",12,3,1,8,141,17,0,2,0
1780,betxi,castellon,"1,712,347",860,108,8,5,500,37,13,3,2
1781,bejis,castellon,"144,066",255,8,8,3,15,0,0,3,0
1782,benafer,castellon,"35,346",78,0,1,0,2,1,0,1,0
1783,benafigos,castellon,"33,841",125,1,0,1,4,1,0,3,0
1784,benasal,castellon,"522,568",390,14,3,18,91,3,3,3,0
1785,benicarlo,castellon,"4,421,248","9,809",760,27,39,676,35,152,6,3
1786,benicasim,castellon,"7,077,891","7,192",494,21,72,180,195,47,5,2
1787,benlloch,castellon,"306,157",261,4,2,3,97,8,1,3,0
1788,borriol,castellon,"4,511,233",849,33,5,5,372,103,6,4,1
1789,borriana,castellon,"7,652,943","7,215",642,28,30,"1,334",57,79,11,2
1790,cabanes,castellon,"5,167,790",490,35,5,27,594,17,15,4,6
1791,calig,castellon,"398,287",121,9,1,3,130,4,2,3,1
1792,canet_lo_roig,castellon,"156,092",6,2,1,2,192,2,1,1,0
1793,castell_de_cabres,castellon,"10,531",1,0,0,0,36,1,0,1,0
1794,castellfort,castellon,"46,471",158,3,1,4,4,1,0,2,0
1795,castellnovo,castellon,"288,138",100,8,2,3,59,3,0,4,0
1796,castellon_de_la_plana,castellon,"17,623,342","46,821","5,057",190,991,"2,484",82,"2,004",38,30
1797,castillo_de_villamalefa,castellon,"35,950",28,0,1,1,114,1,0,1,0
1798,cati,castellon,"301,043",29,4,2,11,351,1,5,3,1
1799,caudiel,castellon,"268,645",40,5,1,0,332,3,0,2,0
1800,cervera_del_maestre,castellon,"88,346",37,2,4,2,37,0,2,3,0
1801,cinctorres,castellon,"96,010",70,5,4,2,46,2,1,6,0
1802,cirat,castellon,"150,246",226,1,1,5,58,7,1,2,1
1803,cortes_de_arenoso,castellon,"146,255",85,2,2,2,197,4,0,7,0
1804,costur,castellon,"115,091",33,2,2,0,77,3,1,1,0
1805,coves_de_vinroma,castellon,"503,515",141,18,5,3,181,2,6,6,0
1806,culla,castellon,"129,371",39,2,3,8,17,4,0,2,0
1807,chert,castellon,"168,264",26,3,3,3,157,1,1,4,0
1808,chilches,castellon,"3,883,887","1,960",40,5,9,154,16,9,3,1
1809,chodos,castellon,"32,426",72,1,1,2,1,3,0,3,0
1810,chovar,castellon,"110,473",36,1,0,2,40,2,0,1,0
1811,eslida,castellon,"229,458",280,14,2,5,35,2,1,2,0
1812,espadilla,castellon,"29,827",15,0,2,0,54,5,0,2,0
1813,fanzara,castellon,"102,255",22,3,1,1,87,14,1,2,0
1814,figueroles,castellon,"314,980",93,3,1,2,36,7,2,1,0
1815,forcall,castellon,"100,182",194,5,1,3,30,3,3,4,0
1816,fuente_la_reina,castellon,"37,498",14,0,0,1,75,2,0,1,0
1817,fuentes_de_ayodar,castellon,"29,401",18,1,0,1,26,1,2,1,1
1818,gaibiel,castellon,"122,890",64,0,1,1,39,6,0,3,0
1819,geldo,castellon,"93,545",141,7,1,1,12,2,0,2,0
1820,herbes,castellon,"20,553",3,0,2,1,14,1,0,2,0
1821,higueras,castellon,"12,253",8,2,1,1,29,3,0,1,0
1822,jana,castellon,"129,289",78,1,4,4,43,3,3,4,0
1823,jerica,castellon,"544,236",297,19,4,10,133,6,4,7,0
1824,lucena_del_cid,castellon,"472,987",295,11,2,2,36,3,7,4,0
1825,ludiente,castellon,"47,977",130,2,2,2,8,5,2,4,0
1826,llosa,castellon,"238,027",108,12,3,5,63,4,2,0,1
1827,mata_de_morella,castellon,"31,658",2,0,1,0,9,2,1,1,0
1828,matet,castellon,"109,498",63,0,2,6,25,2,0,2,0
1829,moncofa,castellon,"2,809,556","7,841",71,2,15,90,9,8,1,0
1830,montan,castellon,"98,571",73,4,1,2,181,2,0,3,0
1831,montanejos,castellon,"99,962",520,20,2,11,48,2,1,2,0
1832,morella,castellon,"721,154",620,60,6,15,195,5,11,19,0
1833,navajas,castellon,"376,268",386,6,4,2,137,12,1,1,0
1834,nules,castellon,"3,758,163","3,097",320,23,22,451,16,75,16,2
1835,olocau_del_rey,castellon,"27,040",34,0,0,1,3,0,0,3,0
1836,onda,castellon,"13,385,537","6,533",492,16,47,"1,130",63,60,14,2
1837,oropesa_del_mar,castellon,"6,704,611","11,840",403,9,47,594,50,83,3,5
1838,palanques,castellon,"12,446",3,0,0,0,3,0,0,1,0
1839,pavias,castellon,"35,120",6,0,0,2,39,16,0,1,0
1840,peniscola,castellon,"7,945,639","8,446",563,11,73,258,38,66,5,5
1841,pina_de_montalgrao,castellon,"57,998",83,2,2,0,3,4,0,1,0
1842,portell_de_morella,castellon,"42,650",10,1,2,0,16,0,1,3,0
1843,puebla_de_arenoso,castellon,"104,646",47,0,1,4,255,11,2,6,0
1844,pobla_de_benifassa,castellon,"99,050",25,0,3,8,161,1,0,6,0
1845,pobla_tornesa,castellon,"954,736",105,5,3,2,65,1,3,2,0
1846,ribesalbes,castellon,"382,060",167,5,2,0,117,6,3,4,0
1847,rossell,castellon,"334,756",23,4,2,3,131,1,2,1,1
1848,sacanet,castellon,"31,747",15,0,1,1,57,4,0,1,0
1849,salzadella,castellon,"144,162",35,5,2,2,146,3,0,3,0
1850,sant_jordi,castellon,"7,088,000","1,649",29,3,38,40,9,2,2,1
1851,sant_mateu,castellon,"786,986",212,19,6,7,108,12,8,4,1
1852,san_rafael_del_rio,castellon,"2,333,233",25,8,1,4,108,7,0,1,0
1853,santa_magdalena_de_pulpis,castellon,"224,978",161,5,2,3,119,2,0,2,0
1854,sarratella,castellon,"24,254",21,0,2,1,78,2,0,1,0
1855,segorbe,castellon,"2,448,844","3,314",322,12,15,378,26,89,11,19
1856,sierra_engarceran,castellon,"266,059",231,2,2,1,68,6,3,4,0
1857,soneja,castellon,"487,771",482,13,3,1,130,2,0,4,0
1858,sot_de_ferrer,castellon,"199,633",29,2,3,0,80,2,0,1,0
1859,sueras,castellon,"144,153",133,5,3,3,59,5,1,2,0
1860,tales,castellon,"196,409",222,7,2,1,23,3,2,2,0
1861,teresa,castellon,"104,798",111,4,3,0,88,3,0,2,0
1862,tirig,castellon,"133,400",25,1,2,1,66,4,1,2,0
1863,todolella,castellon,"34,543",11,1,1,1,25,2,0,3,0
1864,toga,castellon,"50,054",34,2,1,2,6,2,0,1,0
1865,toras,castellon,"152,947",142,3,1,1,93,2,1,1,0
1866,toro,castellon,"276,135",39,0,2,1,418,5,0,2,0
1867,torralba_del_pinar,castellon,"15,639",26,0,0,1,1,1,0,1,1
1868,torreblanca,castellon,"3,144,093","1,895",98,8,17,366,7,15,2,2
1869,torrechiva,castellon,"18,828",11,1,0,1,5,2,0,1,0
1870,torre_d_en_besora,castellon,"36,355",17,0,2,4,72,2,0,1,1
1871,torre_d_en_domenec,castellon,"59,753",15,0,2,0,87,0,0,2,0
1872,traiguera,castellon,"162,838",52,5,4,6,94,0,2,2,1
1873,useras,castellon,"220,755",103,2,5,2,108,10,2,7,0
1874,vallat,castellon,"18,104",7,1,0,1,4,1,0,1,0
1875,vall_d_alba,castellon,"4,491,695",384,28,9,9,261,21,7,6,3
1876,vall_de_almonacid,castellon,"69,091",92,3,1,0,81,2,0,2,0
1877,vall_d_uixo,castellon,"4,616,017","4,678",734,40,39,720,34,202,16,9
1878,vallibona,castellon,"23,293",8,0,1,0,51,1,0,1,0
1879,vilafames,castellon,"3,280,832",255,7,3,5,134,8,7,4,0
1880,villafranca_del_cid,castellon,"636,705",161,23,6,3,595,6,2,5,2
1881,villahermosa_del_rio,castellon,"119,713",156,9,1,5,17,4,1,4,1
1882,villamalur,castellon,"22,516",95,1,0,2,2,2,0,1,0
1883,vilanova_d_alcolea,castellon,"142,486",57,4,2,0,251,1,3,2,0
1884,villanueva_de_viver,castellon,"31,828",10,0,2,2,45,0,0,1,0
1885,vilar_de_canes,castellon,"33,411",86,0,1,1,11,3,0,1,1
1886,vila_real,castellon,"12,045,160","16,258","1,187",82,47,"1,546",82,502,15,11
1887,vilavella,castellon,"497,790",431,35,4,6,91,4,7,5,0
1888,villores,castellon,"24,729",2,1,1,0,10,1,0,3,0
1889,vinaros,castellon,"8,041,396","9,991",898,33,54,882,40,315,11,17
1890,vistabella_del_maestrazgo,castellon,"121,688",151,3,2,0,217,2,0,2,0
1891,viver,castellon,"550,827",185,18,4,3,52,15,2,4,1
1892,zorita_del_maestrazgo,castellon,"38,846",23,1,2,2,15,15,0,2,0
1893,zucaina,castellon,"77,595",178,2,1,0,44,2,0,2,0
1894,alquerias_del_nino_perdido,castellon,"3,530,090",537,51,6,12,288,11,12,1,0
1895,sant_joan_de_moro,castellon,"2,797,120","1,030",41,4,4,133,14,5,3,0
1896,abenojar,ciudad_real,"433,337",55,9,2,2,176,31,2,1,2
1897,agudo,ciudad_real,"969,437",59,15,1,4,523,4,3,1,1
1898,alamillo,ciudad_real,"276,413",53,4,2,5,98,2,0,1,0
1899,albaladejo,ciudad_real,"358,256",48,7,1,3,176,11,3,1,0
1900,alcazar_de_san_juan,ciudad_real,"8,288,310","4,079",661,31,28,"1,121",25,125,13,13
1901,alcoba,ciudad_real,"307,244",11,7,6,7,159,3,3,3,0
1902,alcolea_de_calatrava,ciudad_real,"618,839",37,12,3,2,147,6,2,3,1
1903,alcubillas,ciudad_real,"311,118",15,5,1,1,165,2,3,4,0
1904,aldea_del_rey,ciudad_real,"689,894",63,11,3,4,275,3,4,2,3
1905,alhambra,ciudad_real,"476,639",68,9,2,2,138,2,1,0,0
1906,almaden,ciudad_real,"1,488,927",210,94,11,15,286,11,24,2,1
1907,almadenejos,ciudad_real,"275,593",14,2,2,3,123,5,2,2,0
1908,almagro,ciudad_real,"1,920,229",682,152,11,13,439,8,15,12,3
1909,almedina,ciudad_real,"351,053",18,2,1,1,88,3,0,3,1
1910,almodovar_del_campo,ciudad_real,"2,037,016",482,84,16,19,921,40,12,23,2
1911,almuradiel,ciudad_real,"605,052",23,10,1,10,72,5,1,2,0
1912,anchuras,ciudad_real,"230,607",12,3,2,4,169,2,1,4,0
1913,arenas_de_san_juan,ciudad_real,"429,728",21,8,3,2,202,3,5,2,0
1914,argamasilla_de_alba,ciudad_real,"3,053,768",424,88,10,19,593,48,19,6,5
1915,argamasilla_de_calatrava,ciudad_real,"2,626,317",693,83,5,15,471,36,6,5,3
1916,arroba_de_los_montes,ciudad_real,"177,527",24,1,2,3,104,1,0,2,0
1917,ballesteros_de_calatrava,ciudad_real,"2,423,000",30,3,0,2,60,1,1,1,1
1918,bolanos_de_calatrava,ciudad_real,"5,794,611",431,155,10,25,908,21,30,8,2
1919,brazatortas,ciudad_real,"641,196",23,5,3,3,148,4,1,1,0
1920,cabezarados,ciudad_real,"154,577",11,2,1,1,49,0,1,1,0
1921,cabezarrubias_del_puerto,ciudad_real,"216,470",30,3,1,1,69,2,0,1,0
1922,calzada_de_calatrava,ciudad_real,"1,264,947",374,87,6,12,431,13,8,6,2
1923,campo_de_criptana,ciudad_real,"3,264,471","1,302",244,22,20,934,40,25,12,4
1924,canada_de_calatrava,ciudad_real,"50,600",7,0,0,2,13,0,2,1,0
1925,caracuel_de_calatrava,ciudad_real,"88,095",6,0,1,0,19,1,0,2,0
1926,carrion_de_calatrava,ciudad_real,"1,461,597",377,41,3,6,250,10,5,3,0
1927,carrizosa,ciudad_real,"473,921",27,4,2,2,232,1,0,1,0
1928,castellar_de_santiago,ciudad_real,"758,694",65,25,4,1,337,5,3,2,2
1929,ciudad_real,ciudad_real,"15,342,391","25,323","2,635",68,39,"2,711",63,614,20,4
1930,corral_de_calatrava,ciudad_real,"402,770",45,6,3,6,102,2,4,3,1
1931,cortijos,ciudad_real,"708,823",33,7,2,4,137,0,1,1,0
1932,cozar,ciudad_real,"490,543",45,9,1,2,150,2,1,3,0
1933,chillon,ciudad_real,"711,718",158,31,2,7,193,8,4,2,2
1934,daimiel,ciudad_real,"5,869,456","3,589",466,16,30,"1,030",64,35,10,3
1935,fernan_caballero,ciudad_real,"1,407,785",21,7,1,3,171,11,1,2,0
1936,fontanarejo,ciudad_real,"167,571",25,0,1,1,120,0,2,1,0
1937,fuencaliente,ciudad_real,"311,332",184,20,2,4,108,8,4,3,1
1938,fuenllana,ciudad_real,"151,248",9,1,1,0,57,3,2,3,0
1939,fuente_el_fresno,ciudad_real,"1,716,300",88,13,7,2,540,11,8,2,1
1940,granatula_de_calatrava,ciudad_real,"614,893",35,5,3,2,166,4,0,3,0
1941,guadalmez,ciudad_real,"312,271",31,4,2,2,233,3,0,2,1
1942,herencia,ciudad_real,"2,972,685",807,136,8,4,843,18,17,10,1
1943,hinojosas_de_calatrava,ciudad_real,"298,152",57,8,0,3,193,11,1,1,0
1944,horcajo_de_los_montes,ciudad_real,"635,789",20,4,3,4,282,2,3,1,0
1945,labores,ciudad_real,"475,688",11,9,1,3,106,0,2,1,0
1946,luciana,ciudad_real,"270,358",19,0,1,1,44,5,0,2,0
1947,malagon,ciudad_real,"3,504,985",645,130,15,13,"1,140",28,8,9,0
1948,manzanares,ciudad_real,"6,916,253","4,651",374,16,27,"1,126",38,64,12,5
1949,membrilla,ciudad_real,"1,815,728",323,56,7,13,460,12,10,6,4
1950,mestanza,ciudad_real,"413,825",56,5,3,2,148,4,0,1,0
1951,miguelturra,ciudad_real,"3,557,833","2,829",285,11,16,578,29,17,8,4
1952,montiel,ciudad_real,"522,854",121,10,2,6,268,4,2,2,0
1953,moral_de_calatrava,ciudad_real,"1,553,538",374,115,8,16,569,11,6,6,2
1954,navalpino,ciudad_real,"137,966",9,1,2,1,89,0,1,1,0
1955,navas_de_estena,ciudad_real,"296,710",3,0,3,1,118,2,0,2,0
1956,pedro_munoz,ciudad_real,"2,975,076",422,111,10,13,924,31,15,6,2
1957,picon,ciudad_real,"449,721",7,0,1,3,84,3,1,2,0
1958,piedrabuena,ciudad_real,"1,226,468",123,38,4,4,403,37,6,2,4
1959,poblete,ciudad_real,"755,995",285,44,4,1,80,9,12,1,0
1960,porzuna,ciudad_real,"1,662,026",115,34,7,5,441,12,8,3,2
1961,pozuelo_de_calatrava,ciudad_real,"1,245,500",578,44,4,4,268,15,15,5,1
1962,pozuelos_de_calatrava,ciudad_real,"181,318",23,0,1,1,58,2,1,1,0
1963,puebla_de_don_rodrigo,ciudad_real,"455,577",27,9,1,1,111,7,1,1,1
1964,puebla_del_principe,ciudad_real,"297,310",102,3,2,3,85,2,0,1,0
1965,puerto_lapice,ciudad_real,"675,823",22,8,1,2,138,4,4,0,0
1966,puertollano,ciudad_real,"8,638,560","9,194","1,378",54,49,"1,359",32,204,21,7
1967,retuerta_del_bullaque,ciudad_real,"644,960",1,1,1,3,129,1,0,1,0
1968,saceruela,ciudad_real,"209,228",8,2,2,2,65,7,1,1,1
1969,san_carlos_del_valle,ciudad_real,"479,822",109,3,2,4,48,4,1,0,0
1970,san_lorenzo_de_calatrava,ciudad_real,"150,233",52,2,2,2,91,2,1,2,0
1971,santa_cruz_de_los_canamos,ciudad_real,"196,870",99,2,3,4,41,2,0,2,0
1972,santa_cruz_de_mudela,ciudad_real,"1,861,265",363,49,5,15,330,14,5,5,1
1973,socuellamos,ciudad_real,"3,668,300","1,530",341,10,21,814,18,106,8,3
1974,solana,ciudad_real,"3,747,598",887,190,15,27,"1,403",33,20,11,10
1975,solana_del_pino,ciudad_real,"165,242",59,2,1,2,65,4,1,3,0
1976,terrinches,ciudad_real,"282,028",23,5,2,5,214,5,0,2,0
1977,tomelloso,ciudad_real,"7,542,415","6,973",819,38,51,"2,032",37,149,10,5
1978,torralba_de_calatrava,ciudad_real,"1,902,369",138,22,5,4,432,13,5,4,1
1979,torre_de_juan_abad,ciudad_real,"731,960",34,5,2,2,222,7,4,2,1
1980,torrenueva,ciudad_real,"585,483",172,28,2,5,104,2,4,5,1
1981,valdemanco_del_esteras,ciudad_real,"136,564",46,1,0,0,66,1,2,1,0
1982,valdepenas,ciudad_real,"14,057,401","7,036",827,28,33,"1,744",45,88,20,3
1983,valenzuela_de_calatrava,ciudad_real,"318,007",25,2,2,2,155,3,2,3,0
1984,villahermosa,ciudad_real,"1,180,648",212,12,2,3,173,6,2,6,1
1985,villamanrique,ciudad_real,"417,439",64,9,4,5,154,2,3,1,2
1986,villamayor_de_calatrava,ciudad_real,"808,785",17,2,1,0,117,4,3,1,0
1987,villanueva_de_la_fuente,ciudad_real,"1,348,503",92,18,7,9,391,2,5,1,1
1988,villanueva_de_los_infantes,ciudad_real,"1,389,421",423,99,7,12,293,13,8,16,2
1989,villanueva_de_san_carlos,ciudad_real,"218,278",24,1,2,1,91,2,4,3,0
1990,villar_del_pozo,ciudad_real,"48,669",3,0,1,1,22,0,0,1,0
1991,villarrubia_de_los_ojos,ciudad_real,"2,288,958",612,176,8,12,"1,049",29,6,4,2
1992,villarta_de_san_juan,ciudad_real,"1,223,517",137,36,2,4,251,6,4,3,4
1993,viso_del_marques,ciudad_real,"946,037",93,31,8,9,378,11,3,5,1
1994,robledo,ciudad_real,"689,831",26,3,2,1,226,3,4,0,0
1995,ruidera,ciudad_real,"759,162",115,16,2,10,69,4,0,1,0
1996,arenales_de_san_gregorio,ciudad_real,"456,737",17,1,1,3,78,4,1,0,1
1997,llanos_del_caudillo,ciudad_real,"410,710",1,1,1,3,23,2,1,2,1
1998,adamuz,cordoba,"826,951",245,59,7,7,153,31,13,5,4
1999,aguilar_de_la_frontera,cordoba,"2,563,253","2,949",309,13,7,"1,128",22,11,8,3
2000,alcaracejos,cordoba,"676,152",53,26,4,9,131,17,1,4,1
2001,almedinilla,cordoba,"461,865",137,24,10,4,146,29,2,5,0
2002,almodovar_del_rio,cordoba,"1,450,729",516,98,10,6,55,7,7,4,0
2003,anora,cordoba,"667,722",33,21,4,1,143,12,6,4,0
2004,baena,cordoba,"4,101,654","3,271",580,26,17,"1,082",28,56,15,3
2005,belalcazar,cordoba,"784,421",135,44,3,2,212,21,2,7,2
2006,belmez,cordoba,"1,122,036",127,32,5,4,172,8,7,9,0
2007,benameji,cordoba,"980,756",353,102,10,4,483,7,5,4,0
2008,blazquez,cordoba,"219,826",32,8,2,3,98,2,2,3,0
2009,bujalance,cordoba,"1,187,707",816,116,13,8,486,5,10,7,3
2010,cabra,cordoba,"3,644,453","4,020",591,22,9,853,76,37,17,5
2011,canete_de_las_torres,cordoba,"576,477",215,43,9,5,243,7,2,3,2
2012,carcabuey,cordoba,"425,550",241,25,1,4,190,21,2,6,0
2013,cardena,cordoba,"492,196",88,19,8,3,114,5,4,5,1
2014,carlota,cordoba,"6,429,319","1,789",330,24,19,699,91,57,10,5
2015,carpio,cordoba,"1,457,796",471,78,6,12,180,7,12,3,1
2016,castro_del_rio,cordoba,"1,062,376",841,117,17,9,628,20,12,4,3
2017,conquista,cordoba,"174,838",19,2,1,1,47,3,0,2,0
2018,cordoba,cordoba,"59,677,727","67,251","15,499",426,482,"4,939",239,"2,868",131,11
2019,dona_mencia,cordoba,"631,087",556,96,4,2,190,15,10,3,1
2020,dos_torres,cordoba,"653,186",90,32,5,7,203,9,9,7,0
2021,encinas_reales,cordoba,"717,131",168,31,2,3,247,10,5,3,3
2022,espejo,cordoba,"453,797",234,61,3,5,162,11,9,2,1
2023,espiel,cordoba,"1,105,353",157,25,4,4,112,4,8,3,0
2024,fernan_nunez,cordoba,"1,743,572","1,825",301,15,5,619,20,9,6,4
2025,fuente_la_lancha,cordoba,"75,373",25,3,1,0,16,1,0,1,0
2026,fuente_obejuna,cordoba,"1,666,169",276,60,27,9,720,28,5,22,0
2027,fuente_palmera,cordoba,"1,434,252","1,545",329,12,14,245,24,51,8,1
2028,fuente_tojar,cordoba,"150,160",25,1,2,2,85,5,3,1,0
2029,granjuela,cordoba,"119,574",10,3,0,1,37,3,3,1,0
2030,guadalcazar,cordoba,"800,705",138,15,1,1,32,6,3,2,0
2031,guijo,cordoba,"149,396",24,1,0,1,62,1,0,1,1
2032,hinojosa_del_duque,cordoba,"1,542,197",514,207,8,7,797,35,14,6,1
2033,hornachuelos,cordoba,"3,005,549",81,36,11,9,240,38,7,10,1
2034,iznajar,cordoba,"1,268,953",411,53,19,3,351,22,7,12,3
2035,lucena,cordoba,"10,407,306","10,621","1,421",32,27,"2,126",84,292,21,3
2036,luque,cordoba,"980,503",368,48,7,41,330,14,8,6,1
2037,montalban_de_cordoba,cordoba,"1,025,307",586,75,5,4,403,15,13,2,3
2038,montemayor,cordoba,"855,030",387,49,3,8,258,21,6,4,1
2039,montilla,cordoba,"5,069,163","5,732",779,27,10,"1,006",91,76,14,4
2040,montoro,cordoba,"1,826,336","1,563",205,13,12,448,43,20,16,6
2041,monturque,cordoba,"672,108",214,20,6,2,215,4,3,2,0
2042,moriles,cordoba,"721,074",310,78,2,4,208,5,5,1,0
2043,nueva_carteya,cordoba,"977,605",317,77,8,7,389,20,8,2,1
2044,obejo,cordoba,"375,550",64,12,4,3,29,10,2,1,0
2045,palenciana,cordoba,"515,518",39,7,1,3,97,3,2,2,0
2046,palma_del_rio,cordoba,"3,211,031","2,654",742,32,33,520,20,75,11,4
2047,pedro_abad,cordoba,"631,699",263,51,5,4,110,5,6,5,0
2048,pedroche,cordoba,"430,430",74,9,1,5,89,11,1,4,0
2049,penarroya_pueblonuevo,cordoba,"2,498,509",778,173,17,30,468,16,23,12,4
2050,posadas,cordoba,"1,060,191",608,180,9,10,277,9,19,6,3
2051,pozoblanco,cordoba,"3,267,078","4,401",787,17,28,925,46,97,11,3
2052,priego_de_cordoba,cordoba,"3,981,849","3,635",728,38,23,"1,258",87,47,37,2
2053,puente_genil,cordoba,"5,640,647","5,961",919,23,18,"1,288",96,80,40,3
2054,rambla,cordoba,"1,828,172","1,417",228,10,5,657,14,18,7,3
2055,rute,cordoba,"2,348,045","1,595",275,17,11,819,51,17,13,0
2056,san_sebastian_de_los_ballesteros,cordoba,"210,991",82,2,1,1,39,5,3,2,0
2057,santaella,cordoba,"870,311",257,56,13,6,226,25,4,7,1
2058,santa_eufemia,cordoba,"264,264",59,4,2,1,141,4,1,3,1
2059,torrecampo,cordoba,"397,180",53,11,3,2,86,5,3,3,0
2060,valenzuela,cordoba,"231,255",56,4,4,1,145,8,2,3,0
2061,valsequillo,cordoba,"154,768",11,6,2,1,80,1,3,1,0
2062,victoria,cordoba,"530,046",125,25,4,3,140,7,0,1,0
2063,villa_del_rio,cordoba,"1,390,524",812,157,7,12,361,6,13,3,1
2064,villafranca_de_cordoba,cordoba,"917,071",905,76,6,5,194,8,9,6,2
2065,villaharta,cordoba,"256,373",26,1,3,3,47,11,3,1,0
2066,villanueva_de_cordoba,cordoba,"1,565,523",610,209,15,13,529,8,22,2,3
2067,villanueva_del_duque,cordoba,"438,921",51,13,5,5,163,10,3,2,1
2068,villanueva_del_rey,cordoba,"331,450",163,12,3,2,95,3,3,2,2
2069,villaralto,cordoba,"327,056",119,23,3,1,144,8,5,3,1
2070,villaviciosa_de_cordoba,cordoba,"758,211",172,46,6,5,498,39,4,3,0
2071,viso,cordoba,"860,683",225,42,5,6,266,14,11,6,1
2072,zuheros,cordoba,"169,852",32,5,2,4,46,2,0,2,0
2073,fuente_carreteros,cordoba,"221,543",50,10,3,4,30,1,0,1,0
2074,la_guijarrosa,cordoba,"262,484",18,4,2,2,27,10,1,1,0
2075,abegondo,coruna,"6,166,975",419,41,5,7,127,89,4,34,5
2076,ames,coruna,"15,315,283","5,015","1,247",21,17,537,86,265,29,14
2077,aranga,coruna,"2,746,175",46,2,6,4,98,4,0,7,2
2078,ares,coruna,"2,658,565",697,167,3,11,198,11,49,8,0
2079,arteixo,coruna,"8,949,603","3,326","1,110",34,25,684,26,133,26,2
2080,arzua,coruna,"7,876,380",658,190,9,57,432,10,26,33,3
2081,bana,coruna,"8,505,083",163,18,5,5,230,13,2,20,11
2082,bergondo,coruna,"6,803,593",126,43,8,15,419,23,109,12,0
2083,betanzos,coruna,"2,783,785","1,728",737,17,9,183,12,73,9,4
2084,boimorto,coruna,"4,480,448",28,12,9,3,117,3,1,12,0
2085,boiro,coruna,"9,816,124","4,623",746,13,27,776,11,20,13,1
2086,boqueixon,coruna,"1,512,765",300,46,18,4,358,34,11,19,0
2087,brion,coruna,"10,046,617","1,123",85,11,6,342,35,4,15,4
2088,cabana_de_bergantinos,coruna,"4,295,295",233,26,6,25,72,7,1,8,0
2089,cabanas,coruna,"3,447,794",195,33,4,9,81,6,7,11,0
2090,camarinas,coruna,"2,057,321",610,156,7,38,481,17,10,13,1
2091,cambre,coruna,"8,254,467","1,407",771,29,15,397,39,143,17,1
2092,capela,coruna,"2,983,391",63,8,6,6,139,5,0,5,0
2093,carballo,coruna,"13,542,613","6,109","1,336",41,31,936,30,281,34,1
2094,carnota,coruna,"3,858,028",782,57,8,15,106,8,4,8,0
2095,carral,coruna,"2,776,115","1,370",185,12,8,174,41,19,15,2
2096,cedeira,coruna,"4,463,675","1,238",277,9,24,290,14,33,15,5
2097,cee,coruna,"6,957,143","1,479",402,12,13,775,11,17,19,0
2098,cerceda,coruna,"4,386,468",391,65,8,2,221,30,6,9,2
2099,cerdido,coruna,"2,030,392",24,1,2,3,58,1,1,2,0
2100,cesuras,coruna,"3,527,153",64,0,6,1,67,2,0,15,0
2101,coiros,coruna,"4,332,520",103,4,5,4,126,9,1,12,2
2102,corcubion,coruna,"348,363",439,37,5,11,48,4,7,6,0
2103,coristanco,coruna,"4,534,205",286,25,15,7,274,19,2,28,1
2104,coruna,coruna,"15,028,022","17,482","11,400",454,372,"5,936",103,"4,845",82,7
2105,culleredo,coruna,"8,190,242","2,854",793,33,21,431,131,163,18,1
2106,curtis,coruna,"8,200,556",429,169,10,8,219,4,15,12,3
2107,dodro,coruna,"2,359,897",267,9,2,2,124,5,1,5,0
2108,dumbria,coruna,"408,513",342,2,6,12,186,11,4,21,0
2109,fene,coruna,"6,164,267","1,321",413,19,13,333,23,74,13,4
2110,ferrol,coruna,"11,867,756","5,999","3,717",98,78,753,84,516,54,6
2111,fisterra,coruna,"1,140,004",861,96,9,40,182,8,4,10,3
2112,frades,coruna,"241,399",66,17,13,1,57,13,1,30,5
2113,irixoa,coruna,"2,098,110",54,4,4,2,151,1,0,8,0
2114,laxe,coruna,"1,607,738",574,95,5,7,173,11,6,11,4
2115,laracha,coruna,"12,036,877","1,164",404,20,11,311,28,23,22,8
2116,lousame,coruna,"6,150,417",134,1,9,3,558,9,0,10,0
2117,malpica_de_bergantinos,coruna,"5,681,420",957,154,11,17,484,14,11,14,0
2118,manon,coruna,"1,249,732",151,10,7,5,136,7,1,10,1
2119,mazaricos,coruna,"375,138",194,38,11,7,200,6,2,27,0
2120,melide,coruna,"1,989,868",998,453,22,26,369,22,30,46,3
2121,mesia,coruna,"4,631,464",29,4,5,2,280,10,0,23,2
2122,mino,coruna,"7,087,495",961,182,10,26,111,29,27,14,2
2123,moeche,coruna,"2,375,792",62,7,0,0,121,3,5,7,0
2124,monfero,coruna,"258,496",118,6,14,6,81,9,3,25,2
2125,mugardos,coruna,"3,837,489",479,93,10,11,456,17,7,9,1
2126,muxia,coruna,"2,721,071",711,67,9,27,322,4,5,9,0
2127,muros,coruna,"3,430,311","1,492",182,14,26,329,7,17,10,3
2128,naron,coruna,"12,847,313","4,212","1,506",38,49,663,28,174,13,3
2129,neda,coruna,"1,594,434",691,83,11,2,80,26,14,9,1
2130,negreira,coruna,"7,019,158","1,220",325,17,12,465,16,9,27,5
2131,noia,coruna,"3,038,108","1,891",691,14,16,331,7,31,19,1
2132,oleiros,coruna,"14,215,835","2,492",793,32,122,431,116,85,14,2
2133,ordes,coruna,"8,435,828","1,173",507,16,19,574,11,58,17,6
