,PC1_e,PC2_e,cities_es/province,PC1_c,PC2_c,PC3_c,PC4_c,PC1_d,PC2_d,PC1_g,PC2_g,PC3_g,PC1_r,PC2_r,PC3_r,PC1_tr,PC2_tr,PC1_t,PC2_t,cluster,latitud,longitud,provincia_original,municipio_original
0,-0.16076498351750393,-0.3371486448714455,alegria_dulantzi/araba,0.6470784949357109,-1.4860677135623084,0.7272901901274309,0.23240428963333845,24.93075236787239,-0.6918657450648463,-0.12841628993625587,-0.3380915700433427,-0.5068051330833325,-0.4038479547515717,-0.6168507316153451,-0.7572266869413286,-1.7326426306791862,-0.7965432931638001,-0.3450043494920497,-0.09993377490810908,6,42.84149,-2.513507,Araba/Álava,Alegría-Dulantzi
1,-0.16076498351751614,-0.3371486448715447,amurrio/araba,0.6470784949356713,-1.4860677135620783,0.7272901901276559,0.2324042896330624,0.6086827318586862,-0.02603696653287153,0.4760175233861494,-0.5062847486676859,-0.5831553015327461,-0.3888766506045216,-0.5497360848848988,-0.7328981387189623,-1.5617826269488984,-1.5475143894406649,1.3191645990836334,-1.7523178517705424,0,43.05265,-3.0010220000000003,Araba/Álava,Amurrio
2,-0.16076498351751614,-0.3371486448715343,aramaio/araba,0.6470784949356709,-1.4860677135621796,0.7272901901276803,0.23240428963328855,-0.9764188916091612,0.05300901376800813,0.7087338621539887,-0.4168394617619932,-1.0941879971141408,-0.4342975157401295,-0.6770471696644441,-0.7233990861256903,-2.0408726916490454,1.7402332991532858,1.4264615489228902,-0.0874768892694984,0,43.054,-2.5660000000000003,Araba/Álava,Aramaio
3,-0.16076498351751614,-0.3371486448715343,artziniega/araba,0.6470784949356709,-1.4860677135622034,0.7272901901275837,0.2324042896332776,-0.6459265839440127,0.02692640934968837,0.6439436408256488,-0.4775357325699157,-0.7451110028485393,-0.4124959866061045,-0.6200766875119011,-0.7324259487847486,-2.0408726916490454,1.7402332991532856,0.6602430055913996,0.043856051574346716,0,43.1222,-3.128209,Araba/Álava,Artziniega
4,-0.16076498351751614,-0.3371486448715343,arminon/araba,0.6470784949356709,-1.4860677135621836,0.7272901901276233,0.2324042896332526,-0.6633761848636364,0.048319701349461536,-0.17212108253465394,-0.3455372535428989,-0.28166509665630346,-0.7971643435320981,-0.5641529214168406,-1.0024236766232841,-2.0408726916490454,1.7402332991532856,-0.4772412930823284,0.16034402471671946,0,42.72305,-2.872574,Araba/Álava,Armiñón
5,-0.16076498351751614,-0.3371486448715343,arratzua_ubarrundia/araba,0.6470784949356709,-1.486067713562175,0.727290190127645,0.232404289633254,24.859833896136408,-0.6245416957614094,0.04628471760297193,-0.32888538423132285,-0.6329697915560671,-0.4301786939844997,-0.6775177080759544,-0.7373169668741522,-2.0408726916490454,1.7402332991532856,0.8036429412846572,1.8284044305790468,6,42.89028,-2.639167,Araba/Álava,Arratzua-Ubarrundia
6,-0.16076498351751614,-0.3371486448715343,asparrena/araba,0.6470784949356709,-1.4860677135621845,0.7272901901276275,0.23240428963325446,-0.7783885143843359,0.06723158416107508,-0.2453040010724617,-0.3339704224544444,-0.5116146893354814,-0.4489037575962274,-0.6753785376505208,-0.6740432401099885,-2.0408726916490454,1.7402332991532856,2.4579033544443285,-0.4655443157271728,0,42.89567,-2.321,Araba/Álava,Asparrena
7,-0.16076498351751614,-0.3371486448715343,ayala/araba,0.6470784949356709,-1.4860677135621814,0.7272901901276324,0.2324042896332537,-0.8290134512255983,0.03619549326656568,0.39365394646149454,-0.41524694158423625,-0.6654420340756482,-0.3318421397208669,-0.6949810388424391,-0.5665657502002603,-1.5617826269488984,-1.5475143894406738,1.4977387318548183,-0.8869235068409439,0,43.08333,-3.063056,-1,-1
8,-0.16076498351751614,-0.3371486448715343,banos_de_ebro/araba,0.6470784949356709,-1.4860677135621816,0.7272901901276321,0.23240428963325385,-1.0237404793548803,0.09255309662941254,0.4156101707943694,-0.3440823010754381,-0.7639124518528679,-0.4312224094626861,-0.645092938986723,-0.6985420504835704,-2.0408726916490454,1.7402332991532856,1.1519984499789566,-1.941520935451156,0,42.53029,-2.679144,-1,-1
9,-0.16076498351751614,-0.3371486448715343,barrundia/araba,0.6470784949356709,-1.4860677135621816,0.7272901901276317,0.2324042896332539,-0.9969546484308408,0.027532475109794296,0.05690764451662346,-0.3303342401956597,-0.7038332012681896,-0.4530918032469097,-0.6749000910304148,-0.6598914453993344,-2.0408726916490454,1.7402332991532856,-0.04628924843158832,-0.2886689101287828,0,42.91669,-2.491817,Araba/Álava,Barrundia
10,-0.16076498351751614,-0.3371486448715343,berantevilla/araba,0.6470784949356709,-1.4860677135621816,0.7272901901276319,0.23240428963325385,-0.8667754465221271,0.04734695297531561,-0.10875005243972424,-0.3319504020328609,-0.3473604762563737,-0.3357289899232523,-0.6580175512296137,-0.5137618542477047,-2.0408726916490454,1.7402332991532856,-0.21276740590178084,-0.3602115745361164,0,42.68245,-2.860401,Araba/Álava,Berantevilla
11,-0.16076498351751614,-0.3371486448715343,bernedo/araba,0.6470784949356709,-1.4860677135621816,0.7272901901276317,0.2324042896332539,25.032278173564862,-0.5429743071466484,0.05071657545971429,-0.1403846816367779,-0.9335614742372508,-0.4546250410175066,-0.6382054825098807,-0.6150406241602039,-2.0408726916490454,1.7402332991532856,2.0098986396225405,-1.3870955436184125,6,42.62669,-2.497532,Araba/Álava,Bernedo
