ccaa_prov,municipio,total_bib
Comunidad Valenciana - Valencia/València,Mislata,3
Comunidad Valenciana - Valencia/València,Mogente/Moixent,1
Comunidad Valenciana - Valencia/València,Moncada,1
Comunidad Valenciana - Valencia/València,Montaverner,1
Comunidad Valenciana - Valencia/València,Montroi/Montroy,1
Comunidad Valenciana - Valencia/València,Montserrat,1
Comunidad Valenciana - Valencia/València,Museros,1
Comunidad Valenciana - Valencia/València,Náquera,1
Comunidad Valenciana - Valencia/València,Oliva,2
Comunidad Valenciana - Valencia/València,Ontinyent,3
Comunidad Valenciana - Valencia/València,Paiporta,1
Comunidad Valenciana - Valencia/València,Palma de Gandía,1
Aragón - Teruel,Aguaviva,1
Aragón - Teruel,Albalate del Arzobispo,1
Aragón - Teruel,Albarracín,1
Aragón - Teruel,Alcalá de la Selva,1
Aragón - Teruel,Alcañiz,3
Aragón - Teruel,Alcorisa,1
Aragón - Teruel,Aliaga,1
Aragón - Teruel,Alloza,1
Aragón - Teruel,Andorra,1
Aragón - Teruel,Ariño,1
Aragón - Teruel,Báguena,1
Aragón - Teruel,Beceite,1
Aragón - Teruel,Bronchales,1
Aragón - Teruel,Calaceite,1
Aragón - Teruel,Calamocha,1
Comunidad Valenciana - Valencia/València,Palmera,1
Comunidad Valenciana - Valencia/València,Paterna,4
Comunidad Valenciana - Valencia/València,Pedralba,1
Comunidad Valenciana - Valencia/València,Picanya,1
Comunidad Valenciana - Valencia/València,Picassent,1
Comunidad Valenciana - Valencia/València,Piles,1
Comunidad Valenciana - Valencia/València,Polinyà de Xúquer,1
Comunidad Valenciana - Valencia/València,Potries,1
Comunidad Valenciana - Valencia/València,Puçol,1
Comunidad Valenciana - Valencia/València,Quart de les Valls,1
Comunidad Valenciana - Valencia/València,Quart de Poblet,1
Comunidad Valenciana - Valencia/València,Quatretonda,1
Comunidad Valenciana - Valencia/València,Rafelbunyol,1
Comunidad Valenciana - Valencia/València,Rafelcofer,1
Comunidad Valenciana - Valencia/València,Rafelguaraf,1
Comunidad Valenciana - Valencia/València,Requena,1
Comunidad Valenciana - Valencia/València,Riba-roja de Túria,2
Comunidad Valenciana - Valencia/València,Rocafort,1
Aragón - Teruel,Calanda,1
Aragón - Teruel,Castellote,1
Aragón - Teruel,Castelserás,1
Aragón - Teruel,Cedrillas,1
Aragón - Teruel,Cella,1
Aragón - Teruel,Cretas,1
Aragón - Teruel,Escucha,1
Aragón - Teruel,Gea de Albarracín,1
Aragón - Teruel,Híjar,1
Aragón - Teruel,La Codoñera,1
Aragón - Teruel,La Puebla de Híjar,1
Aragón - Teruel,Manzanera,1
Aragón - Teruel,Mas de las Matas,1
Aragón - Teruel,Monreal del Campo,1
Aragón - Teruel,Monroyo,1
Aragón - Teruel,Montalbán,1
Aragón - Teruel,Mora de Rubielos,1
Aragón - Teruel,Mosqueruela,1
Comunidad Valenciana - Valencia/València,Sagunto/Sagunt,2
Comunidad Valenciana - Valencia/València,Salem,1
Comunidad Valenciana - Valencia/València,Sedaví,1
Comunidad Valenciana - Valencia/València,Senyera,1
Comunidad Valenciana - Valencia/València,Serra,1
Comunidad Valenciana - Valencia/València,Siete Aguas,1
Comunidad Valenciana - Valencia/València,Silla,1
Comunidad Valenciana - Valencia/València,Simat de la Valldigna,1
Comunidad Valenciana - Valencia/València,Sollana,1
Comunidad Valenciana - Valencia/València,Sueca,3
Comunidad Valenciana - Valencia/València,Tavernes Blanques,1
Comunidad Valenciana - Valencia/València,Tavernes de la Valldigna,1
Comunidad Valenciana - Valencia/València,Titaguas,1
Comunidad Valenciana - Valencia/València,Torrent,2
Comunidad Valenciana - Valencia/València,Tous,1
Comunidad Valenciana - Valencia/València,Tuéjar,1
Comunidad Valenciana - Valencia/València,Turís,1
Comunidad Valenciana - Valencia/València,Utiel,1
Comunidad Valenciana - Valencia/València,València,31
Aragón - Teruel,Muniesa,1
Aragón - Teruel,Ojos Negros,1
Aragón - Teruel,Orihuela del Tremedal,1
Aragón - Teruel,Peñarroya de Tastavins,1
Aragón - Teruel,Rubielos de Mora,1
Aragón - Teruel,Samper de Calanda,1
Aragón - Teruel,Santa Eulalia,1
Aragón - Teruel,Sarrión,1
Aragón - Teruel,Teruel,1
Aragón - Teruel,Torre del Compte,1
Aragón - Teruel,Torrijo del Campo,1
Aragón - Teruel,Urrea de Gaén,1
Aragón - Teruel,Utrillas,1
Aragón - Teruel,Valdealgorfa,1
Aragón - Teruel,Valdeltormo,1
Aragón - Teruel,Valderrobres,1
Aragón - Teruel,Valjunquera,1
Aragón - Teruel,Villarquemado,1
Comunidad Valenciana - Valencia/València,Vallada,1
Comunidad Valenciana - Valencia/València,Vilallonga/Villalonga,1
Comunidad Valenciana - Valencia/València,Vilamarxant,1
Comunidad Valenciana - Valencia/València,Villanueva de Castellón,1
Comunidad Valenciana - Valencia/València,Vinalesa,1
Comunidad Valenciana - Valencia/València,Xàtiva,1
Comunidad Valenciana - Valencia/València,Xeraco,1
Comunidad Valenciana - Valencia/València,Xirivella,3
Comunidad Valenciana - Valencia/València,Yátova,1
Cataluña - Tarragona,Alcanar,2
Cataluña - Tarragona,Alcover,1
Cataluña - Tarragona,Alforja,1
Cataluña - Tarragona,Altafulla,1
Cataluña - Tarragona,Amposta,1
Cataluña - Tarragona,Ascó,1
Cataluña - Tarragona,Banyeres del Penedès,1
Cataluña - Tarragona,Benifallet,1
Cataluña - Tarragona,Benissanet,1
Cataluña - Tarragona,Calafell,2
Cataluña - Tarragona,Camarles,1
Cataluña - Tarragona,Cambrils,1
Cataluña - Tarragona,Constantí,1
Cataluña - Tarragona,Corbera d'Ebre,1
Cataluña - Tarragona,Creixell,1
Cataluña - Tarragona,Cunit,1
Cataluña - Tarragona,Deltebre,1
Cataluña - Tarragona,El Catllar,1
Cataluña - Tarragona,El Perelló,1
Cataluña - Tarragona,El Vendrell,1
Cataluña - Tarragona,Els Pallaresos,1
Cataluña - Tarragona,Falset,1
Cataluña - Tarragona,Flix,1
Cataluña - Tarragona,Gandesa,1
Cataluña - Tarragona,Ginestar,1
Cataluña - Tarragona,L' Ametlla de Mar,1
Cataluña - Tarragona,L' Ampolla,1
Cataluña - Tarragona,L' Arboç,1
Cataluña - Tarragona,L' Espluga de Francolí,1
Cataluña - Tarragona,La Bisbal del Penedès,1
Cataluña - Tarragona,La Canonja,1
Cataluña - Tarragona,La Fatarella,1
Cataluña - Tarragona,La Nou de Gaià,1
Cataluña - Tarragona,La Selva del Camp,1
Cataluña - Tarragona,La Sénia,1
Cataluña - Tarragona,Llorenç del Penedès,1
Cataluña - Tarragona,Masdenverge,1
Cataluña - Tarragona,Montblanc,1
Cataluña - Tarragona,Mont-roig del Camp,2
Cataluña - Tarragona,Móra d'Ebre,1
Cataluña - Tarragona,Móra la Nova,1
Cataluña - Tarragona,Reus,2
Cataluña - Tarragona,Riba-roja d'Ebre,1
Cataluña - Tarragona,Riudoms,1
Cataluña - Tarragona,Roda de Berà,1
Cataluña - Tarragona,Roquetes,1
Cataluña - Tarragona,Salou,1
Cataluña - Tarragona,Sant Carles de la Ràpita,1
Cataluña - Tarragona,Sant Jaume d'Enveja,1
Cataluña - Tarragona,Santa Bàrbara,1
Cataluña - Tarragona,Santa Coloma de Queralt,1
Cataluña - Tarragona,Sarral,1
Cataluña - Tarragona,Tarragona,2
Cataluña - Tarragona,Tivissa,1
Cataluña - Tarragona,Torredembarra,2
Cataluña - Tarragona,Tortosa,3
Cataluña - Tarragona,Ulldecona,1
Cataluña - Tarragona,Valls,1
Cataluña - Tarragona,Vandellòs i l'Hospitalet de l'Infant,2
Cataluña - Tarragona,Vila-seca,2
Melilla - Melilla,Melilla,1
Ceuta - Ceuta,Ceuta,1
Castilla y León - Zamora,Alcañices,1
Castilla y León - Zamora,Almeida de Sayago,1
Castilla y León - Zamora,Benavente,1
Castilla y León - Zamora,Bermillo de Sayago,1
Castilla y León - Zamora,Coreses,1
Castilla y León - Zamora,Fermoselle,1
Castilla y León - Zamora,Fuentes de Ropel,1
Castilla y León - Zamora,Fuentesaúco,1
Castilla y León - Zamora,Manganeses de la Lampreana,1
Canarias - Santa Cruz de Tenerife,Adeje,5
Canarias - Santa Cruz de Tenerife,Arafo,1
Canarias - Santa Cruz de Tenerife,Arona,7
Canarias - Santa Cruz de Tenerife,Barlovento,1
Canarias - Santa Cruz de Tenerife,Breña Alta,1
Canarias - Santa Cruz de Tenerife,Candelaria,8
Canarias - Santa Cruz de Tenerife,El Paso,1
Castilla y León - Zamora,Morales de Toro,1
Castilla y León - Zamora,Morales del Vino,1
Castilla y León - Zamora,Puebla de Sanabria,1
Castilla y León - Zamora,Rionegro del Puente,1
Castilla y León - Zamora,San Cristóbal de Entreviñas,1
Castilla y León - Zamora,Santa Cristina de la Polvorosa,1
Castilla y León - Zamora,Santibáñez de Vidriales,1
Castilla y León - Zamora,Tábara,1
Castilla y León - Zamora,Toro,1
Castilla y León - Zamora,Villalpando,1
Castilla y León - Zamora,Villamayor de Campos,1
Castilla y León - Zamora,Villanueva del Campo,1
Castilla y León - Zamora,Villaralbo,1
Castilla y León - Zamora,Zamora,7
Canarias - Santa Cruz de Tenerife,El Rosario,2
Canarias - Santa Cruz de Tenerife,El Sauzal,1
Canarias - Santa Cruz de Tenerife,El Tanque,1
Canarias - Santa Cruz de Tenerife,Fasnia,2
Canarias - Santa Cruz de Tenerife,Fuencaliente de la Palma,1
Canarias - Santa Cruz de Tenerife,Garachico,2
Canarias - Santa Cruz de Tenerife,Granadilla de Abona,2
Canarias - Santa Cruz de Tenerife,Guía de Isora,1
Canarias - Santa Cruz de Tenerife,Güímar,1
Canarias - Santa Cruz de Tenerife,Icod de los Vinos,1
Canarias - Santa Cruz de Tenerife,La Guancha,1
Canarias - Santa Cruz de Tenerife,La Matanza de Acentejo,1
Canarias - Santa Cruz de Tenerife,La Orotava,1
Canarias - Santa Cruz de Tenerife,La Victoria de Acentejo,1
Canarias - Santa Cruz de Tenerife,Los Llanos de Aridane,1
Canarias - Santa Cruz de Tenerife,Los Realejos,1
Canarias - Santa Cruz de Tenerife,Los Silos,1
Canarias - Santa Cruz de Tenerife,Puerto de la Cruz,1
Canarias - Santa Cruz de Tenerife,Puntagorda,1
Canarias - Santa Cruz de Tenerife,Puntallana,1
Canarias - Santa Cruz de Tenerife,San Andrés y Sauces,1
Canarias - Santa Cruz de Tenerife,San Cristóbal de La Laguna,1
Canarias - Santa Cruz de Tenerife,San Miguel de Abona,1
Canarias - Santa Cruz de Tenerife,San Sebastián de la Gomera,1
Canarias - Santa Cruz de Tenerife,Santa Cruz de la Palma,2
Canarias - Santa Cruz de Tenerife,Santa Cruz de Tenerife,5
Canarias - Santa Cruz de Tenerife,Santa Úrsula,2
Canarias - Santa Cruz de Tenerife,Santiago del Teide,3
Canarias - Santa Cruz de Tenerife,Tacoronte,1
Canarias - Santa Cruz de Tenerife,Tazacorte,1
Canarias - Santa Cruz de Tenerife,Tegueste,1
Canarias - Santa Cruz de Tenerife,Tijarafe,1
Canarias - Santa Cruz de Tenerife,Vallehermoso,1
Canarias - Santa Cruz de Tenerife,Valverde,1
Canarias - Santa Cruz de Tenerife,Vilaflor de Chasna,1
Canarias - Santa Cruz de Tenerife,Villa de Mazo,1
Cantabria - Cantabria,Alfoz de Lloredo,1
Cantabria - Cantabria,Ampuero,1
Cantabria - Cantabria,Argoños,1
Cantabria - Cantabria,Bárcena de Cicero,1
Cantabria - Cantabria,Bárcena de Pie de Concha,1
Cantabria - Cantabria,Bareyo,1
Cantabria - Cantabria,Cabezón de la Sal,1
Cantabria - Cantabria,Camaleño,1
Cantabria - Cantabria,Camargo,1
Cantabria - Cantabria,Cartes,1
Cantabria - Cantabria,Castro-Urdiales,1
Cantabria - Cantabria,Colindres,1
Cantabria - Cantabria,Comillas,1
Cantabria - Cantabria,El Astillero,1
Cantabria - Cantabria,Entrambasaguas,1
Cantabria - Cantabria,Laredo,1
Cantabria - Cantabria,Liendo,1
Cantabria - Cantabria,Limpias,1
Cantabria - Cantabria,Los Corrales de Buelna,1
Cantabria - Cantabria,Mazcuerras,2
Cantabria - Cantabria,Medio Cudeyo,1
Cantabria - Cantabria,Meruelo,1
Cantabria - Cantabria,Noja,1
Cantabria - Cantabria,Piélagos,2
Cantabria - Cantabria,Polanco,1
Cantabria - Cantabria,Potes,1
Cantabria - Cantabria,Ramales de la Victoria,1
Cantabria - Cantabria,Reinosa,1
Cantabria - Cantabria,Ruente,1
Cantabria - Cantabria,Ruiloba,1
Cantabria - Cantabria,San Vicente de la Barquera,1
Cantabria - Cantabria,Santa Cruz de Bezana,2
Cantabria - Cantabria,Santa María de Cayón,2
Cantabria - Cantabria,Santander,7
Cantabria - Cantabria,Santillana del Mar,1
Cantabria - Cantabria,Santoña,1
Cantabria - Cantabria,Selaya,1
Cantabria - Cantabria,Suances,1
Cantabria - Cantabria,Torrelavega,2
Cantabria - Cantabria,Val de San Vicente,1
Cantabria - Cantabria,Valdáliga,1
Cantabria - Cantabria,Valdeolea,1
Cantabria - Cantabria,Valdeprado del Río,1
Cantabria - Cantabria,Villaescusa,1
País Vasco - Bizkaia,Abadiño,2
País Vasco - Bizkaia,Abanto y Ciérvana-Abanto Zierbena,2
País Vasco - Bizkaia,Ajangiz,1
País Vasco - Bizkaia,Alonsotegi,1
País Vasco - Bizkaia,Amorebieta-Etxano,1
País Vasco - Bizkaia,Arantzazu,1
País Vasco - Bizkaia,Arrieta,1
País Vasco - Bizkaia,Arrigorriaga,2
País Vasco - Bizkaia,Atxondo,1
País Vasco - Bizkaia,Aulesti,1
País Vasco - Bizkaia,Bakio,1
País Vasco - Bizkaia,Balmaseda,1
País Vasco - Bizkaia,Barakaldo,7
Cantabria - Cantabria,Voto,1
País Vasco - Bizkaia,Barrika,1
País Vasco - Bizkaia,Basauri,5
País Vasco - Bizkaia,Bedia,1
País Vasco - Bizkaia,Berango,1
País Vasco - Bizkaia,Bermeo,1
País Vasco - Bizkaia,Berriatua,1
País Vasco - Bizkaia,Berriz,1
País Vasco - Bizkaia,Bilbao,17
País Vasco - Bizkaia,Busturia,1
País Vasco - Bizkaia,Derio,1
País Vasco - Bizkaia,Durango,1
País Vasco - Bizkaia,Ea,1
País Vasco - Bizkaia,Elorrio,1
País Vasco - Bizkaia,Erandio,2
País Vasco - Bizkaia,Ermua,1
País Vasco - Bizkaia,Etxebarri,2
País Vasco - Bizkaia,Etxebarria,1
País Vasco - Bizkaia,Forua,1
País Vasco - Bizkaia,Fruiz,1
País Vasco - Bizkaia,Galdakao,3
País Vasco - Bizkaia,Gatika,1
País Vasco - Bizkaia,Gernika-Lumo,1
Andalucía - Sevilla,Aguadulce,1
Andalucía - Sevilla,Albaida del Aljarafe,1
Andalucía - Sevilla,Alcalá de Guadaíra,2
Andalucía - Sevilla,Alcalá del Río,1
Andalucía - Sevilla,Alcolea del Río,1
Andalucía - Sevilla,Algámitas,1
Andalucía - Sevilla,Almensilla,1
Andalucía - Sevilla,Arahal,1
Andalucía - Sevilla,Aznalcázar,1
Andalucía - Sevilla,Aznalcóllar,1
Andalucía - Sevilla,Badolatosa,1
Andalucía - Sevilla,Bollullos de la Mitación,1
País Vasco - Bizkaia,Getxo,3
País Vasco - Bizkaia,Gordexola,1
País Vasco - Bizkaia,Gorliz,1
País Vasco - Bizkaia,Güeñes,3
País Vasco - Bizkaia,Ibarrangelu,1
País Vasco - Bizkaia,Igorre,1
País Vasco - Bizkaia,Iurreta,1
País Vasco - Bizkaia,Izurtza,1
País Vasco - Bizkaia,Karrantza Harana/Valle de Carranza,1
País Vasco - Bizkaia,Kortezubi,1
País Vasco - Bizkaia,Larrabetzu,1
País Vasco - Bizkaia,Laukiz,1
País Vasco - Bizkaia,Leioa,1
País Vasco - Bizkaia,Lekeitio,1
País Vasco - Bizkaia,Lemoa,1
País Vasco - Bizkaia,Lemoiz,1
País Vasco - Bizkaia,Lezama,1
País Vasco - Bizkaia,Loiu,1
País Vasco - Bizkaia,Mallabia,1
País Vasco - Bizkaia,Mañaria,1
País Vasco - Bizkaia,Markina-Xemein,1
País Vasco - Bizkaia,Maruri-Jatabe,1
Andalucía - Sevilla,Bormujos,1
Andalucía - Sevilla,Brenes,1
Andalucía - Sevilla,Burguillos,1
Andalucía - Sevilla,Camas,1
Andalucía - Sevilla,Cañada Rosal,1
Andalucía - Sevilla,Cantillana,1
Andalucía - Sevilla,Carmona,2
Andalucía - Sevilla,Casariche,1
Andalucía - Sevilla,Castilblanco de los Arroyos,1
Andalucía - Sevilla,Castilleja de Guzmán,1
Andalucía - Sevilla,Castilleja de la Cuesta,1
Andalucía - Sevilla,Castilleja del Campo,1
Andalucía - Sevilla,Cazalla de la Sierra,1
Andalucía - Sevilla,Constantina,1
Andalucía - Sevilla,Coria del Río,1
Andalucía - Sevilla,Coripe,1
Andalucía - Sevilla,Dos Hermanas,2
Andalucía - Sevilla,Écija,1
Andalucía - Sevilla,El Castillo de las Guardas,1
Andalucía - Sevilla,El Coronil,1
Andalucía - Sevilla,El Cuervo de Sevilla,1
País Vasco - Bizkaia,Meñaka,1
País Vasco - Bizkaia,Mundaka,1
País Vasco - Bizkaia,Mungia,1
País Vasco - Bizkaia,Munitibar-Arbatzegi Gerrikaitz,1
País Vasco - Bizkaia,Muskiz,1
País Vasco - Bizkaia,Muxika,1
País Vasco - Bizkaia,Ondarroa,1
País Vasco - Bizkaia,Orozko,1
País Vasco - Bizkaia,Ortuella,1
País Vasco - Bizkaia,Otxandio,1
País Vasco - Bizkaia,Plentzia,1
País Vasco - Bizkaia,Portugalete,1
País Vasco - Bizkaia,Santurtzi,7
País Vasco - Bizkaia,Sestao,1
País Vasco - Bizkaia,Sondika,1
País Vasco - Bizkaia,Sopela,1
País Vasco - Bizkaia,Sopuerta,1
País Vasco - Bizkaia,Trucios-Turtzioz,1
País Vasco - Bizkaia,Ugao-Miraballes,1
País Vasco - Bizkaia,Urduliz,1
País Vasco - Bizkaia,Urduña/Orduña,1
Andalucía - Sevilla,El Madroño,1
Andalucía - Sevilla,El Pedroso,1
Andalucía - Sevilla,El Ronquillo,1
Andalucía - Sevilla,El Rubio,1
Andalucía - Sevilla,El Saucejo,1
Andalucía - Sevilla,El Viso del Alcor,1
Andalucía - Sevilla,Espartinas,1
Andalucía - Sevilla,Estepa,1
Andalucía - Sevilla,Fuentes de Andalucía,1
Andalucía - Sevilla,Gelves,1
Andalucía - Sevilla,Gerena,1
Andalucía - Sevilla,Gilena,1
Andalucía - Sevilla,Gines,1
Andalucía - Sevilla,Guadalcanal,1
Andalucía - Sevilla,Guillena,3
Andalucía - Sevilla,Herrera,1
Andalucía - Sevilla,Huévar del Aljarafe,1
Andalucía - Sevilla,Isla Mayor,1
Andalucía - Sevilla,La Algaba,1
Andalucía - Sevilla,La Campana,1
Andalucía - Sevilla,La Luisiana,1
País Vasco - Bizkaia,Valle de Trápaga-Trapagaran,1
País Vasco - Bizkaia,Zaldibar,1
País Vasco - Bizkaia,Zalla,2
País Vasco - Bizkaia,Zamudio,1
País Vasco - Bizkaia,Zaratamo,2
País Vasco - Bizkaia,Zierbena,1
Andalucía - Sevilla,La Puebla de Cazalla,1
Andalucía - Sevilla,La Puebla de los Infantes,1
Andalucía - Sevilla,La Puebla del Río,1
Andalucía - Sevilla,La Rinconada,3
Andalucía - Sevilla,La Roda de Andalucía,1
Andalucía - Sevilla,Lantejuela,1
Andalucía - Sevilla,Las Cabezas de San Juan,2
Andalucía - Sevilla,Las Navas de la Concepción,1
Andalucía - Sevilla,Lebrija,1
Andalucía - Sevilla,Lora de Estepa,1
Andalucía - Sevilla,Lora del Río,3
Andalucía - Sevilla,Los Corrales,1
Andalucía - Sevilla,Los Molares,1
Andalucía - Sevilla,Los Palacios y Villafranca,1
Andalucía - Sevilla,Mairena del Alcor,2
Andalucía - Sevilla,Mairena del Aljarafe,2
Andalucía - Sevilla,Marchena,1
Andalucía - Sevilla,Marinaleda,1
Andalucía - Sevilla,Martín de la Jara,1
Andalucía - Sevilla,Montellano,1
Andalucía - Sevilla,Morón de la Frontera,2
Andalucía - Sevilla,Olivares,1
Andalucía - Sevilla,Osuna,1
Andalucía - Sevilla,Palomares del Río,1
Andalucía - Sevilla,Paradas,1
Andalucía - Sevilla,Pedrera,1
Andalucía - Sevilla,Peñaflor,1
Andalucía - Sevilla,Pilas,1
Andalucía - Sevilla,Pruna,1
Andalucía - Sevilla,Salteras,1
Andalucía - Sevilla,San Juan de Aznalfarache,1
Andalucía - Sevilla,San Nicolás del Puerto,1
Andalucía - Sevilla,Sanlúcar la Mayor,1
Andalucía - Sevilla,Santiponce,1
Andalucía - Sevilla,Sevilla,16
Andalucía - Sevilla,Tocina,2
Andalucía - Sevilla,Tomares,1
Andalucía - Sevilla,Utrera,2
Andalucía - Sevilla,Valencina de la Concepción,1
Andalucía - Sevilla,Villamanrique de la Condesa,1
Andalucía - Sevilla,Villanueva de San Juan,1
Andalucía - Sevilla,Villanueva del Ariscal,1
Andalucía - Sevilla,Villanueva del Río y Minas,1
Andalucía - Sevilla,Villaverde del Río,1
Castilla y León - Segovia,Ayllón,1
Castilla y León - Segovia,Cantalejo,1
Castilla y León - Segovia,Cantimpalos,1
Castilla y León - Segovia,Carbonero el Mayor,1
Castilla y León - Segovia,Coca,1
Castilla y León - Segovia,Cuéllar,1
Castilla y León - Segovia,El Espinar,2
Castilla y León - Segovia,Fuentepelayo,1
Castilla y León - Segovia,Hontanares de Eresma,1
Castilla y León - Segovia,Mozoncillo,1
Castilla y León - Segovia,Nava de la Asunción,1
Castilla y León - Segovia,Navalmanzano,1
Castilla y León - Segovia,Navas de Oro,1
Castilla y León - Segovia,Palazuelos de Eresma,3
Castilla y León - Segovia,Riaza,1
Castilla y León - Segovia,Sacramenia,1
Castilla y León - Segovia,San Cristóbal de Segovia,1
Castilla y León - Segovia,San Ildefonso,1
Castilla y León - Valladolid,Alaejos,1
Castilla y León - Valladolid,Aldeamayor de San Martín,1
Castilla y León - Valladolid,Arroyo de la Encomienda,1
Castilla y León - Valladolid,Boecillo,1
Castilla y León - Valladolid,Cabezón de Pisuerga,1
Castilla y León - Valladolid,Campaspero,1
Castilla y León - Valladolid,Cigales,1
Castilla y León - Valladolid,Cistérniga,1
Castilla y León - Valladolid,Íscar,1
Castilla y León - Valladolid,Laguna de Duero,1
Castilla y León - Valladolid,Mayorga,1
Castilla y León - Valladolid,Medina de Rioseco,1
Castilla y León - Valladolid,Medina del Campo,1
Castilla y León - Valladolid,Mojados,1
Castilla y León - Valladolid,Montemayor de Pililla,1
Castilla y León - Valladolid,Nava del Rey,1
Castilla y León - Segovia,Segovia,1
Castilla y León - Segovia,Sepúlveda,1
Castilla y León - Segovia,Trescasas,1
Castilla y León - Segovia,Turégano,1
Castilla y León - Valladolid,Olmedo,1
Castilla y León - Valladolid,Pedrajas de San Esteban,1
Castilla y León - Valladolid,Peñafiel,1
Castilla y León - Valladolid,Portillo,1
Castilla y León - Valladolid,Quintanilla de Onésimo,1
Castilla y León - Valladolid,Renedo de Esgueva,1
Castilla y León - Valladolid,Santovenia de Pisuerga,1
Castilla y León - Valladolid,Simancas,1
Castilla y León - Valladolid,Tordesillas,1
Castilla y León - Valladolid,Tudela de Duero,1
Castilla y León - Valladolid,Valladolid,23
Castilla y León - Valladolid,Viana de Cega,1
Castilla y León - Valladolid,Villalón de Campos,1
Castilla y León - Valladolid,Zaratán,1
Aragón - Zaragoza,Aguarón,1
Aragón - Zaragoza,Ainzón,1
Aragón - Zaragoza,Alagón,1
Aragón - Zaragoza,Alfajarín,1
Aragón - Zaragoza,Alfamén,1
Aragón - Zaragoza,Almonacid de la Sierra,1
Aragón - Zaragoza,Alpartir,1
Aragón - Zaragoza,Aniñón,1
Aragón - Zaragoza,Ariza,1
Aragón - Zaragoza,Ateca,1
Aragón - Zaragoza,Belchite,1
Aragón - Zaragoza,Biota,1
Aragón - Zaragoza,Borja,1
Aragón - Zaragoza,Botorrita,1
Aragón - Zaragoza,Brea de Aragón,1
Aragón - Zaragoza,Bujaraloz,1
Aragón - Zaragoza,Cabañas de Ebro,1
Aragón - Zaragoza,Cadrete,1
Aragón - Zaragoza,Calatayud,1
Aragón - Zaragoza,Calatorao,1
Aragón - Zaragoza,Cariñena,1
Aragón - Zaragoza,Caspe,1
Aragón - Zaragoza,Cinco Olivas,1
Aragón - Zaragoza,Cosuenda,1
Aragón - Zaragoza,Cuarte de Huerva,1
Aragón - Zaragoza,Daroca,1
Aragón - Zaragoza,Ejea de los Caballeros,2
Aragón - Zaragoza,El Burgo de Ebro,1
Aragón - Zaragoza,El Frago,1
Aragón - Zaragoza,Épila,1
Aragón - Zaragoza,Erla,1
Aragón - Zaragoza,Escatrón,1
Aragón - Zaragoza,Fabara,1
Aragón - Zaragoza,Fayón,1
Aragón - Zaragoza,Figueruelas,1
Aragón - Zaragoza,Fuendejalón,1
Aragón - Zaragoza,Fuentes de Ebro,1
Aragón - Zaragoza,Gallur,1
Aragón - Zaragoza,Gelsa,1
Aragón - Zaragoza,Illueca,1
Aragón - Zaragoza,La Almolda,1
Aragón - Zaragoza,La Almunia de Doña Godina,1
Aragón - Zaragoza,La Muela,1
Aragón - Zaragoza,La Puebla de Alfindén,1
Aragón - Zaragoza,La Zaida,1
Aragón - Zaragoza,Layana,1
Aragón - Zaragoza,Lécera,1
Aragón - Zaragoza,Leciñena,1
Aragón - Zaragoza,Longares,1
Aragón - Zaragoza,Lucena de Jalón,1
Aragón - Zaragoza,Luceni,1
Aragón - Zaragoza,Luesia,1
Aragón - Zaragoza,Lumpiaque,1
Aragón - Zaragoza,Luna,1
Aragón - Zaragoza,Maella,1
Aragón - Zaragoza,Magallón,1
Aragón - Zaragoza,Maleján,1
Aragón - Zaragoza,Mallén,1
Aragón - Zaragoza,Maluenda,1
Aragón - Zaragoza,María de Huerva,1
Aragón - Zaragoza,Mediana de Aragón,1
Aragón - Zaragoza,Mequinenza,1
Aragón - Zaragoza,Monegrillo,1
Aragón - Zaragoza,Morata de Jalón,1
Aragón - Zaragoza,Muel,1
Aragón - Zaragoza,Nuez de Ebro,1
Aragón - Zaragoza,Paniza,1
Aragón - Zaragoza,Paracuellos de la Ribera,1
Aragón - Zaragoza,Pastriz,1
Aragón - Zaragoza,Pedrola,1
Aragón - Zaragoza,Perdiguera,1
Aragón - Zaragoza,Pina de Ebro,1
Aragón - Zaragoza,Pinseque,1
Aragón - Zaragoza,Pradilla de Ebro,1
Aragón - Zaragoza,Quinto,1
Aragón - Zaragoza,Remolinos,1
Aragón - Zaragoza,Ricla,1
Aragón - Zaragoza,Rueda de Jalón,1
Aragón - Zaragoza,Sabiñán,1
Aragón - Zaragoza,Sádaba,1
Aragón - Zaragoza,San Mateo de Gállego,1
Aragón - Zaragoza,Sástago,1
Aragón - Zaragoza,Sobradiel,1
Aragón - Zaragoza,Sos del Rey Católico,1
Aragón - Zaragoza,Tarazona,1
Aragón - Zaragoza,Tauste,1
Aragón - Zaragoza,Torres de Berrellén,1
Aragón - Zaragoza,Torrijo de la Cañada,1
Aragón - Zaragoza,Uncastillo,1
Aragón - Zaragoza,Utebo,1
Aragón - Zaragoza,Velilla de Ebro,1
Aragón - Zaragoza,Vera de Moncayo,1
Aragón - Zaragoza,Villafranca de Ebro,1
Aragón - Zaragoza,Villalengua,1
Aragón - Zaragoza,Villamayor de Gállego,1
Aragón - Zaragoza,Villanueva de Gállego,1
Aragón - Zaragoza,Villarroya de la Sierra,1
Aragón - Zaragoza,Zaragoza,28
Aragón - Zaragoza,Zuera,2
Galicia - Pontevedra,A Cañiza,2
Galicia - Pontevedra,A Estrada,1
Galicia - Pontevedra,A Guarda,1
Galicia - Pontevedra,A Illa de Arousa,1
Galicia - Pontevedra,A Lama,1
