Curso/Cohorte;"Comunidad autónoma";Universidad;"Tipo de universidad";"Presencialidad  de la universidad";"Modalidad  de la unidad";"Tipo de unidad";"Código unidad";Unidad;"Municipio  de la unidad";"Número de titulaciones (Ciclo, Grado,  Máster y Doctorado)";Estudiantes Matriculados (Ciclo, Grado, Máster y Doctorado);Estudiantes Egresados (Ciclo, Grado y Máster)
2017-2018;Andalucía;Almería;Pública;Presencial;Centros Adscritos;Privado;04007797;Centro de Trabajo Social;ALMERÍA;1;391;86
2017-2018;Andalucía;Almería;Pública;Presencial;Centros Propios;Público;04008081;Facultad de Ciencias Económicas y Empresariales;ALMERÍA;14;2,509;395
2017-2018;Andalucía;Almería;Pública;Presencial;Centros Propios;Público;04008091;Facultad de Derecho;ALMERÍA;7;1,492;280
2017-2018;Andalucía;Almería;Pública;Presencial;Centros Propios;Público;04008479;Centro de Postgrado y Formación Continua;ALMERÍA;4;321;224
2017-2018;Andalucía;Almería;Pública;Presencial;Escuela de doctorado;Público;04008510;Escuela Internacional de Doctorado de la Universidad de Almería (EIDUAL);ALMERÍA;14;922;
2017-2018;Andalucía;Almería;Pública;Presencial;Centros Propios;Público;04008522;Escuela Superior de Ingeniería;ALMERÍA;17;1,910;201
2017-2018;Andalucía;Almería;Pública;Presencial;Centros Propios;Público;04008534;Facultad de Ciencias Experimentales;ALMERÍA;10;926;115
2017-2018;Andalucía;Almería;Pública;Presencial;Centros Propios;Público;04008546;Facultad de Ciencias de la Educación;ALMERÍA;12;2,577;628
2017-2018;Andalucía;Almería;Pública;Presencial;Centros Propios;Público;04008558;Facultad de Ciencias de la Salud;ALMERÍA;6;1,004;280
2017-2018;Andalucía;Almería;Pública;Presencial;Centros Propios;Público;04008561;Facultad de Humanidades;ALMERÍA;10;846;147
2017-2018;Andalucía;Almería;Pública;Presencial;Centros Propios;Público;04008571;Facultad de Psicología;ALMERÍA;6;814;207
2017-2018;Andalucía;Cádiz;Pública;Presencial;Centros Propios;Público;11006516;Escuela Politécnica Superior;ALGECIRAS;9;669;129
2017-2018;Andalucía;Cádiz;Pública;Presencial;Centros Propios;Público;11006528;Facultad de Ciencias Económicas y Empresariales;CÁDIZ;7;1,263;206
2017-2018;Andalucía;Cádiz;Pública;Presencial;Centros Propios;Público;11006531;Escuela Superior de Ingeniería;PUERTO REAL;17;2,567;319
2017-2018;Andalucía;Cádiz;Pública;Presencial;Centros Propios;Público;11006541;Escuela de Ingeniería Naval y Oceánica;PUERTO REAL;2;329;32
2017-2018;Andalucía;Cádiz;Pública;Presencial;Centros Propios;Público;11006553;Facultad de Ciencias de la Educación;PUERTO REAL;10;2,741;659
2017-2018;Andalucía;Cádiz;Pública;Presencial;Centros Propios;Público;11006577;Facultad de Enfermería y Fisioterapia;CÁDIZ;5;748;200
2017-2018;Andalucía;Cádiz;Pública;Presencial;Centros Propios;Público;11006589;Facultad de Medicina;CÁDIZ;3;893;160
2017-2018;Andalucía;Cádiz;Pública;Presencial;Centros Propios;Público;11006590;Facultad de Ciencias;PUERTO REAL;13;1,239;198
2017-2018;Andalucía;Cádiz;Pública;Presencial;Centros Propios;Público;11006620;Facultad de Ciencias Sociales y de la Comunicación;JEREZ DE LA FRONTERA;10;1,875;348
2017-2018;Andalucía;Cádiz;Pública;Presencial;Centros Adscritos;Privado;11006656;Centro de Magisterio Virgen de Europa;LÍNEA DE LA CONCEPCIÓN (LA);2;381;82
2017-2018;Andalucía;Cádiz;Pública;Presencial;Centros Adscritos;Privado;11007144;Centro de Enfermería Salus Infirmorum;CÁDIZ;1;271;68
2017-2018;Andalucía;Cádiz;Pública;Presencial;Centros Propios;Público;11007685;Facultad de Filosofía y Letras;CÁDIZ;19;1,671;300
2017-2018;Andalucía;Cádiz;Pública;Presencial;Centros Propios;Público;11007697;Facultad de Derecho;JEREZ DE LA FRONTERA;5;1,575;227
2017-2018;Andalucía;Cádiz;Pública;Presencial;Centros Propios;Público;11009104;Facultad de Ciencias del Mar y Ambientales;PUERTO REAL;11;773;163
2017-2018;Andalucía;Cádiz;Pública;Presencial;Centros Propios;Público;11009323;Escuela de Ingenierías Marina, Náutica y Radioelectrónica;PUERTO REAL;4;474;81
2017-2018;Andalucía;Cádiz;Pública;Presencial;Centros Propios;Público;11009581;Facultad de Ciencias del Trabajo;CÁDIZ;2;550;110
2017-2018;Andalucía;Cádiz;Pública;Presencial;Centros Propios;Público;11011032;Facultad de Enfermería ;ALGECIRAS;1;311;77
2017-2018;Andalucía;Cádiz;Pública;Presencial;Centros Propios;Público;11011147;Facultad de Enfermería y Fisioterapia. Sede de Jerez;JEREZ DE LA FRONTERA;1;246;47
2017-2018;Andalucía;Cádiz;Pública;Presencial;Centros Propios;Público;11011160;Facultad de Ciencias Económicas y Empresariales. Sede en Jerez;JEREZ DE LA FRONTERA;1;510;64
2017-2018;Andalucía;Cádiz;Pública;Presencial;Centros Propios;Público;11011172;Facultad de Ciencias Económicas y Empresariales. Sede en Algeciras;ALGECIRAS;1;388;49
2017-2018;Andalucía;Cádiz;Pública;Presencial;Centros Propios;Público;11011305;Facultad de Ciencias del Trabajo. Sede de Algeciras;ALGECIRAS;1;154;27
2017-2018;Andalucía;Cádiz;Pública;Presencial;Centros Propios;Público;11011317;Facultad de Ciencias del Trabajo. Sede de Jerez;JEREZ DE LA FRONTERA;1;424;81
2017-2018;Andalucía;Cádiz;Pública;Presencial;Centros Propios;Público;11011329;Facultad de Derecho. Sede de Algeciras;ALGECIRAS;1;350;41
2017-2018;Andalucía;Cádiz;Pública;Presencial;Escuela de doctorado;Público;11011330;Escuela de Doctorado de la Universidad de Cádiz;CÁDIZ;17;831;74
2017-2018;Andalucía;Cádiz;Pública;Presencial;Escuela de doctorado;Público;11011342;Escuela Internacional de Doctorado en Estudios del Mar (EIDEMAR);PUERTO REAL;6;279;37
2017-2018;Andalucía;Cádiz;Pública;Presencial;Escuela de doctorado;Público;11011354;Escuela Doctoral CEI-A3;PUERTO REAL;1;39;
2017-2018;Andalucía;Córdoba;Pública;Presencial;Centros Propios;Público;14006953;Escuela Politécnica Superior de Bélmez;BELMEZ;4;239;55
2017-2018;Andalucía;Córdoba;Pública;Presencial;Centros Propios;Público;14006977;Facultad de Ciencias de la Educación;CÓRDOBA;3;2,242;535
2017-2018;Andalucía;Córdoba;Pública;Presencial;Centros Propios;Público;14006989;Escuela Técnica Superior de Ingeniería Agronómica y de Montes;CÓRDOBA;7;779;119
2017-2018;Andalucía;Córdoba;Pública;Presencial;Centros Propios;Público;14007003;Facultad de Veterinaria;CÓRDOBA;2;1,229;177
2017-2018;Andalucía;Córdoba;Pública;Presencial;Centros Propios;Público;14007015;Facultad de Ciencias;CÓRDOBA;5;1,737;281
2017-2018;Andalucía;Córdoba;Pública;Presencial;Centros Propios;Público;14007027;Facultad de Filosofía y Letras;CÓRDOBA;12;1,859;261
2017-2018;Andalucía;Córdoba;Pública;Presencial;Centros Adscritos;Privado;14007040;"Centro Magisterio ""Sagrado Corazón""";CÓRDOBA;2;770;164
2017-2018;Andalucía;Córdoba;Pública;Presencial;Centros Propios;Público;14007477;Facultad de Derecho y Ciencias Económicas y Empresariales;CÓRDOBA;3;2,435;284
2017-2018;Andalucía;Córdoba;Pública;Presencial;Centros Propios;Público;14008263;Escuela Politécnica Superior de Córdoba;CÓRDOBA;5;1,567;217
2017-2018;Andalucía;Córdoba;Pública;Presencial;Centros Propios;Público;14008688;Facultad de Ciencias del Trabajo;CÓRDOBA;3;1,122;180
2017-2018;Andalucía;Córdoba;Pública;Presencial;Centros Propios;Público;14010245;Instituto de Estudios de Posgrado;CÓRDOBA;64;3,000;830
2017-2018;Andalucía;Córdoba;Pública;Presencial;Centros Propios;Público;14010397;Facultad de Medicina y Enfermería;CÓRDOBA;3;1,438;265
2017-2018;Andalucía;Granada;Pública;Presencial;Centros Propios;Público;18009018;Escuela Técnica Superior de Ingeniería de Edificación;GRANADA;2;594;136
2017-2018;Andalucía;Granada;Pública;Presencial;Centros Propios;Público;18009021;Facultad de Ciencias Económicas y Empresariales;GRANADA;6;4,693;690
2017-2018;Andalucía;Granada;Pública;Presencial;Centros Propios;Público;18009043;Facultad de Ciencias;GRANADA;14;4,945;656
2017-2018;Andalucía;Granada;Pública;Presencial;Centros Propios;Público;18009055;Facultad de Derecho;GRANADA;3;2,644;438
2017-2018;Andalucía;Granada;Pública;Presencial;Centros Propios;Público;18009067;Facultad de Farmacia;GRANADA;4;2,726;332
2017-2018;Andalucía;Granada;Pública;Presencial;Centros Propios;Público;18009079;Facultad de Filosofía y Letras;GRANADA;15;4,113;575
2017-2018;Andalucía;Granada;Pública;Presencial;Centros Propios;Público;18009080;Facultad de Medicina;GRANADA;1;1,547;240
2017-2018;Andalucía;Granada;Pública;Presencial;Centros Adscritos;Privado;18009092;Centro de Magisterio La Inmaculada ;GRANADA;2;844;188
2017-2018;Andalucía;Granada;Pública;Presencial;Centros Propios;Público;18009225;Facultad de Ciencias de la Salud;GRANADA;3;1,285;291
2017-2018;Andalucía;Granada;Pública;Presencial;Centros Propios;Público;18009584;Facultad de Traducción e Interpretación;GRANADA;2;1,150;248
2017-2018;Andalucía;Granada;Pública;Presencial;Centros Propios;Público;18010148;Facultad de Comunicación y Documentación;GRANADA;3;478;77
2017-2018;Andalucía;Granada;Pública;Presencial;Centros Propios;Público;18010151;Facultad de Bellas Artes;GRANADA;2;1,211;195
2017-2018;Andalucía;Granada;Pública;Presencial;Centros Propios;Público;18010434;Facultad de Ciencias del Deporte;GRANADA;2;857;176
2017-2018;Andalucía;Granada;Pública;Presencial;Centros Propios;Público;18010483;Facultad de Odontología;GRANADA;1;415;67
2017-2018;Andalucía;Granada;Pública;Presencial;Centros Propios;Público;18010513;Facultad de Trabajo Social;GRANADA;1;796;167
2017-2018;Andalucía;Granada;Pública;Presencial;Centros Propios;Público;18010781;Escuela Técnica Superior de Ingeniería de Caminos, Canales y Puertos;GRANADA;2;677;107
2017-2018;Andalucía;Granada;Pública;Presencial;Centros Propios;Público;18011098;Facultad de Ciencias del Trabajo;GRANADA;2;1,274;175
2017-2018;Andalucía;Granada;Pública;Presencial;Centros Propios;Público;18011104;Facultad de Ciencias Políticas y Sociología;GRANADA;4;1,656;159
2017-2018;Andalucía;Granada;Pública;Presencial;Centros Propios;Público;18012421;Facultad de Psicología;GRANADA;2;1,586;332
2017-2018;Andalucía;Granada;Pública;Presencial;Centros Propios;Público;18012431;Facultad de Ciencias de la Educación;GRANADA;6;4,743;1,012
2017-2018;Andalucía;Granada;Pública;Presencial;Centros Propios;Público;18012534;Escuela Técnica Superior de Ingenierías Informática y de Telecomunicación;GRANADA;5;1,966;238
2017-2018;Andalucía;Granada;Pública;Presencial;Centros Propios;Público;18012546;Escuela Técnica Superior de Arquitectura;GRANADA;1;812;91
2017-2018;Andalucía;Granada;Pública;Presencial;Escuela de doctorado;Público;18013411;Escuela Internacional de Posgrado;CEUTA;1;..;..
2017-2018;Andalucía;Granada;Pública;Presencial;Escuela de doctorado;Público;18013411;Escuela Internacional de Posgrado;GRANADA;143;8,801;3,519
2017-2018;Andalucía;Granada;Pública;Presencial;Escuela de doctorado;Público;18013411;Escuela Internacional de Posgrado;MELILLA;3;66;53
2017-2018;Andalucía;Granada;Pública;Presencial;Centros Propios;Público;51000390;Facultad de Educación, Economía y Tecnología de Ceuta;CEUTA;5;743;112
2017-2018;Andalucía;Granada;Pública;Presencial;Centros Propios;Público;51000419;Facultad de Ciencias de la Salud de Ceuta;CEUTA;1;509;96
2017-2018;Andalucía;Granada;Pública;Presencial;Centros Propios;Público;52000440;Facultad de Educación y Humanidades de Melilla;MELILLA;4;620;76
2017-2018;Andalucía;Granada;Pública;Presencial;Centros Propios;Público;52000452;Facultad de Ciencias de la Salud de Melilla;MELILLA;2;459;73
2017-2018;Andalucía;Granada;Pública;Presencial;Centros Propios;Público;52000488;Facultad de Ciencias Sociales y Jurídicas de Melilla;MELILLA;4;362;43
2017-2018;Andalucía;Huelva;Pública;Presencial;Centros Propios;Público;21003359;Facultad de Enfermería;HUELVA;1;527;116
2017-2018;Andalucía;Huelva;Pública;Presencial;Centros Propios;Público;21003414;Escuela Técnica Superior de Ingeniería;PALOS DE LA FRONTERA;16;1,815;181
2017-2018;Andalucía;Huelva;Pública;Presencial;Centros Propios;Público;21004376;Facultad de Trabajo Social;HUELVA;3;560;91
2017-2018;Andalucía;Huelva;Pública;Presencial;Centros Propios;Público;21004522;Facultad de Ciencias Experimentales;HUELVA;8;473;71
2017-2018;Andalucía;Huelva;Pública;Presencial;Centros Propios;Público;21005812;Facultad de Ciencias del Trabajo;HUELVA;3;587;204
2017-2018;Andalucía;Huelva;Pública;Presencial;Centros Propios;Público;21005952;Facultad de Educación, Psicología y Ciencias del Deporte;HUELVA;20;3,560;1,023
2017-2018;Andalucía;Huelva;Pública;Presencial;Centros Propios;Público;21005964;Facultad de Humanidades;HUELVA;14;919;142
2017-2018;Andalucía;Huelva;Pública;Presencial;Centros Propios;Público;21005976;Facultad de Derecho;HUELVA;5;710;106
2017-2018;Andalucía;Huelva;Pública;Presencial;Centros Propios;Público;21005988;Facultad de Ciencias Empresariales y Turismo;HUELVA;9;1,457;194
2017-2018;Andalucía;Huelva;Pública;Presencial;Escuela de doctorado;Público;21006270;Escuela de Doctorado de la Universidad de Huelva;HUELVA;11;508;
2017-2018;Andalucía;Internacional de Andalucía;Pública;Especial;Centros Propios;Público;41015548;Oficina de Estudios de Posgrado;SEVILLA;20;291;154
2017-2018;Andalucía;Jaén;Pública;Presencial;Centros Propios;Público;23004793;Escuela Politécnica Superior (Jaén);JAÉN;15;1,845;255
2017-2018;Andalucía;Jaén;Pública;Presencial;Centros Propios;Público;23004811;Facultad de Ciencias Sociales y Jurídicas;JAÉN;13;3,445;597
2017-2018;Andalucía;Jaén;Pública;Presencial;Centros Adscritos;Privado;23004884;Centro Universitario Sagrada Familia (Úbeda);ÚBEDA;2;556;167
2017-2018;Andalucía;Jaén;Pública;Presencial;Centros Propios;Público;23004963;Escuela Politécnica Superior (Linares);LINARES;13;809;134
2017-2018;Andalucía;Jaén;Pública;Presencial;Centros Propios;Público;23004975;Facultad de Trabajo Social;JAÉN;2;608;109
2017-2018;Andalucía;Jaén;Pública;Presencial;Centros Propios;Público;23005219;Facultad de Ciencias de la Salud;JAÉN;2;900;222
2017-2018;Andalucía;Jaén;Pública;Presencial;Centros Propios;Público;23006376;Facultad de Humanidades y Ciencias de la Educación;JAÉN;11;4,364;932
2017-2018;Andalucía;Jaén;Pública;Presencial;Centros Propios;Público;23006388;Facultad de Ciencias Experimentales;JAÉN;3;745;107
2017-2018;Andalucía;Jaén;Pública;Presencial;Escuela de doctorado;Público;23008257;Escuela de Doctorado de la Universidad de Jaén;JAÉN;20;640;
2017-2018;Andalucía;Jaén;Pública;Presencial;Otros;Público;23008269;Centro de Estudios de Postgrado de la Universidad de Jaén;JAÉN;38;1,425;812
2017-2018;Andalucía;Loyola Andalucía;Privada;Presencial;Centros Propios;Privado;14010348;Facultad de Ciencias Económicas y Empresariales. (Sede de Córdoba);CÓRDOBA;4;325;59
2017-2018;Andalucía;Loyola Andalucía;Privada;Presencial;Escuela de doctorado;Privado;14010351;Escuela de Doctorado (Sede de Córdoba);CÓRDOBA;3;..;..
2017-2018;Andalucía;Loyola Andalucía;Privada;Presencial;Centros Propios;Privado;14010361;Escuela de Postgrado (Loyola Leadership School) (Sede de Córdoba);CÓRDOBA;1;96;..
2017-2018;Andalucía;Loyola Andalucía;Privada;Presencial;Centros Propios;Privado;14010427;Facultad de Ciencias Jurídicas y Políticas (Sede de Córdoba);CÓRDOBA;3;93;.
2017-2018;Andalucía;Loyola Andalucía;Privada;Presencial;Centros Propios;Privado;14010439;Facultad de Ciencias Sociales y Humanas (Sede de Córdoba);CÓRDOBA;3;388;32
2017-2018;Andalucía;Loyola Andalucía;Privada;Presencial;Centros Propios;Privado;41015767;Escuela Técnica Superior de Ingeniería (Sede de Sevilla);SEVILLA;4;158;..
2017-2018;Andalucía;Loyola Andalucía;Privada;Presencial;Centros Propios;Privado;41015780;Escuela de Postgrado (Loyola Leadership School) (Sede de Sevilla);SEVILLA;16;348;134
2017-2018;Andalucía;Loyola Andalucía;Privada;Presencial;Centros Propios;Privado;41015809;Facultad de Ciencias Económicas y Empresariales. (Sede de Sevilla);SEVILLA;7;499;46
2017-2018;Andalucía;Loyola Andalucía;Privada;Presencial;Centros Propios;Privado;41016103;Facultad de Ciencias Jurídicas y Políticas (Sede de Sevilla);SEVILLA;6;430;34
2017-2018;Andalucía;Loyola Andalucía;Privada;Presencial;Centros Propios;Privado;41016115;Facultad de Ciencias Sociales y Humanas (Sede de Sevilla);SEVILLA;6;461;26
2017-2018;Andalucía;Málaga;Pública;Presencial;Centros Adscritos;Privado;29009090;Centro de Magisterio María Inmaculada (Antequera);ANTEQUERA;2;571;145
2017-2018;Andalucía;Málaga;Pública;Presencial;Centros Propios;Público;29009107;Facultad de Comercio y Gestión;MÁLAGA;3;1,700;254
2017-2018;Andalucía;Málaga;Pública;Presencial;Centros Propios;Público;29009132;Facultad de Ciencias Económicas y Empresariales;MÁLAGA;13;3,784;572
2017-2018;Andalucía;Málaga;Pública;Presencial;Centros Propios;Público;29009144;Facultad de Medicina;MÁLAGA;5;1,401;219
2017-2018;Andalucía;Málaga;Pública;Presencial;Centros Propios;Público;29009156;Facultad de Ciencias;MÁLAGA;21;2,722;362
2017-2018;Andalucía;Málaga;Pública;Presencial;Centros Propios;Público;29009168;Facultad de Filosofía y Letras;MÁLAGA;19;3,626;582
2017-2018;Andalucía;Málaga;Pública;Presencial;Centros Propios;Público;29009429;Facultad de Ciencias de la Salud;MÁLAGA;8;1,562;388
2017-2018;Andalucía;Málaga;Pública;Presencial;Centros Propios;Público;29010468;Facultad de Derecho;MÁLAGA;11;2,611;557
2017-2018;Andalucía;Málaga;Pública;Presencial;Centros Propios;Público;29011412;Facultad de Ciencias de la Educación;MÁLAGA;13;3,823;1,285
2017-2018;Andalucía;Málaga;Pública;Presencial;Centros Adscritos;Mixto;29011424;Centro de Enfermería Virgen de la Paz (Ronda);RONDA;1;256;53
2017-2018;Andalucía;Málaga;Pública;Presencial;Centros Propios;Público;29012593;Escuela Técnica Superior de Ingeniería de Telecomunicación;MÁLAGA;12;1,312;117
2017-2018;Andalucía;Málaga;Pública;Presencial;Centros Propios;Público;29012601;Escuela Técnica Superior de Ingeniería Informática;MÁLAGA;8;1,546;113
2017-2018;Andalucía;Málaga;Pública;Presencial;Centros Propios;Público;29013238;Facultad de Estudios Sociales y del Trabajo;MÁLAGA;3;1,901;301
2017-2018;Andalucía;Málaga;Pública;Presencial;Centros Propios;Público;29014656;Facultad de Ciencias de la Comunicación;MÁLAGA;8;1,923;317
2017-2018;Andalucía;Málaga;Pública;Presencial;Centros Propios;Público;29014759;Facultad de Psicología;MÁLAGA;5;1,687;347
2017-2018;Andalucía;Málaga;Pública;Presencial;Centros Propios;Público;29015031;Facultad de Turismo;MÁLAGA;4;906;165
2017-2018;Andalucía;Málaga;Pública;Presencial;Centros Propios;Público;29015570;Escuela Técnica Superior de Arquitectura;MÁLAGA;4;486;96
2017-2018;Andalucía;Málaga;Pública;Presencial;Centros Propios;Público;29015582;Facultad de Bellas Artes;MÁLAGA;2;393;74
2017-2018;Andalucía;Málaga;Pública;Presencial;Centros Propios;Público;29015594;Oficina de Estudios de Posgrado;MÁLAGA;1;60;..
2017-2018;Andalucía;Málaga;Pública;Presencial;Escuela de doctorado;Público;29016008;Escuela de Doctorado de la Universidad de Málaga;MÁLAGA;2;80;
2017-2018;Andalucía;Málaga;Pública;Presencial;Centros Propios;Público;29016045;Escuela de Ingenierías Industriales;MÁLAGA;28;4,316;537
2017-2018;Andalucía;Pablo de Olavide;Pública;Presencial;Centros Propios;Público;41011695;Facultad de Ciencias Sociales;SEVILLA;6;1,800;214
2017-2018;Andalucía;Pablo de Olavide;Pública;Presencial;Centros Propios;Público;41014684;Facultad de Derecho;SEVILLA;8;2,106;238
2017-2018;Andalucía;Pablo de Olavide;Pública;Presencial;Centros Propios;Público;41014696;Facultad de Ciencias Empresariales;SEVILLA;4;1,950;194
2017-2018;Andalucía;Pablo de Olavide;Pública;Presencial;Centros Propios;Público;41015007;Facultad de Humanidades;SEVILLA;4;1,226;185
2017-2018;Andalucía;Pablo de Olavide;Pública;Presencial;Centros Propios;Público;41015019;Facultad de Ciencias Experimentales;SEVILLA;4;960;154
2017-2018;Andalucía;Pablo de Olavide;Pública;Presencial;Centros Propios;Público;41015482;Facultad del Deporte;SEVILLA;1;702;116
2017-2018;Andalucía;Pablo de Olavide;Pública;Presencial;Centros Propios;Público;41015494;Escuela Politécnica Superior;SEVILLA;1;223;..
2017-2018;Andalucía;Pablo de Olavide;Pública;Presencial;Centros Propios;Público;41015551;Centro de Estudios de Posgrado;SEVILLA;41;1,384;924
2017-2018;Andalucía;Pablo de Olavide;Pública;Presencial;Escuela de doctorado;Público;41015846;Escuela de Doctorado de la Universidad Pablo de Olavide (EDUPO);SEVILLA;9;864;
2017-2018;Andalucía;Pablo de Olavide;Pública;Presencial;Centros Adscritos;Privado;41015883;Centro Universitario San Isidoro;SEVILLA;6;551;..
2017-2018;Andalucía;Sevilla;Pública;Presencial;Centros Propios;Público;41008246;Escuela Técnica Superior de Ingeniería de Edificación ;SEVILLA;3;794;108
2017-2018;Andalucía;Sevilla;Pública;Presencial;Centros Propios;Público;41008258;Facultad de Turismo y Finanzas;SEVILLA;7;3,245;335
2017-2018;Andalucía;Sevilla;Pública;Presencial;Centros Propios;Público;41008261;Escuela Politécnica Superior;SEVILLA;11;2,837;224
2017-2018;Andalucía;Sevilla;Pública;Presencial;Centros Propios;Público;41008295;Facultad de Enfermería, Fisioterapia y Podología;SEVILLA;5;1,632;346
2017-2018;Andalucía;Sevilla;Pública;Presencial;Centros Propios;Público;41008301;Escuela Técnica Superior de Arquitectura;SEVILLA;10;2,174;562
2017-2018;Andalucía;Sevilla;Pública;Presencial;Centros Propios;Público;41008313;Escuela Técnica Superior de Ingeniería;SEVILLA;31;5,958;1,132
2017-2018;Andalucía;Sevilla;Pública;Presencial;Centros Propios;Público;41008337;Facultad de Ciencias Económicas y Empresariales;SEVILLA;14;3,979;508
2017-2018;Andalucía;Sevilla;Pública;Presencial;Centros Propios;Público;41008349;Facultad de Derecho;SEVILLA;16;4,298;701
2017-2018;Andalucía;Sevilla;Pública;Presencial;Centros Propios;Público;41008362;Facultad de Medicina;SEVILLA;4;2,157;394
2017-2018;Andalucía;Sevilla;Pública;Presencial;Centros Propios;Público;41008374;Facultad de Farmacia;SEVILLA;4;2,170;311
2017-2018;Andalucía;Sevilla;Pública;Presencial;Centros Propios;Público;41008386;Facultad de Bellas Artes;SEVILLA;4;1,084;177
2017-2018;Andalucía;Sevilla;Pública;Presencial;Centros Adscritos;Privado;41008398;Centro de Estudios Universitarios Cardenal Spínola;BORMUJOS;4;1,018;197
2017-2018;Andalucía;Sevilla;Pública;Presencial;Centros Propios;Público;41008416;Escuela Técnica Superior de Ingeniería Agronómica;SEVILLA;3;948;80
2017-2018;Andalucía;Sevilla;Pública;Presencial;Centros Adscritos;Privado;41008611;Centro de Enfermería de la Cruz Roja;SEVILLA;1;284;70
2017-2018;Andalucía;Sevilla;Pública;Presencial;Centros Propios;Público;41008635;Facultad de Química;SEVILLA;4;804;110
2017-2018;Andalucía;Sevilla;Pública;Presencial;Centros Propios;Público;41008647;Facultad de Matemáticas;SEVILLA;5;836;95
2017-2018;Andalucía;Sevilla;Pública;Presencial;Centros Propios;Público;41008659;Facultad de Física;SEVILLA;6;742;88
2017-2018;Andalucía;Sevilla;Pública;Presencial;Centros Propios;Público;41008660;Facultad de Biología;SEVILLA;4;1,359;272
2017-2018;Andalucía;Sevilla;Pública;Presencial;Centros Propios;Público;41008672;Facultad de Geografía e Historia;SEVILLA;17;2,669;386
2017-2018;Andalucía;Sevilla;Pública;Presencial;Centros Propios;Público;41008696;Facultad de Filología;SEVILLA;16;2,312;339
2017-2018;Andalucía;Sevilla;Pública;Presencial;Centros Propios;Público;41012067;Facultad de Comunicación;SEVILLA;11;2,792;481
2017-2018;Andalucía;Sevilla;Pública;Presencial;Centros Propios;Público;41012079;Facultad de Odontología;SEVILLA;4;426;88
2017-2018;Andalucía;Sevilla;Pública;Presencial;Centros Propios;Público;41012390;Facultad de Ciencias del Trabajo;SEVILLA;6;1,350;183
2017-2018;Andalucía;Sevilla;Pública;Presencial;Centros Propios;Público;41012584;Escuela Técnica Superior de Ingeniería Informática;SEVILLA;9;2,475;272
2017-2018;Andalucía;Sevilla;Pública;Presencial;Centros Propios;Público;41014210;Facultad de Psicología;SEVILLA;10;1,596;409
2017-2018;Andalucía;Sevilla;Pública;Presencial;Centros Propios;Público;41014222;Facultad de Filosofía;SEVILLA;4;585;86
2017-2018;Andalucía;Sevilla;Pública;Presencial;Centros Propios;Público;41014234;Facultad de Ciencias de la Educación;SEVILLA;15;4,493;1,047
2017-2018;Andalucía;Sevilla;Pública;Presencial;Centros Adscritos;Público;41014246;Centro Universitario de Osuna;OSUNA;8;1,306;340
2017-2018;Andalucía;Sevilla;Pública;Presencial;Centros Adscritos;Privado;41015020;Centro Universitario EUSA;SEVILLA;5;621;114
2017-2018;Andalucía;Sevilla;Pública;Presencial;Centros Adscritos;Privado;41015500;Centro de Enfermería San Juan de Dios;BORMUJOS;1;240;53
2017-2018;Andalucía;Sevilla;Pública;Presencial;Escuela de doctorado;Público;41015858;Escuela Internacional de Doctorado;SEVILLA;32;3,271;
2017-2018;Andalucía;Sevilla;Pública;Presencial;Centros Propios;Público;41015895;Escuela Internacional de Posgrado de la Universidad de Sevilla;SEVILLA;13;772;507
2017-2018;Aragón;San Jorge;Privada;Presencial;Centros Adscritos;Privado;15028518;Centro de Estudios Superiores Universitarios de Galicia (CESUGA);CORUÑA (A);4;138;..
2017-2018;Aragón;San Jorge;Privada;Presencial;Centros Propios;Privado;50011938;Escuela de Arquitectura y Tecnología;VILLANUEVA DE GÁLLEGO;5;254;48
2017-2018;Aragón;San Jorge;Privada;Presencial;Centros Propios;Privado;50011941;Facultad de Comunicación y Ciencias Sociales;VILLANUEVA DE GÁLLEGO;10;461;148
2017-2018;Aragón;San Jorge;Privada;Presencial;Centros Propios;Privado;50012013;Facultad de Ciencias de la Salud;VILLANUEVA DE GÁLLEGO;7;1,639;294
2017-2018;Aragón;San Jorge;Privada;Presencial;Centros Adscritos;Privado;50012301;Escuela Superior de Gestión Empresarial y Marketing (ESIC);ZARAGOZA;1;46;.
2017-2018;Aragón;Zaragoza;Pública;Presencial;Centros Propios;Público;22004670;Escuela Politécnica Superior;HUESCA;3;401;57
2017-2018;Aragón;Zaragoza;Pública;Presencial;Centros Propios;Público;22004682;Facultad de Ciencias Humanas y de la Educación;HUESCA;4;1,059;209
2017-2018;Aragón;Zaragoza;Pública;Presencial;Centros Adscritos;Público;22004724;Escuela Universitaria de Enfermería Hospital General San Jorge;HUESCA;1;205;52
2017-2018;Aragón;Zaragoza;Pública;Presencial;Centros Propios;Público;22005546;Facultad de Empresa y Gestión Pública;HUESCA;3;347;47
2017-2018;Aragón;Zaragoza;Pública;Presencial;Centros Propios;Público;22006149;Facultad de Ciencias de la Salud y del Deporte;HUESCA;5;835;132
2017-2018;Aragón;Zaragoza;Pública;Presencial;Centros Propios;Público;44004021;Facultad de Ciencias Sociales y Humanas;TERUEL;7;1,558;288
2017-2018;Aragón;Zaragoza;Pública;Presencial;Centros Adscritos;Público;44004136;Escuela Universitaria de Enfermería Hospital General Obispo Polanco;TERUEL;1;134;32
