UNIDAD;COMUNIDAD AUTONOMA;PROVINCIA;LOCALIDAD;DOMICILIO;CODIGO POSTAL;TELEFONO;OBSERVACIONES
A. R. S. (JEFATURA);MADRID;MADRID;MADRID;C/ BATALLA DEL SALADO, 35;28045;915146900;
ACADEMIA DE EL ESCORIAL;MADRID;MADRID;SAN LORENZO DE EL ESCORIAL;CTRA. DE GUADARRAMA KM. 33;28200;918969538-918906011-918906001;
ACADEMIA DE OFICIALES GUA. CIVIL;MADRID;MADRID;ARANJUEZ;C/ PRINCESA, S/N;28300;918912145;
ACUARTELAMIENTO DE BARAJAS;MADRID;MADRID;BARAJAS;CAMINO DEL CUARTEL, 4;28042;917470055 EXT.12;
AGRUPACION DE TRAFICO;MADRID;MADRID;MADRID;C/ EMILIO MU—OZ, 41;28003;915357846;
ASOCIACION PRO- HUERFANOS;MADRID;MADRID;MADRID;C/ PRINCIPE DE VERGARA, 248;28016;913440037;
C.O.S.;MADRID;MADRID;TRES CANTOS;C/ SECTOR ESCULTORES, 10;28760;918061010;
C.O.S.-U.P.R.O.S.E.;MADRID;MADRID;MADRID;C/ BATALLA DEL SALADO, 35;28045;915146935;
1™ COMPA—ÕA DE SEGURIDAD PENITENCIARIA;MADRID;MADRID;MADRID;C/ BATALLA DEL SALADO, 35;28045;915146900 EXT. 44236;
DTO. SECC. SEG. C.P. MADRID III (VALDEMORO);MADRID;MADRID;VALDEMORO;CRT™. PINTO-SAN MARTIN DE DE LA VEGA KM 5;28340;916921427;
DTO. SECC. SEG. C.P. MADRID IV (NAVALCARNERO);MADRID;MADRID;NAVALCARNERO;CRT™.EXTREMADURA 27,800;28600;918113788;
DTO. SECC. SEG. C.P. MADRID VI (ARANJUEZ);MADRID;MADRID;ARANJUEZ;CRT™  N-400 KM 28;28300;918099032;
DTO. SECC. SEG. C.P. MADRID VII (ESTREMERA);MADRID;MADRID;ESTREMERA;CRT™  N-241 KM 5,750;28595;918750042;
DTO. SECC. SEG. C.P. MADRID I Y MADRID III (ALCAL¡) ;MADRID;MADRID;ALCALA DE HENARES;CTR™. ALCALA MECO, KM. 4.500;28805;918804011-918807711;
DTO. SECC. SEG. C.P. MADRID V (SOTO DEL REAL) ;MADRID;MADRID;SOTO DEL REAL;CTR™. M-609 KM 3,400;28791;918447777;
1™ SECCI”N CIA CONDUCCIONES (LEGANES);MADRID;MADRID;LEGANES;C/ PUIG ADAM, 6;28914;916882739;
DTO. BANCO DE ESPA—A ;MADRID;MADRID;MADRID;C/ ALCALA, 50;28014;913385112;
DTO. EDIFICIO AUXILIAR BANCO ESPA—A ;MADRID;MADRID;MADRID;C/ ALCAL¡, 522;28027;913386760-913386761;
SECCION CASA DE LA MONEDA DE EDIFICIOS PUBLICOS;MADRID;MADRID;MADRID;C/ JORGE JUAN, 106;28009;915666549;
SECCION DE TRANSPORTES  (CIA. CONDUCCIONES ESPECIALES);MADRID;MADRID;VALDEMORO;AVDA. DE MADRID, 2;28340;915142519;
SECCI”N DEL EMAD (DEFENSA);MADRID;MADRID;MADRID;C/ VITRUVIO, 1;28006;917455122;
SECCION SEGURIDAD PRINCIPE DE VERGARA;MADRID;MADRID;MADRID; C/ PRINCIPE DE VERGARA 246;28016;915142585;
UNIDAD DE SEGURIDAD DIRECCI”N GENERAL;MADRID;MADRID;MADRID;C/ GUZMAN EL BUENO, 110;28003;915146000 EXT. 46098-48445;
COMPA—ÕA DE EMBAJADAS;MADRID;MADRID;MADRID;C/ BATALLA DEL SALADO, 35;28045;915146900 EXT. 44269;
SECCION FISCALIA GENERAL MINISTERIO INTERIOR;MADRID;MADRID;MADRID;C/ FORTUNY 4;28010;913352108;
UNIDAD DE JUZGADOS PLAZA CASTILLA;MADRID;MADRID;MADRID;C/ PLAZA DE CASTILLA, 1;28046;914932507;
SECCION DE NUEVOS MINISTERIOS;MADRID;MADRID;MADRID;PASEO DE LA CASTELLANA, 67;28046;915540570;
SECCION DE INDUSTRIA;MADRID;MADRID;MADRID;PASEO DE LA CASTELLANA,160;28046;913495041-913493668;
SECCI”N HACIENDA;MADRID;MADRID;MADRID;C/ ALCAL¡, 5,7,9;28014;915958351-915958352;
SECCION SANIDAD;MADRID;MADRID;MADRID;PASEO DEL PRADO, 18-20;28014;915961303-915961304;
SECCION AGRICULTURA;MADRID;MADRID;MADRID;C/ INFANTA ISABEL, 1;28014;913475438;
SECCION EDUCACION Y CIENCIA;MADRID;MADRID;MADRID;C/ ALCALA, 34;28014;917018144;
SECCION EDUCACION Y CULTURA;MADRID;MADRID;MADRID;PLAZA DEL REY, 1;28004;917017273;
SECCI”N ASUNTOS EXTERIORES;MADRID;MADRID;MADRID;C/ SERRANO GALVACHE, 26;28033;913798424;
SECCI”N DE JUSTICIA;MADRID;MADRID;MADRID;C/ SAN BERNARDO, 45;28015;913902038;
UNIDAD DE SEGURIDAD DE BATALLA DEL SALADO;MADRID;MADRID;MADRID;C/ BATALLA DEL SALADO, 32;28045;915146900 EXT. 44249;
CENTRO DE ADIESTRAMIENTO DE PERROS;MADRID;MADRID;EL PARDO;CTRA. DE COLMENAR, 2;28048;913762140;
CIA. MAJADAHONDA;MADRID;MADRID;MAJADAHONDA;C/ JOAQUIN TURINA, 2;28222;916029631;
CMDA. MADRID;MADRID;MADRID;TRES CANTOS;C/ SECTOR ESCULTORES, 10;28760;918073900;
COLEGIO CAPITAN CORTES;MADRID;MADRID;MADRID;C/ PRINCIPE DE VERGARA, 248;28016;913440734;
COLEGIO GUARDIAS JOVENES;MADRID;MADRID;VALDEMORO;CTRA. ANDALUCIA KM. 24.500;28342;915146820;
COLEGIO INFANTA M™ TERESA;MADRID;MADRID;MADRID;C/ PRINCIPE DE VERGARA, 249;28016;913441911;
COLEGIO JUNCAREJO;MADRID;MADRID;VALDEMORO;PASEO DEL JUNCAREJO;28341;918950059;
COMPA—IA COMUNIDAD AUTONOMA;MADRID;MADRID;MADRID;C/ PUERTA DEL SOL, 7;28013;915802477;
COMPA—IA DE ALCALA DE HENARES;MADRID;MADRID;ALCALA DE HENARES;C/ SIGUENZA, 1, 1∫ B;28804;918880157/ 918880777;
COMPA—IA DE ARANJUEZ;MADRID;MADRID;ARANJUEZ;C/ PRINCIPE, 40;28300;918910062;
COMPA—IA DE CONDUCCIONES (SMM);MADRID;MADRID;MADRID;C/ BATALLA DEL SALADO, 35;28045;915146306;
COMPA—ÕA DE CONDUCCIONES (UPROSE);MADRID;MADRID;LEGANES;C/ PUIG ADAM,;28914;916882739;
COMPA—IA DE CONDUCCIONES ESPECIALES;MADRID;MADRID;MADRID;C/ BATALLA DEL SALADO, 35;28045;915146306;
COMPA—IA DE DESTINOS Y SERVICIOS (SMM);MADRID;MADRID;MADRID;C/ PRINCIPE DE VERGARA, 248;28016;915144680;
COMPA—IA DE EDIFICIOS PUBLICOS DE MADRID(BANCO ESPA¥A);MADRID;MADRID;MADRID;C/ ALCALA, 50;28014;913385565;
COMPA—IA DE EL PARDO;MADRID;MADRID;EL PARDO;CTRA. DE COLMENAR, 2;28035;913760524;
COMPA—IA DE GETAFE;MADRID;MADRID;GETAFE; C/ FUENLABRADA, 42;28901;916950170;
COMPA—IA DE MINISTERIO DE DEFENSA;MADRID;MADRID;MADRID; PSO. DE LA CASTELLANA, 109;28046;913955208;
COMPA—ÕA DE MINISTERIO DEL INTERIOR;MADRID;MADRID;MADRID; PSO. DE LA CASTELLANA, 5;28046;912731132;
COMPA—ÕA DE MINISTERIOS;MADRID;MADRID;MADRID; PSO. DE LA CASTELLANA, 67;28046;915977772;
COMPA—IA DE SAN LORENZO DE EL ESCORIAL;MADRID;MADRID;SAN LORENZO DE EL ESCORIAL;C/ MONTE DEL FRAILE, 8;28200;918902611;
COMPA—IA DE SEGURIDAD AEROPUERTO BARAJAS (T-4);MADRID;MADRID;MADRID;DESTACAMENTO DE BARAJAS;28042;917438787;
COMPA—IA DE SEGURIDAD AEROPUERTO BARAJAS (T-4)(CECOM);MADRID;MADRID;MADRID; DESTACAMENTO DE BARAJAS (CECOM);28042;913054370;
COMPA—IA DE TALLERES S.M.M.;MADRID;MADRID;MADRID; C/ PRINCIPE DE VERGARA, 248;28016;915144496;
COMPA—IA PALACIO REAL;MADRID;MADRID;MADRID; C/ BAILEN, S/N;28013;914548893;
COMPA—ÕA DE ESCOLTAS;MADRID;MADRID;MADRID; C/ BATALLA DEL SALADO, 35;28045;915146303;
COMPA—ÕA BASE RETAMARES;MADRID;MADRID;POZUELO DE ALARCON; CTRA. BOADILLA DEL MONTE, KM. 3,400;28223;915126105/06;
DESTO. ARGANDA DEL REY;MADRID;MADRID;ARGANDA DEL REY; C/ REAL, 105;28500;918714721;
DESTO. BARAJAS;MADRID;MADRID;BARAJAS; CAMINO DEL CUARTEL, 4 PORTAL A;28042;917477821;
DESTO. BUITRAGO DE LOZOYA;MADRID;MADRID;BUITRAGO DE LOZOYA; C/ SAN LAZARO, 2;28730;918680736;
DESTO. COLLADO VILLALBA;MADRID;MADRID;COLLADO VILLALBA; CTRA. DE LA GRANJA, 16;28400;918501532;
DESTO. ESPECIAL MADRID NORTE;MADRID;MADRID;MADRID; C/ PRINCIPE DE VERGARA, 246;28016;914577700;
DESTO. ESPECIAL;MADRID;MADRID;MADRID; C/ PRINCIPE DE VERGARA, 246;28016;914577700;EXT. 131,  132 Y 133
DESTO. LEGANES;MADRID;MADRID;LEGANES; C/ PUIG ADAM, 6;28914;916882747-916883495;
DESTO. MADRID ;MADRID;MADRID;MADRID; C/ PRINCIPE DE VERGARA, 246;28016;914577700 EXT. 141, 142 Y 143;
DESTO. MOSTOLES;MADRID;MADRID;MOSTOLES; C/ BECQUER, 7 POSTERIOR;28932;916142408;
DESTO. SEG. MINISTERIO INTERIOR;MADRID;MADRID;MADRID; C/ AMADOR DE LOS RIOS, 7;28071;915371661;
DESTO. VALDEMORO;MADRID;MADRID;VALDEMORO;C/ CAMINO DE PINTO, 2;28342;918099400 EXT. 45745;
EQUIPO P. J. ARROYOMOLINOS/HUMANES;MADRID;MADRID;ARROYOMOLINOS; C/ MADRID, 33;28939;916899612.- EXT. 23 A 26;
EQUIPO P.J. ARGANDA DEL REY;MADRID;MADRID;ARGANDA DEL REY;C/ REAL, 90;28500;918710059;
EQUIPO P.J. PARACUELLOS DE JARAMA;MADRID;MADRID;PARACUELLOS DE JARAMA;C/ GASPAR DE MORALES, S/N;28860;912688692;
EQUIPO P.J. RIVAS-VACIAMADRID;MADRID;MADRID;RIVAS VACIAMADRID;AVDA. 1 DE MAYO, 2;28529;916700259;
ESCUADRON DE CABALLERIA;MADRID;MADRID;VALDEMORO; CTRA. ANDALUCIA KM. 24.500;28342;915146870;
ESCUELA DE DESACTIVACIàN EXPLOSIVOS;MADRID;MADRID;VALDEMORO; CTRA. ANDALUCIA KM. 24.500;28342;915146880;
ESCUELA DE ESPECIALIZACIàN;MADRID;MADRID;VALDEMORO; CTRA. ANDALUCIA KM. 24.500;28342;915146830;
SECCION DE MONTA—A;MADRID;MADRID;NAVACERRADA; CASA CUARTEL, S/N;28470;918521012;
G. R. S. 1;MADRID;MADRID;VALDEMORO; CTRA. ANDALUCIA KM. 24.500;28342;918099409;
I. A. Y EXPLOSIVOS DE SAN LORENZO DE EL ESCORIAL;MADRID;MADRID;SAN LORENZO DE EL ESCORIAL; C/ MONTE DEL FRAILE, 8;28200;918905510;
I. ARMAS Y EXPLOSIVOS DE ALCALA DE HENARES;MADRID;MADRID;ALCALA DE HENARES; AVDA. DE MECO, 1;28005;918306863;
I. ARMAS Y EXPLOSIVOS DE ARGANDA DEL REY;MADRID;MADRID;ARGANDA DEL REY;C/ REAL, 90;28500;918710059;
I. ARMAS DE EL ESCORIAL;MADRID;MADRID;SAN LORENZO DE EL ESCORIAL; C/ MONTE DEL FRAILE, 8;28200;918905510;
I. ARMAS Y EXPLOSIVOS AEROPUERTO BARAJAS;MADRID;MADRID;BARAJAS; AEROPUERTO MADRID-BARAJAS;28022;917466410;
I. ARMAS Y EXPLOSIVOS ALCOBENDAS (COMPA¥IA DE COLMENAR);MADRID;MADRID;ALCOBENDAS; AV. VALDELAPARRA, 124 BAJO EDIFICIO MULTIFUNCIONAL;28100;916621293;
I. ARMAS Y EXPLOSIVOS DE FUENLABRADA;MADRID;MADRID;FUENLABRADA; C/ FRANCIA, 19;28943;916073470;
I. ARMAS Y EXPLOSIVOS DE GETAFE;MADRID;MADRID;GETAFE; C/ FUENLABRADA, 42;28901;916950170;
I. ARMAS Y EXPLOSIVOS DE PARLA;MADRID;MADRID;PARLA; C/ LAGUNA DE VILLAFRANCA DE LOS CABALLEROS, 4;28981;916990102;
I. ARMAS Y EXPLOSIVOS TORREJON DE ARDOZ;MADRID;MADRID;TORREJON DE ARDOZ; AVDA.DE LAS FRONTERAS, 2;28850;916750065- 916764815;
I. ARMAS Y EXPLOSIVOS PUENTE DE VALLECAS;MADRID;MADRID;MADRID;C/ PICOS DE EUROPA, 36;28038;914376612/914376797;
I. C. A. E. (INTERVENCIàN CENTRAL ARMAS Y EXPLOSIVOS);MADRID;MADRID;MADRID; C/ BATALLA DEL SALADO, 32;28045;915146900;
JEF. MATERIAL TRAFICO;MADRID;MADRID;MADRID; C/ EMILIO MU¥OZ, 41;28037;917544739;
JEFATURA AGRUPACION DE TRAFICO;MADRID;MADRID;MADRID; C/ GENERAL DE IBA¥EZ IBERO, 4;28003;915357846;
JEFATURA SERVICIO FISCAL Y AEROPORTUARIO (MANJAS);MADRID;MADRID;BARAJAS; AEROPUERTO MADRID-BARAJAS;28022;913054775;
JEFATURA SERVICIO PROTECCION DE LA NATURALEZA;MADRID;MADRID;MADRID; C/ BATALLA DEL SALADO, 32;28045;915146900;
PALACIO DE LA ZARZUELA;MADRID;MADRID;EL PARDO; CTRA. DEL PARDO, S/N;28071;915992424;
PATRULLA SEPRONA DE EL PARDO;MADRID;MADRID;EL PARDO; CTRA. DE COLMENAR, 2;28035;913760081;NO SE ENCUENTRA ABIERTA LAS 24 HORAS NI LOS 7 DÕAS DE LA SEMANA
POLICIA DE JUDICIAL DE SAN LORENZO DE EL ESCORIAL;MADRID;MADRID;SAN LORENZO DE EL ESCORIAL; C/ MONTE DEL FRAILE, 8;28200;918906902;
PUESTO DE ALCALA DE HENARES;MADRID;MADRID;ALCALA DE HENARES; C/ SIGUENZA, 1;28804;918880157;NO EXISTE
PUESTO DE ALDEA DEL FRESNO;MADRID;MADRID;ALDEA DEL FRESNO; CTRA. DE MADRID, 3;28620;918637018;
PUESTO DE ALGETE;MADRID;MADRID;ALGETE;C/ LIM”N VERDE, 27;28110;916290033;
PUESTO DE ANCHUELO;MADRID;MADRID;ANCHUELO; C/ LAS ESCUELAS, 4;28818;918840102;
PUESTO DE BECERRIL DE LA SIERRA;MADRID;MADRID;BECERRIL DE LA SIERRA; PSO. DE LA ERMITA, 42;28490;918538039;
PUESTO DE BRUNETE;MADRID;MADRID;BRUNETE; REAL DE S.SEBASTIAN, 10;28690;918159036;
PUESTO DE BUITRAGO DE LOZOYA;MADRID;MADRID;BUITRAGO DE LOZOYA; C/ SAN LAZARO, 2;28730;918680030;
PUESTO DE CAMPO REAL;MADRID;MADRID;CAMPO REAL;PASEO DE POZUELO, 2;28510;918733165;
PUESTO DE CARABA—A;MADRID;MADRID;CARABA¥A; C/ REAL, 94;28160;918723007;
PUESTO DE CENICIENTOS;MADRID;MADRID;CENICIENTOS; RONDA DEL ESTE, 35;28650;918642828;
PUESTO DE CERCEDA;MADRID;MADRID;CERCEDA-EL BOALO;AVDA. DE LOS CANTEROS, 12;28412;918574004;
PUESTO DE CERCEDILLA;MADRID;MADRID;CERCEDILLA;AVDA. DE GUADARRAMA, 49;28470;918520137;
PUESTO DE CHINCHON;MADRID;MADRID;CHINCHON; CTRA. VALDELAGUNA, 1;28370;918940008;
PUESTO DE CIEMPOZUELOS;MADRID;MADRID;CIEMPOZUELOS; C/ PADRE BENITO MENNI, 2;28350;918930040;
PUESTO DE COLMENAR DE OREJA;MADRID;MADRID;COLMENAR DE OREJA; C/ PUERTA DE VALENCIA, 1;28380;918943356;
PUESTO DE DAGANZO;MADRID;MADRID;DAGANZO DE ARRIBA; CTRA. DE FRESNO DEL TOROTE A AJALVIR Km. 1,300;28814;918782420;
PUESTO DE EL MOLAR;MADRID;MADRID;EL MOLAR; C/ SAN ISIDRO, 17;28710;918410011;
PUESTO DE ESTREMERA;MADRID;MADRID;ESTREMERA;AVDA. ESPA—A, 17;28595;918721011;
PUESTO DE FUENTIDUE—A DE TAJO;MADRID;MADRID;FUENTIDUE¥A DE TAJO; C/ ELENA SORIANO, 8;28597;918728028;
PUESTO DE GRI—ON;MADRID;MADRID;GRI—ON;C/ VILLAR, 1;28971;918140003;
PUESTO DE GUADARRAMA;MADRID;MADRID;GUADARRAMA; C/ ALFONSO SERNA, 9;28440;918549503;
PUESTO DE HOYO DE MANZANARES;MADRID;MADRID;HOYO DE MANZANARES; CAMINO DE MANZANARES, 26;28240;918566138;
PUESTO DE LOECHES;MADRID;MADRID;LOECHES; C/ MANTECA, 12;28890;918851007;
PUESTO DE LOS MOLINOS;MADRID;MADRID;LOS MOLINOS; TRAVESIA DEL CUARTEL, 2;28460;918550012;
PUESTO DE LOZOYUELA;MADRID;MADRID;LOZOYUELA; AVDA. DE  MADRID, 12;28752;918964008;
PUESTO DE MANZANARES EL REAL;MADRID;MADRID;MANZANARES EL REAL; AVDA. DE MADRID, 28;28410;918530035;
PUESTO DE MECO;MADRID;MADRID;MECO; CAMINO VIRGEN DE LA CABEZA, S/N;28880;918860026;
PUESTO DE MIRAFLORES DE LA SIERRA;MADRID;MADRID;MIRAFLORES DE LA SIERRA; CTRA. BUSTARVIEJO, 65;28792;918443110;
PUESTO DE MORATA DE TAJU—A;MADRID;MADRID;MORATA DE TAJU¥A; PZA. FERNANDO PORRAS, 5;28530;918730022;
PUESTO DE NAVAS DEL REY;MADRID;MADRID;NAVAS DEL REY; PZA. DEL PILAR, 1;28695;918650029;
PUESTO DE PERALES DE TAJU—A;MADRID;MADRID;PERALES DE TAJU—A; C/ MAYOR BAJA, 114;28540;918748065;
PUESTO DE RASCAFRIA;MADRID;MADRID;RASCAFRIA; AVDA. DEL VALLE, 37;28740;918691071;
PUESTO DE ROBLEDO DE CHAVELA;MADRID;MADRID;ROBLEDO DE CHAVELA;C/ DUQUE DE AHUMADA, 1;28294;918995006;
PUESTO DE SAN AGUSTIN DEL GUADALIX;MADRID;MADRID;SAN AGUSTIN DEL GUADALIX; C/ EMILIA PARDO BAZAN, 1;28750;918489974;
PUESTO DE SAN MARTIN DE LA VEGA;MADRID;MADRID;SAN MARTIN DE LA VEGA; AVDA.NICASIO SEVILLA, 1;28330;918945002;
PUESTO DE SAN MARTIN DE VALDEIGLESIAS;MADRID;MADRID;SAN MARTIN DE VALDEIGLESIAS; CTRA. DE AVILA, 3;28680;918676023;
PUESTO DE SOTO DEL REAL;MADRID;MADRID;SOTO DEL REAL; C/ LA ORDEN, 6;28791;918477047;
PUESTO DE TORRELAGUNA;MADRID;MADRID;TORRELAGUNA; PZA. MONTALBAN, 7;28180;918430036;
PUESTO DE TORRELODONES;MADRID;MADRID;TORRELODONES;AVDA. TORRELODONES, 9;28250;918596990;
PUESTO DE VALDEMORILLO;MADRID;MADRID;VALDEMORILLO; C/ SAN JUAN, 22;28210;918977417;
PUESTO DE VALDETORRES DEL JARAMA;MADRID;MADRID;VALDETORRES DEL JARAMA; C/ TORRELAGUNA, 10;28150;918415176;
PUESTO DE VILLA DEL PRADO;MADRID;MADRID;VILLA DEL PRADO;AVDA. JUAN CARLOS I, 32;28630;918620012;
PUESTO DE VILLAMANTA;MADRID;MADRID;VILLAMANTA; C/ SAN BLAS, 28;28610;918136015;
PUESTO DE VILLANUEVA DE LA CA—ADA;MADRID;MADRID;VILLANUEVA DE LA CA¥ADA; PZA. DE LA NORIA, S/N;28691;918157975;
PUESTO DE VILLAREJO DE SALVANES;MADRID;MADRID;VILLAREJO DE SALVANES; C/ ENCOMIENDA, 53;28590;918744036;
PUESTO P. DE ARGANDA DEL REY;MADRID;MADRID;ARGANDA DEL REY; C/ REAL, 90;28500;918710059;
PUESTO P. DE ARROYOMOLINOS- P.P. HUMANES;MADRID;MADRID;ARROYOMOLINOS; C/ MADRID, 33;28939;916899612;
PUESTO P. DE BOADILLA DEL MONTE;MADRID;MADRID;BOADILLA DEL MONTE; PSO. DE MADRID, 1;28660;916332500;
PUESTO P. DE COLLADO VILLALBA;MADRID;MADRID;COLLADO VILLALBA; CTRA. ANTIGUA DE LA GRANJA, KM.40;28400;918500064;
PUESTO P. DE COLMENAR VIEJO;MADRID;MADRID;COLMENAR VIEJO; AVDA.DE LA LIBERTAD, 2;28770;918450163;
PUESTO P. DE SAN LORENZO DE EL ESCORIAL;MADRID;MADRID;SAN LORENZO DE EL ESCORIAL; C/ MONTE DEL FRAILE, 8;28280;918902611;
PUESTO P. DE GALAPAGAR;MADRID;MADRID;GALAPAGAR; CTRA. A VILLALBA, 22;28260;918580031;
 PUESTO P. DE LAS ROZAS;MADRID;MADRID;LAS ROZAS; AVDA.DE ESPA—A, 235;28231;916341414;
PUESTO P. DE MAJADAHONDA;MADRID;MADRID;MAJADAHONDA;C/ JOAQUIN TURINA,2;28220;91602713;
 PUESTO P. DE MEJORADA DEL CAMPO;MADRID;MADRID;MEJORADA DEL CAMPO; C/ JUSTO BASANTA, S/n;28840;916793147;
 PUESTO P. DE NAVALCARNERO;MADRID;MADRID;NAVALCARNERO; C/ DEL CUARTEL, 9;28600;918101036;
PUESTO P. DE PARACUELLOS DE JARAMA;MADRID;MADRID;PARACUELLOS DE JARAMA;C/ GASPAR DE MORALES, S/N;28860;912688692;
 PUESTO P. DE PINTO;MADRID;MADRID;PINTO; PLZ. DE LA GUARDIA CIVIL, 1;28320;916910103;
 PUESTO P. DE RIVAS VACIAMADRID;MADRID;MADRID;RIVAS VACIAMADRID; AVDA. 1 DE MAYO, 2;28529;916700259;
 PUESTO P. DE TRES CANTOS;MADRID;MADRID;TRES CANTOS; C/ SECTOR ESCULTORES, 10;28760;918073900;
 PUESTO P. DE VALDEMORO;MADRID;MADRID;VALDEMORO;CAMINO DE PINTO, 2;28342;918099405;
 PUESTO P. DE VILLAVICIOSA DE ODON;MADRID;MADRID;VILLAVICIOSA DE ODON;AVDA. MADRID, 2;28670;916160814;
 S.E.D.E.X. - NRBQ;MADRID;MADRID;VALDEMORO; CTRA. ANDALUCIA KM. 24.500;28342;915146880-918099408;
 SECCION ADUANA DE ABRO¥IGAL;MADRID;MADRID;MADRID; C/ MENDEZ ALVARO, 84;;914685904;
 SECCION DESGUACES VALDEMORO;MADRID;MADRID;VALDEMORO; CTRA. ANDALUCIA KM. 24.500;28342;915146879;
 SECTOR TRAF. NORTE;MADRID;MADRID;MADRID; C/ PRINCIPE DE VERGARA, 248;28016;914577700;
2™ COMPA—ÕA DE SEGURIDAD PENITENCIARA;MADRID;MADRID;ALCALA DE HENARES; CTRA. ALCALA MECO, KM. 4.500;28005;918887635;
 SEPRONA ALCOBENDAS;MADRID;MADRID;ALCOBENDAS; AV. VALDELAPARRA, 124 BAJO EDIFICIO MULTIFUNCIONAL;28100;916618321;NO SE ENCUENTRA ABIERTA LAS 24 HORAS NI LOS 7 DÕAS DE LA SEMANA
SEPRONA DE ALCAL¡ DE HENARES;MADRID;MADRID;ALCALA DE HENARES;C/ SIG‹ENZA, 1, 1∫ B;28804;918880777/918880157;
SEPRONA DE DAGANZO;MADRID;MADRID;DAGANZO;CTRA. DE FRESNO DEL TOROTE A AJALVIR KM. 1300;28814;918782420;
SEPRONA DE RIVAS-ARGANDA;MADRID;MADRID;RIVAS VACIAMADRID;AVDA. 1 DE MAYO, 2;28529;916700259;
SEPRONA DE SAN LORENZO DE EL ESCORIAL;MADRID;MADRID;SAN LORENZO DE EL ESCORIAL;C/ MONTE FRAILE, 8;28200;918902611;
POLICIA JUDICIAL COLLADO VILLALBA;MADRID;MADRID;COLLADO VILLALBA;CRTA. GRANJA, 16;28400;918500064;
 SERVICIO AEREO (JEFATURA);MADRID;MADRID;TORREJàN DE ARDOZ; CTRA. TORREJON ALJALVIR KM. 2.300;28850;916752299;
 SERVICIO ASUNTOS INTERNOS;MADRID;MADRID;VALDEMORO; CTRA. ANDALUCIA KM. 24.500;28342;918099403;
 SERVICIO CINOLOGICO Y REMONTA;MADRID;MADRID;EL PARDO; CTRA. DE COLMENAR, 2;28048;913762140;
 SERVICIO DE ACCION SOCIAL;MADRID;MADRID;MADRID; C/ PRINCIPE DE VERGARA, 248;28016;915146966;
 SERVICIO DE MATERIAL MOVIL;MADRID;MADRID;MADRID; C/ PRINCIPE DE VERGARA, 248;28016;915146940;
 SERVICIO DE PROTECCI”N DE LA NATURALEZA;MADRID;MADRID;MADRID; C/ BATALLA DEL SALADO, 32;28045;915142400;
 SERVICIO DE RETRIBUCIONES;MADRID;MADRID;VALDEMORO; CTRA. ANDALUCIA KM. 24.500;28342;918099400;
 SUBSECTOR TRAF. NORTE;MADRID;MADRID;MADRID; C/ PRINCIPE DE VERGARA ,248;28016;914577700;
 SUBSECTOR TRAF. SUR;MADRID;MADRID;VALDEMORO; AVDA.  DE ANDALUCIA, 2;28342;918950073;
 U. C. O.;MADRID;MADRID;MADRID; C/ SALINAS DEL ROSIO, 33;28042;915031300;
 U. E. I.;MADRID;MADRID;VALDEMORO; CTRA. ANDALUCIA KM. 25,200;28342;918099404;
 U. SEGURIDAD EL PARDO;MADRID;MADRID;EL PARDO; CUARTEL SAN QUINTIN;28048;913761211;
 U. SEGURIDAD O.T.A.N.;MADRID;MADRID;POZUELO DE ALARCON; CTRA. BOADILLA DEL MONTE, KM. 3,400;28223;915126108;
 U. SEGURIDAD PRESIDENCIA DEL GOB.;MADRID;MADRID;MADRID; PALACIO DE LA  MONCLOA,CTRA DE LA CORU¥A KM. 5;28071;913900272;
 U.P.R.O.S.E.;MADRID;MADRID;MADRID; C/ BATALLA DEL SALADO, 31;28045;915146935;
 UNIDAD ACTIVIDADES SUBACUATICAS;MADRID;MADRID;VALDEMORO; CTRA. ANDALUCIA KM. 24.500;28342;915146867;
 UNIDAD CINOLOGICA CENTRAL;MADRID;MADRID;EL PARDO; CTRA. DE COLMENAR, 2;28048;913762140;
 UNIDAD DE SEGURIDAD EDIFICIO DE INVESTIGACION;MADRID;MADRID;MADRID; C/ SALINAS DEL ROSIO, 33-35;28042;915031485-915031175;
 UNIDAD TECNICA NRBQ;MADRID;MADRID;VALDEMORO; CTRA. ANDALUCIA KM. 24.500;28342;915146884;
 VESTUARIO VALDEMORO;MADRID;MADRID;VALDEMORO; CTRA. ANDALUCIA KM. 24.500;28342;915146819;
 ZONA MADRID;MADRID;MADRID;MADRID; C/ BATALLA DEL SALADO, 32;28045;915146900;
 C.O.S.;CASTILLA LA MANCHA;TOLEDO;TOLEDO; AVDA. DE BARBER, 42;45004;925281181;
 CMDA. TOLEDO;CASTILLA LA MANCHA;TOLEDO;TOLEDO; AVDA. DE BARBER, 42;45004;925225900;
 COMPA—IA DE MORA;CASTILLA LA MANCHA;TOLEDO;MORA;PSO. DE LAS DELICIAS, 36;45400;925300067;
 COMPA—IA DE OCA—A;CASTILLA LA MANCHA;TOLEDO;OCA¥A;AVDA JOSE ANTONIO N 2;45300;925130068;
 COMPA—IA DE TALAVERA DE LA REINA;CASTILLA LA MANCHA;TOLEDO;TALAVERA DE LA REINA; AVDA. PIO XII, 12;45600;925720183;
 COMPA—IA DE TOLEDO;CASTILLA LA MANCHA;TOLEDO;TOLEDO; AVDA. DE BARBER, 42;45004;925225900;
