AREF;C_INE;C_COMUNI;CODI;CCAA_C_COMUNI;NOM_COMUNI;C_PROVIN;PROVINCIA;CODIGOYNOMBREPROV;C_TIPOFICH;MUNINENOMBRE;ULT_REVISION;UURBANAS;V_CATASTRAL;V_CONSTRUCCION;V_SUELO;SUPERF_URB;PARCELAS_URB;UU_ALMACEN;V_CAT_ALMACEN;UU_COMERCIAL;V_CAT_COMERCIAL;UU_CULTURAL;V_CAT_CULTURAL;UU_HOSTELERIA;V_CAT_HOSTELERIA;UU_INDUSTRIAL;V_CAT_INDUSTRIAL;UU_DEPORTIVO;V_CAT_DEPORTIVO;UU_SOLAR;V_CAT_SOLAR;UU_OFICINAS;V_CAT_OFICINAS;UU_SINGULAR;V_CAT_SINGULAR;UU_RELIGIOSO;V_CAT_RELIGIOSO;UU_ESPECTACULOS;V_CAT_ESPECTACULOS;UU_RES;V_CAT_RES;UU_SANIDAD;V_CAT_SANIDAD
2019;02024;06;022024;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Casas-Ibáñez;2,004;4,040;189,397,988;105,056,669;84,341,319;1,296,520;2,856;252;2,449,470;96;4,903,370;5;5,852,707;29;4,153,925;533;30,607,463;11;1,069,239;461;11,376,372;18;1,549,699;1;317,008;3;322,095;3;3,907,308;2,622;120,246,031;6;2,643,301
2019;02025;06;022025;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Caudete;2,013;9,143;369,538,138;242,336,213;127,201,926;2,705,678;3,186;2,702;26,671,275;224;14,043,030;10;4,960,206;13;2,321,388;340;33,532,366;12;13,009,171;571;27,193,374;34;4,488,414;7;2,142,445;6;1,309,292;1;152,186;5,212;235,964,224;11;3,750,767
2019;02026;06;022026;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Cenizate;2,007;954;33,483,068;22,677,606;10,805,461;458,128;901;31;517,302;6;209,989;0;0;1;81,126;107;3,451,801;4;1,044,065;195;3,257,461;3;305,261;2;392,583;2;112,108;2;150,947;601;23,960,424;0;0
2019;02027;06;022027;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Corral-Rubio;2,008;459;9,693,096;7,292,346;2,400,749;348,458;452;10;72,793;3;66,031;3;202,835;38;146,115;54;645,212;3;1,732,392;54;627,406;1;14,958;1;23,287;3;87,901;0;0;288;6,033,671;1;40,494
2019;02028;06;022028;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Cotillas;2,013;297;5,482,383;5,221,134;261,249;53,645;286;8;44,728;0;0;0;0;0;0;59;305,067;1;32,834;19;49,050;0;0;1;53,511;1;14,711;0;0;206;4,931,065;2;51,419
2019;02029;06;022029;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Chinchilla de Monte-Aragón;2,011;5,844;337,405,223;162,752,495;174,652,727;7,125,767;2,994;1,327;13,226,762;34;3,667,861;10;4,021,023;33;1,539,092;621;78,685,391;12;3,927,003;852;66,577,571;51;11,260,153;2;526,431;16;2,865,784;2;1,454,597;2,880;145,935,047;4;3,718,507
2019;02030;06;022030;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Elche de la Sierra;2,003;5,123;175,668,470;115,394,895;60,273,575;1,274,743;3,837;443;6,278,589;102;5,596,503;8;5,321,543;6;962,921;614;18,664,769;19;1,249,709;529;14,213,822;9;664,700;2;565,788;7;964,134;2;333,033;3,379;120,468,762;3;384,197
2019;02031;06;022031;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Férez;2,014;748;17,267,175;16,179,619;1,087,556;97,793;631;89;837,549;8;210,317;2;291,403;1;26,854;3;34,726;2;118,674;55;127,706;1;13,184;1;32,660;2;107,141;0;0;583;15,443,484;1;23,477
2019;02032;06;022032;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Fuensanta;1,990;791;18,520,719;14,168,299;4,352,420;286,306;712;4;62,879;4;92,434;0;0;3;477,130;134;1,912,795;4;241,753;120;592,242;1;34,152;1;39,823;2;293,825;0;0;518;14,773,685;0;0
2019;02033;06;022033;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Fuente-Álamo;1,995;2,366;74,440,886;55,256,465;19,184,421;966,411;2,176;168;2,032,371;28;1,440,542;5;2,718,847;4;1,199,021;241;7,837,124;15;1,190,729;374;3,574,455;2;113,932;1;202,903;1;107,542;1;79,466;1,525;53,821,905;1;122,050
2019;02034;06;022034;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Fuentealbilla;2,014;1,785;60,474,094;47,202,055;13,272,039;499,405;1,498;93;1,065,771;18;1,002,043;6;1,476,232;3;250,974;243;5,650,900;4;271,470;261;3,543,063;3;259,106;2;220,345;3;142,403;0;0;1,148;46,578,860;1;12,926
2019;02035;06;022035;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Gineta (La);2,013;2,316;124,293,185;81,024,131;43,269,055;1,992,121;1,871;208;3,364,456;18;1,214,278;3;736,259;3;2,088,734;254;22,320,347;9;3,352,142;368;6,739,435;16;1,520,413;1;297,912;1;150,503;3;1,048,731;1,430;80,757,227;2;702,750
2019;02036;06;022036;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Golosalvo;1,990;174;3,060,182;2,393,791;666,391;72,708;164;6;58,023;1;31,076;0;0;2;160,131;37;371,526;1;27,375;19;122,306;1;31,177;0;0;1;44,507;0;0;106;2,214,061;0;0
2019;02037;06;022037;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Hellín;2,013;23,065;935,160,223;547,808,960;387,351,262;7,735,899;10,745;4,133;52,551,181;625;36,326,861;45;30,027,095;28;6,546,136;1,600;82,680,126;35;13,388,733;2,472;74,613,046;92;4,861,499;21;9,314,967;25;3,929,665;4;268,457;13,960;603,197,282;25;17,455,175
2019;02038;06;022038;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Herrera (La);2,014;576;12,413,139;8,979,330;3,433,809;766,557;544;32;209,455;0;0;2;481,730;1;71,927;60;1,321,304;2;486,089;231;1,840,113;0;0;2;278,619;1;36,084;0;0;244;7,655,968;1;31,851
2019;02039;06;022039;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Higueruela;2,011;1,302;49,770,741;28,933,898;20,836,842;444,122;1,225;176;2,416,579;5;181,113;4;1,591,774;3;530,982;36;1,832,844;5;1,375,637;216;4,472,880;3;123,702;2;371,092;3;131,183;1;84,663;847;35,284,717;1;1,373,573
2019;02040;06;022040;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Hoya-Gonzalo;2,016;636;18,092,746;13,753,258;4,339,488;411,332;615;9;110,164;3;51,347;4;375,585;0;0;88;1,361,297;2;882,061;142;1,383,390;1;11,367;2;155,884;3;324,465;0;0;381;13,380,391;1;56,794
2019;02041;06;022041;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Jorquera;2,008;765;18,297,000;10,563,138;7,733,862;166,286;722;35;257,928;1;7,653;2;108,417;1;69,600;104;800,320;1;153,804;125;2,275,088;3;79,310;1;140,599;2;222,241;0;0;487;14,127,034;3;55,007
2019;02042;06;022042;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Letur;2,014;1,526;32,766,812;28,970,853;3,795,959;414,966;1,390;24;364,579;7;211,934;4;667,927;9;669,649;243;2,255,722;6;353,516;231;1,655,146;2;27,698;2;50,466;4;114,267;0;0;990;26,264,835;4;131,076
2019;02043;06;022043;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Lezuza;1,994;2,002;47,338,537;27,901,776;19,436,760;984,319;1,912;83;841,050;6;134,604;4;1,805,510;5;474,339;295;7,136,943;6;1,357,126;253;2,685,421;2;20,542;2;171,905;7;364,529;2;221,158;1,333;31,796,307;3;309,549
2019;02044;06;022044;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Liétor;2,013;1,679;44,336,734;28,678,513;15,658,221;305,565;1,482;151;1,960,335;16;403,757;3;346,059;2;262,456;214;2,512,010;6;430,150;136;2,101,216;1;86,477;1;70,375;5;346,461;1;283,106;1,141;35,414,851;2;119,482
2019;02045;06;022045;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Madrigueras;2,005;4,042;215,897,626;109,240,445;106,657,181;1,277,922;3,404;202;5,302,481;40;3,456,266;5;4,556,266;9;560,293;883;44,144,456;21;3,085,137;522;15,855,421;9;719,987;1;179,690;2;399,517;3;382,289;2,339;134,860,235;6;2,395,587
2019;02046;06;022046;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Mahora;2,009;1,381;60,664,299;33,224,218;27,440,081;562,198;1,122;99;803,928;8;403,641;1;82,701;7;791,851;165;4,931,824;1;1,010,353;142;3,356,031;2;121,308;1;212,328;0;0;1;379,003;951;47,919,012;3;652,320
2019;02047;06;022047;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Masegoso;1,990;469;7,296,817;6,258,850;1,037,967;106,438;452;11;64,583;0;0;1;2,605;0;0;104;944,078;8;290,763;69;126,685;1;76,086;0;0;4;64,452;3;201,520;268;5,526,045;0;0
2019;02048;06;022048;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Minaya;2,008;1,643;51,862,823;37,062,716;14,800,107;789,589;1,560;59;670,746;6;334,056;2;406,681;4;665,063;278;5,448,196;3;1,055,593;176;2,371,658;3;63,979;1;223,647;2;172,148;1;131,405;1,107;40,173,771;1;145,882
2019;02049;06;022049;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Molinicos;2,015;2,138;44,106,455;38,688,925;5,417,530;257,850;1,947;48;662,082;10;366,075;10;609,856;4;471,768;501;3,375,683;2;185,922;224;556,944;1;4,602;1;210,725;6;180,470;0;0;1,328;37,285,107;3;197,220
2019;02050;06;022050;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Montalvos;2,007;580;15,592,598;2,992,461;12,600,137;449,283;570;3;17,951;0;0;0;0;2;760,103;66;852,536;0;0;390;9,648,793;0;0;1;239,310;1;22,273;0;0;117;4,051,632;0;0
2019;02051;06;022051;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Montealegre del Castillo;2,007;1,815;80,683,640;41,896,440;38,787,200;848,117;1,379;246;3,167,837;22;1,516,291;1;502,237;4;749,171;127;10,953,741;3;1,225,005;252;8,188,110;2;167,386;2;862,553;1;84,812;0;0;1,153;51,996,661;2;1,269,837
2019;02052;06;022052;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Motilleja;2,011;783;39,936,081;17,226,265;22,709,815;301,497;684;97;2,545,026;1;20,550;1;204,035;1;115,938;35;2,068,453;4;1,081,351;147;4,325,995;1;42,278;0;0;1;81,043;1;159,267;493;29,166,643;1;125,501
2019;02053;06;022053;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Munera;1,994;3,525;115,727,743;77,173,686;38,554,058;1,073,684;2,976;394;4,800,324;52;2,260,515;2;1,010,692;5;1,166,734;194;7,344,492;10;3,501,804;369;4,622,246;5;192,620;3;671,021;2;246,479;1;555,308;2,486;89,121,819;2;233,689
2019;02054;06;022054;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Navas de Jorquera;2,009;584;12,049,195;7,151,554;4,897,641;242,637;555;53;358,147;3;57,723;1;163,788;4;115,987;94;1,385,496;2;119,853;102;1,086,337;0;0;0;0;2;172,308;1;24,448;321;8,433,784;1;131,324
2019;02055;06;022055;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Nerpio;2,007;1,928;54,474,511;30,989,265;23,485,245;426,393;1,627;173;1,418,803;10;315,634;6;1,167,023;4;1,442,796;375;2,761,951;5;386,869;190;7,999,665;3;68,337;3;280,957;6;312,720;0;0;1,147;37,959,961;5;181,904
2019;02056;06;022056;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Ontur;2,007;1,900;54,573,259;39,123,356;15,449,903;585,764;1,626;138;1,366,298;20;788,999;4;747,452;4;92,398;183;2,995,071;6;943,232;299;3,617,979;2;134,879;3;891,334;2;125,684;1;139,082;1,237;42,706,363;1;24,489
2019;02057;06;022057;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Ossa de Montiel;2,008;2,468;69,436,912;40,851,279;28,585,634;1,419,704;2,232;23;294,092;18;785,477;3;1,307,667;19;2,392,767;292;4,898,661;2;431,324;479;10,003,135;1;32,034;1;53,852;0;0;0;0;1,628;49,015,190;2;222,713
2019;02058;06;022058;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Paterna del Madera;2,007;748;16,789,710;8,546,384;8,243,326;146,750;593;98;874,082;4;85,388;1;85,962;2;216,056;21;266,472;3;110,460;106;1,998,788;2;86,451;0;0;1;54,093;1;163,679;509;12,848,280;0;0
2019;02059;06;022059;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Peñascosa;2,010;650;13,497,788;9,008,537;4,489,251;168,130;635;119;780,530;0;0;7;224,310;1;112,233;37;705,688;3;662,292;119;945,554;0;0;1;36,611;4;52,835;1;27,127;357;9,890,352;1;60,257
2019;02060;06;022060;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Peñas de San Pedro;1,994;1,544;21,382,710;15,582,496;5,800,214;584,270;1,447;73;271,616;2;21,431;2;581,759;6;687,914;265;3,093,428;5;507,513;206;1,030,258;3;54,505;2;203,052;7;263,855;0;0;972;14,661,172;1;6,206
2019;02061;06;022061;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Pétrola;2,010;987;29,038,805;18,317,106;10,721,699;323,954;932;59;855,039;1;16,782;1;132,034;5;876,298;152;2,499,747;3;851,375;107;1,559,803;1;29,991;3;57,968;2;134,331;1;88,880;651;21,882,383;1;54,173
2019;02062;06;022062;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Povedilla;2,015;591;12,939,869;11,155,761;1,784,108;133,773;537;52;449,573;2;52,599;1;120,047;1;106,009;65;1,007,747;0;0;63;272,424;1;24,486;1;66,190;1;33,953;0;0;402;10,248,604;2;558,238
2019;02063;06;022063;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Pozohondo;1,994;2,257;70,818,848;52,642,528;18,176,320;950,835;2,057;101;1,363,746;10;463,236;4;855,061;8;660,781;502;10,830,780;8;1,888,940;219;2,391,781;2;80,485;1;178,052;5;317,013;3;381,930;1,392;51,149,102;2;257,941
2019;02064;06;022064;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Pozo-Lorente;2,007;558;13,523,907;8,885,879;4,638,028;273,836;529;22;187,474;2;43,835;0;0;1;26,851;80;927,016;2;284,388;97;2,085,392;0;0;3;408,157;0;0;0;0;350;9,505,824;1;54,971
2019;02065;06;022065;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Pozuelo;2,012;724;19,079,956;15,355,452;3,724,505;464,388;670;76;1,010,964;7;308,218;2;281,259;2;232,402;97;1,275,833;3;412,834;115;1,068,359;2;249,814;1;104,199;2;40,302;0;0;416;14,082,553;1;13,222
2019;02066;06;022066;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Recueja (La);1,990;394;6,284,985;5,245,224;1,039,761;52,847;356;18;104,000;1;12,196;2;128,471;0;0;62;543,580;2;81,700;19;123,195;0;0;0;0;2;80,875;0;0;287;5,196,049;1;14,920
2019;02067;06;022067;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Riópar;1,990;2,365;51,651,638;44,600,191;7,051,446;813,092;1,839;107;967,070;27;830,384;3;274,378;16;2,538,917;156;1,831,772;12;298,457;417;1,944,947;4;61,542;5;354,777;1;107,638;1;27,590;1,613;42,005,147;3;409,018
2019;02068;06;022068;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Robledo;2,010;770;24,287,841;13,012,196;11,275,645;746,474;749;36;357,151;2;69,003;2;255,659;2;504,142;92;5,719,621;3;1,011,490;218;1,535,355;1;26,389;2;81,343;3;64,038;0;0;407;14,525,779;2;137,872
2019;02069;06;022069;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Roda (La);1,996;13,491;502,323,435;360,909,101;141,414,334;5,096,330;6,180;2,977;24,070,517;369;22,403,223;15;8,227,071;18;5,240,997;838;77,252,437;48;9,383,416;603;10,329,001;56;3,306,770;8;2,874,501;8;704,356;4;1,167,383;8,532;331,071,292;15;6,292,470
2019;02070;06;022070;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Salobre;2,007;896;27,808,074;20,125,806;7,682,268;317,161;851;114;1,016,619;1;12,361;1;16,657;3;475,266;21;379,698;3;349,631;142;1,544,436;2;81,740;3;207,422;2;66,375;1;230,505;601;17,939,899;2;5,487,465
2019;02071;06;022071;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;San Pedro;2,007;1,322;46,248,324;26,394,556;19,853,768;638,767;1,195;58;997,418;4;108,762;2;791,240;1;802,825;127;3,274,719;1;181,944;343;5,926,353;0;0;0;0;2;105,913;0;0;782;33,863,101;2;196,050
2019;02072;06;022072;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Socovos;2,008;2,045;61,400,868;34,375,230;27,025,637;503,956;1,976;58;783,595;15;779,904;5;1,339,901;5;692,066;339;4,591,460;2;519,713;399;8,290,488;4;99,883;2;145,685;2;101,610;0;0;1,211;43,075,286;3;981,278
2019;02073;06;022073;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Tarazona de la Mancha;2,002;5,624;278,222,767;195,820,624;82,402,143;1,580,074;3,831;440;6,745,283;72;4,699,117;4;2,859,748;8;1,987,519;1,006;53,727,590;17;3,394,420;514;12,524,643;9;872,137;2;753,476;7;1,240,373;1;60,719;3,541;184,164,017;3;5,193,725
2019;02074;06;022074;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Tobarra;2,002;9,007;275,844,927;209,135,765;66,709,162;3,182,079;6,047;1,429;12,860,113;214;11,381,536;10;5,095,570;14;3,715,557;417;17,893,572;65;5,014,694;1,302;17,484,353;17;881,349;2;690,723;14;1,597,178;1;39,964;5,512;192,331,412;10;6,858,906
2019;02075;06;022075;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Valdeganga;2,008;1,866;84,070,312;40,375,592;43,694,720;581,086;1,669;73;864,032;18;1,267,931;3;565,727;5;2,601,224;210;3,947,964;3;1,396,916;396;11,267,635;1;14,931;0;0;0;0;0;0;1,156;62,058,075;1;85,877
2019;02076;06;022076;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Vianos;2,010;588;12,894,712;9,334,548;3,560,164;160,690;582;35;220,307;1;7,462;0;0;3;66,480;80;769,172;1;356,311;60;534,324;1;12,941;1;45,322;2;243,121;0;0;402;10,255,050;2;384,223
2019;02077;06;022077;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Villa de Ves;2,011;269;3,929,251;2,978,578;950,674;114,869;266;43;207,667;0;0;2;139,187;0;0;21;143,503;3;197,265;57;326,515;0;0;0;0;1;14,638;0;0;142;2,900,476;0;0
2019;02078;06;022078;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Villalgordo del Júcar;2,007;1,058;36,164,782;22,991,735;13,173,047;359,638;942;80;815,056;4;161,814;2;2,484,641;4;385,273;134;3,043,583;5;91,141;79;1,534,224;0;0;1;149,696;1;122,485;0;0;747;27,212,952;1;163,916
