CÓDIGO,C.P.,POBLACION,PROVINCIA,CERCANIAS,FEVE,AVE,numero_estaciones
74204,22800,ayerbe,huesca,NO,NO,NO,1
70105,19200,azuqueca_de_henares,guadalajara,SI,NO,NO,1
20312,27371,begonte,lugo,NO,NO,NO,1
34012,37330,babilafuente,salamanca,NO,NO,NO,1
37606,6006,badajoz,badajoz,NO,NO,NO,1
79404,8911,badalona,barcelona,SI,NO,NO,1
67015,50491,badules,zaragoza,NO,NO,NO,1
70300,19295,baides,guadalajara,NO,NO,NO,1
5361,33682,mieres,asturias,NO,SI,NO,11
13115,48498,arrankudiaga,bizkaia,SI,NO,NO,3
77106,8554,balenya,barcelona,SI,NO,NO,1
77107,8554,seva,barcelona,SI,NO,NO,1
5263,33158,cudillero,asturias,NO,SI,NO,11
5483,48800,balmaseda,bizkaia,NO,SI,NO,2
5565,33595,llanes,asturias,NO,SI,NO,11
61303,30591,torre_pacheco,murcia,NO,NO,NO,2
21007,15528,fene,coruna_a,NO,NO,NO,2
22101,32450,cenlle,ourense,NO,NO,NO,1
78705,8210,barbera_del_valles,barcelona,SI,NO,NO,1
79009,8026,barcelona,barcelona,SI,NO,NO,10
79400,8003,barcelona,barcelona,SI,NO,NO,10
71802,8007,barcelona,barcelona,SI,NO,NO,10
79004,8030,barcelona,barcelona,SI,NO,NO,10
71801,8014,barcelona,barcelona,SI,NO,SI,10
14206,39420,barcena_de_pie_de_concha,cantabria,SI,NO,NO,2
5273,33787,valdes,asturias,NO,SI,NO,7
22006,32950,coles,ourense,NO,NO,NO,1
67208,12420,barracas,castellon,NO,NO,NO,1
5619,39300,torrelavega,cantabria,NO,SI,NO,7
5441,33970,laviana,asturias,NO,SI,NO,2
5183,27792,barreiros,lugo,NO,SI,NO,2
20006,24394,valderrey,leon,NO,NO,NO,1
5764,24877,ercina_la,leon,NO,SI,NO,3
5805,24852,bonar,leon,NO,SI,NO,2
16006,33934,langreo,asturias,SI,NO,NO,9
13112,48970,basauri,bizkaia,SI,NO,NO,3
5455,48013,bilbao,bizkaia,NO,SI,NO,14
11404,20200,beasain,gipuzkoa,SI,NO,NO,1
15003,34310,becerril_de_campos,palencia,NO,NO,NO,1
5323,33129,pravia,asturias,NO,SI,NO,6
51111,41703,sevilla,sevilla,SI,NO,NO,10
78402,25220,bell_lloc_d_urgell,lleida,NO,NO,NO,1
78406,25250,bellpuig,lleida,NO,NO,NO,1
71708,8901,hospitalet_de_llobregat_l_,barcelona,SI,NO,NO,2
42019,21500,san_bartolome_de_la_torre,huelva,NO,NO,NO,1
5557,33591,llanes,asturias,NO,SI,NO,11
20111,24300,bembibre,leon,NO,NO,NO,1
43005,41805,benacazon,sevilla,SI,NO,NO,1
54511,29631,benalmadena,malaga,SI,NO,NO,2
56103,18510,benalua,granada,NO,NO,NO,1
55010,29370,benaojan,malaga,NO,NO,NO,1
5415,33937,siero,asturias,NO,SI,NO,17
65311,12580,benicarlo,castellon,NO,NO,NO,1
65318,12560,benicasim,castellon,NO,NO,NO,1
62001,30130,beniel,murcia,SI,NO,NO,1
64107,46450,benifaio,valencia,SI,NO,NO,1
69002,46830,beniganim,valencia,NO,NO,NO,1
5677,39730,hazas_de_cesto,cantabria,NO,SI,NO,1
5730,9569,espinosa_de_los_monteros,burgos,NO,SI,NO,4
21001,15319,betanzos,coruna_a,NO,NO,NO,2
20400,15319,betanzos,coruna_a,NO,NO,NO,2
5605,39100,santa_cruz_de_bezana,cantabria,NO,SI,NO,2
13113,48970,basauri,bizkaia,SI,NO,NO,3
5165,27890,cervo,lugo,NO,SI,NO,3
5451,48003,bilbao,bizkaia,NO,SI,NO,14
11503,20150,villabona,gipuzkoa,SI,NO,NO,1
78302,22500,binefar,huesca,NO,NO,NO,1
79606,17300,blanes,girona,SI,NO,NO,1
5439,33960,san_martin_del_rey_aurelio,asturias,NO,SI,NO,7
54400,29540,antequera,malaga,NO,NO,NO,3
5480,48860,zalla,bizkaia,NO,SI,NO,7
5766,24850,bonar,leon,NO,SI,NO,2
14219,39691,astillero_el,cantabria,SI,NO,NO,4
5609,39478,pielagos,cantabria,NO,SI,NO,5
79302,17462,bordils,girona,NO,NO,NO,1
77112,8571,sant_vicenc_de_torello,barcelona,SI,NO,NO,1
20104,24360,villagaton,leon,NO,NO,NO,1
37302,13450,brazatortas,ciudad_real,NO,NO,NO,1
50702,41310,brenes,sevilla,SI,NO,NO,1
11305,20220,onati,gipuzkoa,SI,NO,NO,1
11109,9240,briviesca,burgos,NO,NO,NO,1
70503,50239,bubierca,zaragoza,NO,NO,NO,1
69005,46891,bufali,valencia,NO,NO,NO,1
66206,46370,bunol,valencia,SI,NO,NO,3
5171,27880,burela,lugo,NO,SI,NO,1
11014,9006,burgos,burgos,NO,NO,NO,1
65207,12530,borriana,castellon,SI,NO,NO,1
15113,24690,villamanin,leon,NO,NO,NO,2
21005,15621,cabanas,coruna_a,NO,NO,NO,1
5385,33686,aller,asturias,NO,SI,NO,9
31109,49592,riofrio_de_aliste,zamora,NO,NO,NO,3
81209,50638,cabanas_de_ebro,zaragoza,NO,NO,NO,1
5739,9572,valle_de_valdebezana,burgos,NO,SI,NO,2
37311,6600,cabeza_del_buey,badajoz,NO,NO,NO,2
5637,39500,cabezon_de_la_sal,cantabria,NO,SI,NO,4
10602,47260,cabezon_de_pisuerga,valladolid,NO,NO,NO,1
5377,33684,aller,asturias,NO,SI,NO,9
56009,23590,cabra_del_santo_cristo,jaen,NO,NO,NO,1
79412,8349,vilassar_de_mar,barcelona,SI,NO,NO,2
35400,10005,caceres,caceres,NO,NO,NO,2
5727,9589,valle_de_mena,burgos,NO,SI,NO,4
5267,33788,valdes,asturias,NO,SI,NO,7
51405,11006,cadiz,cadiz,SI,NO,SI,5
78503,8280,calaf,barcelona,NO,NO,NO,2
71601,43820,calafell,tarragona,SI,NO,NO,2
81108,26500,calahorra,rioja_la,NO,NO,NO,1
67021,44200,calamocha,teruel,NO,NO,NO,4
40002,6810,calamonte,badajoz,NO,NO,NO,1
42015,21300,calanas,huelva,NO,NO,NO,3
61009,30420,calasparra,murcia,NO,NO,NO,1
70600,50300,calatayud,zaragoza,NO,NO,SI,2
70701,50280,calatorao,zaragoza,NO,NO,NO,1
74209,22624,caldearenas,huesca,NO,NO,NO,2
22110,36729,tui,pontevedra,NO,NO,NO,3
79203,17455,caldes_de_malavella,girona,NO,NO,NO,1
79502,8393,caldes_d_estrac,barcelona,SI,NO,NO,1
79603,8370,calella,barcelona,SI,NO,NO,1
62003,3360,callosa_de_segura,alicante,SI,NO,NO,1
15401,33211,gijon,asturias,SI,NO,NO,11
79305,17465,saus_camallera_i_llampaies,girona,NO,NO,NO,1
5555,33568,ribadesella,asturias,NO,SI,NO,5
65403,43894,camarles,tarragona,NO,NO,NO,1
43002,41900,camas,sevilla,SI,NO,NO,1
20403,15660,cambre,coruna_a,NO,NO,NO,2
65409,43850,cambrils,tarragona,NO,NO,NO,1
67100,44350,caminreal,teruel,NO,NO,NO,1
4104,43765,tarragona,tarragona,NO,NO,SI,2
37404,6460,campanario,badajoz,NO,NO,NO,1
54410,29196,malaga,malaga,SI,NO,NO,8
77301,17530,campdevanol,girona,SI,NO,NO,1
32001,47460,campillo_el,valladolid,NO,NO,NO,1
55001,29320,campillos,malaga,NO,NO,NO,1
60402,13610,campo_de_criptana,ciudad_real,NO,NO,NO,1
5789,24849,vecilla_la,leon,NO,SI,NO,3
15120,33620,lena,asturias,SI,NO,NO,7
66112,46330,camporrobles,valencia,NO,NO,NO,1
65401,43897,tortosa,tarragona,NO,NO,NO,2
50417,14014,cordoba,cordoba,NO,NO,NO,2
22001,27440,sober,lugo,NO,NO,NO,2
16302,33470,corvera_de_asturias,asturias,SI,NO,NO,6
5211,33430,carreno,asturias,NO,SI,NO,7
5210,33430,carreno,asturias,NO,SI,NO,7
5271,33787,valdes,asturias,NO,SI,NO,7
79601,8360,canet_de_mar,barcelona,SI,NO,NO,1
74217,22880,canfranc,huesca,NO,NO,NO,1
5173,27892,foz,lugo,NO,SI,NO,5
51112,41702,dos_hermanas,sevilla,SI,NO,NO,2
32004,37400,cantalapiedra,salamanca,NO,NO,NO,1
50701,41320,cantillana,sevilla,SI,NO,NO,1
66103,16340,canada_del_hoyo,cuenca,NO,NO,NO,1
35303,10820,canaveral,caceres,NO,NO,NO,1
71302,43776,capcanes,tarragona,NO,NO,NO,1
5529,33520,nava,asturias,NO,SI,NO,5
31104,49160,carbajales_de_alba,zamora,NO,NO,NO,1
5417,33936,siero,asturias,NO,SI,NO,17
66104,16350,carboneras_de_guadazaon,cuenca,NO,NO,NO,1
64103,46740,carcaixent,valencia,SI,NO,NO,1
79101,8440,cardedeu,barcelona,SI,NO,NO,1
34002,5320,cardenosa,avila,NO,NO,NO,1
67010,50400,carinena,zaragoza,NO,NO,NO,1
70208,19247,espinosa_de_henares,guadalajara,NO,NO,NO,2
43008,41820,carrion_de_los_cespedes,sevilla,NO,NO,NO,1
5435,33945,san_martin_del_rey_aurelio,asturias,NO,SI,NO,7
61307,30203,cartagena,murcia,NO,NO,NO,12
5951,30202,cartagena,murcia,NO,SI,NO,12
54408,29580,cartama,malaga,SI,NO,NO,2
5289,33719,coana,asturias,NO,SI,NO,3
51050,41092,sevilla,sevilla,SI,NO,NO,10
54513,29640,fuengirola,malaga,SI,NO,NO,4
5631,39591,cabezon_de_la_sal,cantabria,NO,SI,NO,4
35302,10592,casas_de_millan,caceres,NO,NO,NO,1
35207,10520,casatejada,caceres,NO,NO,NO,1
4040,50011,zaragoza,zaragoza,SI,NO,SI,5
71204,50700,caspe,zaragoza,NO,NO,NO,2
81200,31590,castejon,navarra,NO,NO,NO,1
78605,8296,castellbell_i_el_vilar,barcelona,SI,NO,NO,1
72210,8755,castellbisbal,barcelona,SI,NO,NO,1
71705,8860,castelldefels,barcelona,SI,NO,NO,2
78405,25265,castellnou_de_seana,lleida,NO,NO,NO,1
65300,12006,castellon_de_la_plana,castellon,SI,NO,NO,1
74214,22710,castiello_de_jaca,huesca,NO,NO,NO,1
66013,16541,huete,cuenca,NO,NO,NO,2
60202,28300,aranjuez,madrid,NO,NO,NO,2
5750,34850,castrejon_de_la_pena,palencia,NO,SI,NO,1
5299,33769,castropol,asturias,NO,SI,NO,5
37402,6420,castuera,badajoz,NO,NO,NO,1
64201,46470,catarroja,valencia,SI,NO,NO,1
23009,36612,catoira,pontevedra,NO,NO,NO,1
5371,33619,mieres,asturias,NO,SI,NO,11
60901,2660,caudete,albacete,NO,NO,NO,1
67211,12440,caudiel,castellon,SI,NO,NO,1
40113,41370,cazalla_de_la_sierra,sevilla,SI,NO,NO,1
5603,39011,santander,cantabria,NO,SI,NO,8
20402,15650,cambre,coruna_a,NO,NO,NO,2
5527,33582,nava,asturias,NO,SI,NO,5
5667,39724,medio_cudeyo,cantabria,NO,SI,NO,4
67107,44370,cella,teruel,NO,NO,NO,1
5567,33595,llanes,asturias,NO,SI,NO,11
79301,17460,celra,girona,NO,NO,NO,1
77105,8540,centelles,barcelona,SI,NO,NO,1
5204,33211,gijon,asturias,NO,SI,NO,11
31416,15188,cerceda,coruna_a,NO,NO,SI,1
12006,28470,cercedilla,madrid,SI,NO,NO,2
78706,8290,cerdanyola_del_valles,barcelona,SI,NO,NO,2
72503,8290,cerdanyola_del_valles,barcelona,SI,NO,NO,2
5127,15563,cerdido,coruna_a,NO,SI,NO,2
5799,24893,prado_de_la_guzpena,leon,NO,SI,NO,3
78500,25200,cervera,lleida,NO,NO,NO,1
23001,36693,redondela,pontevedra,NO,NO,NO,4
20319,15391,oza_cesuras,coruna_a,NO,NO,NO,3
70501,50292,cetina,zaragoza,NO,NO,NO,1
66208,46380,cheste,valencia,SI,NO,NO,1
65204,12592,chilches,castellon,SI,NO,NO,1
66016,16190,chillaron_de_cuenca,cuenca,NO,NO,NO,1
66207,46370,chiva,valencia,SI,NO,NO,1
16010,33900,langreo,asturias,SI,NO,NO,9
5431,33900,langreo,asturias,NO,SI,NO,9
5681,39790,barcena_de_cicero,cantabria,NO,SI,NO,3
60105,28350,ciempozuelos,madrid,SI,NO,NO,1
61012,30530,cieza,murcia,NO,NO,NO,1
5747,34829,barruelo_de_santullan,palencia,NO,SI,NO,1
50002,13720,alcazar_de_san_juan,ciudad_real,NO,NO,NO,2
66210,46380,bunol,valencia,SI,NO,NO,3
15006,34320,cisneros,palencia,NO,NO,NO,1
5761,24800,cistierna,leon,NO,SI,NO,2
37200,13005,ciudad_real,ciudad_real,NO,NO,SI,1
33013,37500,ciudad_rodrigo,salamanca,NO,NO,NO,1
69010,3820,cocentaina,alicante,NO,NO,NO,1
5477,48860,guenes,bizkaia,NO,SI,NO,7
79314,17496,colera,girona,NO,NO,NO,1
12004,28450,collado_mediano,madrid,SI,NO,NO,1
5389,33680,aller,asturias,NO,SI,NO,9
5505,33010,siero,asturias,NO,SI,NO,17
17005,28770,colmenar_viejo,madrid,SI,NO,NO,1
5579,33590,ribadedeva,asturias,NO,SI,NO,1
10603,47281,corcos,valladolid,NO,NO,NO,1
50500,14011,cordoba,cordoba,NO,NO,SI,2
5382,33686,aller,asturias,NO,SI,NO,9
72303,8940,cornella_de_llobregat,barcelona,SI,NO,NO,1
51407,11011,cadiz,cadiz,SI,NO,NO,5
55012,29391,cortes_de_la_frontera,malaga,NO,NO,NO,1
81205,31530,cortes,navarra,NO,NO,NO,1
70108,21820,coslada,madrid,SI,NO,NO,1
20207,32141,rubia,ourense,NO,NO,NO,2
5153,27861,viveiro,lugo,NO,SI,NO,3
34007,5300,crespos,avila,NO,NO,NO,1
62101,3330,crevillent,alicante,SI,NO,NO,1
5220,33401,aviles,asturias,NO,SI,NO,6
35603,28024,madrid,madrid,SI,NO,NO,39
71604,8880,cubelles,barcelona,SI,NO,NO,1
10604,47290,cubillas_de_santa_marta,valladolid,NO,NO,NO,1
5245,33159,cudillero,asturias,NO,SI,NO,11
66100,16004,cuenca,cuenca,NO,NO,SI,2
3208,16004,cuenca,cuenca,NO,NO,NO,2
67018,44495,calamocha,teruel,NO,NO,NO,4
5549,33500,ribadesella,asturias,NO,SI,NO,5
66014,16542,villar_y_velasco,cuenca,NO,NO,NO,1
69104,46400,cullera,valencia,SI,NO,NO,1
42006,21380,cumbres_mayores,huelva,NO,NO,NO,1
71603,43881,cunit,tarragona,SI,NO,NO,1
20317,15310,curtis,coruna_a,NO,NO,NO,2
5420,33936,siero,asturias,NO,SI,NO,17
94002,13250,daimiel,ciudad_real,NO,NO,NO,1
18004,28045,madrid,madrid,SI,NO,NO,39
13400,48901,barakaldo,bizkaia,SI,NO,NO,2
35702,28026,madrid,madrid,SI,NO,NO,39
37407,6400,don_benito,badajoz,NO,NO,NO,1
51103,41701,dos_hermanas,sevilla,SI,NO,NO,2
5736,9574,merindad_de_valdeporres,burgos,NO,SI,NO,3
10605,34210,duenas,palencia,NO,NO,NO,1
71305,43773,argentera_l_,tarragona,NO,NO,NO,1
5644,39549,san_vicente_de_la_barquera,cantabria,NO,SI,NO,2
10010,28224,pozuelo_de_alarcon,madrid,SI,NO,NO,2
5509,33186,siero,asturias,NO,SI,NO,17
15012,24343,burgo_ranero_el,leon,NO,NO,NO,1
15210,33171,oviedo,asturias,SI,NO,NO,15
50704,41300,rinconada_la,sevilla,SI,NO,NO,2
32002,47470,carpio,valladolid,NO,NO,NO,1
14117,34410,monzon_de_campos,palencia,NO,NO,NO,2
60109,28903,getafe,madrid,SI,NO,NO,5
54403,29552,alora,malaga,NO,NO,NO,3
42018,21300,calanas,huelva,NO,NO,NO,3
16011,33948,san_martin_del_rey_aurelio,asturias,SI,NO,NO,7
5433,33946,san_martin_del_rey_aurelio,asturias,NO,SI,NO,7
10203,28280,escorial_el,madrid,SI,NO,NO,2
12010,40400,espinar_el,segovia,NO,NO,NO,3
5971,30381,cartagena,murcia,NO,SI,NO,12
17003,28049,madrid,madrid,SI,NO,NO,39
79407,8320,masnou_el,barcelona,SI,NO,NO,2
72211,8754,papiol_el,barcelona,SI,NO,NO,1
5232,33126,soto_del_barco,asturias,NO,SI,NO,3
32006,37410,pedroso_de_la_armuna_el,salamanca,NO,NO,NO,1
10209,28296,santa_maria_de_la_alameda,madrid,NO,NO,NO,2
54510,29620,torremolinos,malaga,SI,NO,NO,5
5244,33159,cudillero,asturias,NO,SI,NO,11
70003,28031,madrid,madrid,SI,NO,NO,39
71707,8820,prat_de_llobregat_el,barcelona,SI,NO,NO,2
65007,46540,puig_de_santa_maria_el,valencia,SI,NO,NO,1
66203,46340,requena,valencia,SI,NO,NO,4
5521,33529,siero,asturias,NO,SI,NO,17
69101,46439,sollana,valencia,SI,NO,NO,2
60207,45770,romeral_el,toledo,NO,NO,NO,1
42013,21320,cerro_de_andevalo_el,huelva,NO,NO,NO,1
72201,43700,vendrell_el,tarragona,SI,NO,NO,2
60905,3600,elda,alicante,NO,NO,NO,1
71301,43777,guiamets_els,tarragona,NO,NO,NO,1
72203,8730,santa_margarida_i_els_monjos,barcelona,SI,NO,NO,1
20410,15190,coruna_a,coruna_a,NO,NO,NO,2
62102,3201,elche,alicante,SI,NO,NO,3
62103,3202,elche,alicante,SI,NO,NO,3
35609,28012,madrid,madrid,SI,NO,NO,39
70602,50336,calatayud,zaragoza,NO,NO,NO,2
67011,50470,encinacorba,zaragoza,NO,NO,NO,1
5125,15564,moeche,coruna_a,NO,SI,NO,3
70703,50290,epila,zaragoza,NO,NO,NO,1
35107,45540,erustes,toledo,NO,NO,NO,1
43009,21870,escacena_del_campo,huelva,NO,NO,NO,1
5141,15339,ortigueira,coruna_a,NO,SI,NO,7
50400,23628,espeluy,jaen,NO,NO,NO,1
70207,19292,espinosa_de_henares,guadalajara,NO,NO,NO,2
5732,9560,espinosa_de_los_monteros,burgos,NO,SI,NO,4
14108,34491,espinosa_de_villagonzalo,palencia,NO,NO,NO,1
51409,11010,cadiz,cadiz,SI,NO,NO,5
51051,41970,sevilla,sevilla,SI,NO,NO,10
5187,27795,ribadeo,lugo,NO,SI,NO,4
67221,46590,estivella,valencia,SI,NO,NO,1
80003,31820,etxarri_aranatz,navarra,NO,NO,NO,1
71206,50793,fabara,zaragoza,NO,NO,NO,1
71208,43783,pobla_de_massaluca_la,tarragona,NO,NO,NO,1
35601,28044,madrid,madrid,SI,NO,NO,39
5177,27789,foz,lugo,NO,SI,NO,5
81106,31580,lodosa,navarra,NO,NO,NO,1
5109,15570,naron,coruna_a,NO,SI,NO,9
67017,44490,ferreruela_de_huerva,teruel,NO,NO,NO,1
31106,49550,ferreruela,zamora,NO,NO,NO,1
21010,15407,ferrol,coruna_a,NO,SI,NO,2
16301,33470,llanera,asturias,SI,NO,NO,4
5373,33683,mieres,asturias,NO,SI,NO,11
77103,8530,figaro_montmany,barcelona,SI,NO,NO,1
79309,17600,figueres,girona,NO,NO,SI,2
4307,17740,figueres,girona,NO,NO,NO,2
22103,36420,crecente,pontevedra,NO,NO,NO,3
56301,4500,finana,almeria,NO,NO,NO,1
79303,17463,flaca,girona,NO,NO,NO,1
71210,43750,flix,tarragona,NO,NO,NO,1
5151,27860,vicedo_o,lugo,NO,SI,NO,3
5508,33199,siero,asturias,NO,SI,NO,17
79205,17458,fornells_de_la_selva,girona,NO,NO,NO,1
5181,27788,foz,lugo,NO,SI,NO,5
42005,6340,fregenal_de_la_sierra,badajoz,NO,NO,NO,1
32003,47480,fresno_el_viejo,valladolid,NO,NO,NO,1
22104,36428,crecente,pontevedra,NO,NO,NO,3
14104,34440,fromista,palencia,NO,NO,NO,1
17001,28034,madrid,madrid,SI,NO,NO,39
54516,29640,fuengirola,malaga,SI,NO,NO,4
35002,28944,fuenlabrada,madrid,SI,NO,NO,2
98003,28050,madrid,madrid,SI,NO,NO,39
40107,6980,fuente_del_arco,badajoz,NO,NO,NO,1
5525,33529,nava,asturias,NO,SI,NO,5
5545,33586,parres,asturias,NO,SI,NO,6
71103,50740,fuentes_de_ebro,zaragoza,NO,NO,NO,1
33016,37481,fuentes_de_onoro,salamanca,NO,NO,NO,1
56308,4560,gador,almeria,NO,NO,NO,1
10104,28420,galapagar,madrid,SI,NO,NO,2
13501,48910,sestao,bizkaia,SI,NO,NO,3
13508,48530,abanto_y_ciervana_abanto_zierbena,bizkaia,SI,NO,NO,2
81206,50650,gallur,zaragoza,NO,NO,NO,1
