CÓDIGO,DESCRIPCION,LATITUD,LONGITUD,C.P.,POBLACION,PROVINCIA,PAIS,CERCANIAS,FEVE,tiempo de antelacion,Punto de Encuentro,Aparcamiento,Andén,Aseos,Vestíbulo
67216,ALGIMIA-CIUDAD,39.7460335,-0.3672437,46148.0,algimia de alfara,valencia/valencia,espana,SI,NO,,,,,,
70502,ALHAMA DE ARAGON,41.294354600000005,-1.9042781000000002,50230.0,alhama de aragon,zaragoza,espana,NO,NO,,,,,,
6002,ALHAMA DE MURCIA,37.849345,-1.41449,30840.0,alhama de murcia,murcia,espana,SI,NO,,,,,,
54407,ALJAIMA,36.733092,-4.664725,29580.0,cartama,malaga,espana,SI,NO,,,,,,
37600,ALJUCEN,38.93640870000001,-6.407883,6800.0,aljucen,badajoz,espana,NO,NO,,,,,,
37305,ALMADENEJOS-ALMADEN,38.7405765,-4.730331,13480.0,almaden,ciudad real,espana,NO,NO,,,,,,
94004,ALMAGRO,38.895438,-3.709777,13270.0,almagro,ciudad real,espana,NO,NO,,,,,,
60800,ALMANSA,38.8677729,-1.1054355,2640.0,almansa,albacete,espana,NO,NO,12 H.,Venta de Billetes,Si,No,Si,Si
55003,ALMARGEN-CAÑETE LA REAL,37.001028600000005,-5.0201169000000005,29330.0,almargen,malaga,espana,NO,NO,,,,,,
65209,ALMASSORA,39.9543523,-0.0775039,12550.0,almazora/almassora,castellon/castello,espana,SI,NO,,,,,,
84101,ALMAZAN-VILLA,41.488985,-2.52522,42200.0,almazan,soria,espana,NO,NO,,,,,,
65202,ALMENARA,39.7522591,-0.21567039999999998,12590.0,almenara,castellon/castello,espana,SI,NO,,,,,,
40004,ALMENDRALEJO,38.6846701,-6.3997768,6200.0,almendralejo,badajoz,espana,NO,NO,,,,,,
6100,ALMENDRICOS,37.474740000000004,-1.7795490000000003,30893.0,lorca,murcia,espana,SI,NO,,,,,,
56312,ALMERIA,36.8346609,-2.4561659,4006.0,almeria,almeria,espana,NO,NO,30 m.,Atención al Cliente,Si,No,Si,Si
42009,ALMONASTER-CORTEGANA,37.9012229,-6.7973125,21342.0,almonaster la real,huelva,espana,NO,NO,,,,,,
55017,ALMORAIMA,36.2770173,-5.4300178,11350.0,castellar de la frontera,cadiz,espana,NO,NO,,,,,,
37400,ALMORCHON,38.696605600000005,-5.290411499999999,6614.0,cabeza del buey,badajoz,espana,NO,NO,,,,,,
50202,ALMURADIEL-VISO DEL MARQUES,38.5143048,-3.5017843999999996,13760.0,almuradiel,ciudad real,espana,NO,NO,,,,,,
54405,ALORA,36.819838,-4.699623,29510.0,alora,malaga,espana,SI,NO,,,,,,
12002,ALPEDRETE,40.658096,-4.034996,28439.0,alpedrete,madrid,espana,SI,NO,,,,,,
71502,ALTAFULLA-TAMARIT,41.136788700000004,1.3741011,43008.0,altafulla,tarragona,espana,NO,NO,,,,,,
5620,ALTAMIRA,43.351883,-4.056965,39300.0,torrelavega,cantabria,espana,NO,SI,,,,,,
11300,ALTSASU,42.894837700000004,-2.1812049,31800.0,altsasu/alsasua,navarra,espana,NO,NO,,,,,,
80001,ALTSASU-PUEBLO,42.8933068,-2.1674164,31800.0,altsasu/alsasua,navarra,espana,NO,NO,,,,,,
35600,ALUCHE,40.385738,-3.760807,28047.0,madrid,madrid,espana,SI,NO,,,,,,
5959,ALUMBRES,37.609929,-0.914841,30351.0,cartagena,murcia,espana,NO,SI,,,,,,
64104,ALZIRA,39.1519351,-0.45122959999999995,46600.0,alzira,valencia/valencia,espana,SI,NO,,,,,,
13206,AMETZOLA,43.254667,-2.943635,48012.0,bilbao,bizkaia,espana,SI,SI,,,,,,
13101,AMURRIO,43.049155,-3.001748,1470.0,amurrio,araba/alava,espana,SI,NO,,,,,,
13121,AMURRIO IPARRALDE,43.05771,-2.996331,1470.0,amurrio,araba/alava,espana,SI,NO,,,,,,
14102,AMUSCO,42.1781783,-4.4804909,34420.0,amusco,palencia,espana,NO,NO,,,,,,
11505,ANDOAIN,43.222209,-2.0151830000000004,20140.0,andoain,gipuzkoa,espana,SI,NO,,,,,,
11504,ANDOAIN-CENTRO,43.215536,-2.020428,20140.0,andoain,gipuzkoa,espana,SI,NO,,,,,,
50403,ANDUJAR,38.028240000000004,-4.06604,23740.0,andujar,jaen,espana,NO,NO,,,,,,
78407,ANGLESOLA,41.6463987,1.0789872,25320.0,anglesola,lleida,espana,NO,NO,,,,,,
11502,ANOETA,43.162515,-2.070541,20270.0,anoeta,gipuzkoa,espana,SI,NO,,,,,,
5019,ANTEQUERA,37.0281836,-4.5609649,29200.0,antequera,malaga,espana,NO,NO,,,,,,
2003,ANTEQUERA-SANTA ANA,37.070280600000004,-4.7190304,29540.0,antequera,malaga,espana,NO,NO,30 m.,Atención al Cliente,Si,Si,Si,Si
