poblacion,numero_estaciones,ave,cercanias,feve
floresta_la,1,NO,NO,NO
asco,1,NO,NO,NO
almeria,1,NO,NO,NO
teverga,1,NO,NO,SI
salinas_de_pisuerga,1,NO,NO,SI
espluga_de_francoli_l_,1,NO,NO,NO
guadalcanal,1,NO,NO,NO
teo,1,NO,NO,NO
ribes_de_freser,1,NO,SI,NO
castellar_de_la_frontera,1,NO,NO,NO
sax,1,NO,NO,NO
archena,1,NO,NO,NO
quiroga,1,NO,NO,NO
parla,1,NO,SI,NO
noblejas,1,NO,NO,NO
morelabor,1,NO,NO,NO
campillo_el,1,NO,NO,NO
navas_de_riofrio,1,NO,NO,NO
alhama_de_murcia,1,NO,SI,NO
casatejada,1,NO,NO,NO
monreal_del_campo,1,NO,NO,NO
lugo,1,NO,NO,NO
vegadeo,1,NO,NO,SI
carpio,1,NO,NO,NO
alfoz_de_lloredo,1,NO,NO,SI
cabezon_de_pisuerga,1,NO,NO,NO
sanlucar_la_mayor,1,NO,SI,NO
coslada,1,NO,SI,NO
jaen,1,NO,NO,NO
colmenar_viejo,1,NO,SI,NO
villarrobledo,1,NO,NO,NO
garrovilla_la,1,NO,NO,NO
santiurde_de_reinosa,1,NO,SI,NO
carinena,1,NO,NO,NO
grijota,1,NO,NO,NO
pitiegua,1,NO,NO,NO
real_sitio_de_san_ildefonso,1,NO,SI,NO
montesa,1,NO,SI,NO
villanueva_de_cordoba,1,SI,NO,NO
toledo,1,SI,NO,NO
daimiel,1,NO,NO,NO
pobla_llarga_la,1,NO,SI,NO
almargen,1,NO,NO,NO
manresa,1,NO,SI,NO
agoncillo,1,NO,NO,NO
llagosta_la,1,NO,SI,NO
santa_maria_de_huerta,1,NO,NO,NO
pucol,1,NO,SI,NO
legorreta,1,NO,SI,NO
torrijo_del_campo,1,NO,NO,NO
carballino_o,1,NO,NO,NO
llerena,1,NO,NO,NO
benicarlo,1,NO,NO,NO
plasencia,1,NO,NO,NO
celra,1,NO,NO,NO
almendralejo,1,NO,NO,NO
albuixech,1,NO,SI,NO
minaya,1,NO,NO,NO
juneda,1,NO,NO,NO
castellnou_de_seana,1,NO,NO,NO
jimera_de_libar,1,NO,NO,NO
jadraque,1,NO,NO,NO
tardelcuende,1,NO,NO,NO
marcilla,1,NO,NO,NO
yemeda,1,NO,NO,NO
subirats,1,NO,SI,NO
burgo_ranero_el,1,NO,NO,NO
zamora,1,SI,NO,NO
castiello_de_jaca,1,NO,NO,NO
almazan,1,NO,NO,NO
torredembarra,1,NO,NO,NO
cerceda,1,SI,NO,NO
epila,1,NO,NO,NO
huesca,1,SI,NO,NO
calatorao,1,NO,NO,NO
guadalmez,1,NO,NO,NO
pancorbo,1,NO,NO,NO
tembleque,1,NO,NO,NO
puente_genil,1,SI,NO,NO
pedrera,1,NO,NO,NO
socuellamos,1,NO,NO,NO
sant_cugat_del_valles,1,NO,SI,NO
ontigola,1,NO,NO,NO
ortigosa_del_monte,1,NO,NO,NO
herradon_de_pinares,1,NO,NO,NO
cervera,1,NO,NO,NO
canada_del_hoyo,1,NO,NO,NO
alagon,1,NO,NO,NO
campanario,1,NO,NO,NO
ugao_miraballes,1,NO,SI,NO
riells_i_viabrea,1,NO,SI,NO
xeraco,1,NO,SI,NO
plasencia_de_jalon,1,NO,NO,NO
saus_camallera_i_llampaies,1,NO,NO,NO
campo_de_criptana,1,NO,NO,NO
ribera_baja,1,NO,NO,NO
ribadedeva,1,NO,NO,SI
colera,1,NO,NO,NO
bellpuig,1,NO,NO,NO
planoles,1,NO,SI,NO
estivella,1,NO,SI,NO
gelida,1,NO,SI,NO
molins_de_rei,1,NO,SI,NO
palma_del_condado_la,1,NO,NO,NO
pradell_de_la_teixeta,1,NO,NO,NO
valdepielago,1,NO,NO,SI
rubi,1,NO,SI,NO
villasequilla,1,NO,NO,NO
gilet,1,NO,SI,NO
teruel,1,NO,NO,NO
alcover,1,NO,NO,NO
aldea_l_,1,NO,NO,NO
sant_marti_sesgueioles,1,NO,NO,NO
cheste,1,NO,SI,NO
cocentaina,1,NO,NO,NO
